"Mean biomass (tons), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
0.083333336,0.0,0.0,0.0,611.35345,0.0,56.974365,0.0,0.0,76.66094,0.0,0.0,6066.6553,0.0,27.793707,0.0,0.0
0.16666667,0.0,0.0,454.5028,30455.674,26.66148,11565.756,180.1866,0.0,81585.586,0.0,0.0,236567.06,0.0,227154.61,0.0,0.0
0.25,0.0,0.0,38962.684,179451.95,3084.8518,77113.18,31367.307,1298.455,311714.53,6775.2695,0.0,1017945.8,0.0,380288.75,0.0,0.0
0.33333334,0.0,0.0,308692.22,612140.8,24134.924,205891.3,114284.37,91355.266,456715.34,145558.64,0.0,2522160.5,0.0,937836.1,14.547584,0.0
0.41666666,0.056725457,51.760864,814671.94,1668860.8,100027.63,307710.62,215868.61,316012.34,585342.6,402415.97,371.23987,1.0340501E7,6926.9126,1844791.5,40562.66,0.0
0.5,583.5395,1676.0298,1560149.5,3194431.0,332374.34,484114.88,321178.62,641604.2,698876.5,592153.2,16922.39,2.7364098E7,370968.75,3830907.2,73826.32,0.0
0.5833333,3420.7415,22894.916,2094091.1,4531800.0,631999.4,667896.0,423212.28,770455.9,663537.6,625984.56,129359.88,5.6754932E7,1420050.4,7346678.0,72191.195,0.0
0.6666667,7175.038,44793.754,2532964.2,7072371.5,774733.8,969318.6,421423.2,750350.3,589655.2,540783.1,277991.4,8.595862E7,1721511.2,1.0897559E7,69759.31,16.613487
0.75,8942.0,54121.812,2457163.5,8617610.0,725162.9,1465783.1,392797.38,624349.56,482031.3,588190.7,368469.97,1.0320874E8,1400410.6,1.3913841E7,67300.99,100.19056
0.8333333,9832.912,47628.227,2193562.5,9477471.0,666671.9,1597158.0,297205.0,497838.2,393417.8,530334.44,355465.62,1.1307109E8,954727.44,1.5689959E7,69109.25,222.06786
0.9166667,10452.967,36407.055,1877767.5,9626416.0,511994.0,1605594.6,219484.03,383180.6,269645.84,390111.16,287479.4,1.086436E8,526537.7,1.704226E7,70200.35,389.57486
1.0,10752.744,27387.79,1697393.9,8880709.0,388434.44,1756213.2,177517.56,298225.6,237620.5,309665.97,228651.14,1.0421429E8,285015.12,4.2762544E7,70732.695,609.2213
1.0833334,10604.576,21237.898,1428435.4,8305453.5,311246.84,1810481.1,146770.38,219580.58,225943.19,267511.22,221449.34,9.99754E7,168031.14,2.2876286E8,77138.96,863.4648
1.1666666,9106.082,20544.92,1298601.6,8645839.0,274942.16,1955966.9,121909.91,153925.28,204855.0,243372.25,179609.97,9.590508E7,125363.74,4.6809258E8,90782.69,1113.4275
1.25,7342.6084,20071.637,1677301.5,1.0461926E7,242805.38,2211467.8,96025.98,125302.87,179603.44,289836.66,186525.08,9.197838E7,118492.96,5.3460394E8,102674.76,1397.9241
1.3333334,6386.0396,18137.139,2102534.2,1.3193519E7,218240.69,2398658.5,66837.016,107554.11,155671.3,403050.94,172246.88,9.149211E7,106545.195,5.477065E8,111045.445,1707.6825
1.4166666,6597.0186,9791.541,2880383.5,1.6211047E7,214758.44,2616838.0,53216.88,95813.766,139950.62,420863.94,237438.7,1.02010696E8,76978.82,5.663459E8,186727.25,2049.5996
1.5,6783.568,6107.6963,3438866.5,1.9589994E7,253500.75,2909771.0,35194.004,75020.14,123372.9,372857.8,282175.9,1.1386189E8,66195.5,5.58305E8,223113.67,2411.083
1.5833334,8720.673,6064.5986,3653218.8,2.3145612E7,355343.1,3239691.0,21219.217,61433.57,106294.53,341348.0,302016.2,1.2674252E8,39312.293,5.3627882E8,227711.02,2786.2476
1.6666666,11854.269,6559.3535,3483946.0,3.1309958E7,329007.25,3483382.8,13484.538,57220.184,91969.22,370291.16,339604.1,1.4004389E8,24288.838,5.1575443E8,220884.9,3176.9844
1.75,11983.842,7882.9507,3233589.8,4.4969828E7,333108.66,3689202.5,11740.029,30309.97,69109.78,397192.78,352232.3,1.5187165E8,35027.227,4.9274397E8,208817.62,3623.8376
1.8333334,11897.868,6646.3784,2930344.8,5.1346708E7,310531.44,4150996.2,5653.5273,19266.371,45474.137,417027.8,404848.2,1.5643114E8,22776.55,4.7720278E8,195568.66,4091.2788
