"cumulative catch (tons per time step of saving). ex: if time step of saving is the year, then annual catches are saved"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.2608,0.0,0.0,0.0,0.0,13433.279,0.0,0.0
0.41666666,0.0,0.0,186.27081,30.666723,0.0,295.8935,0.0,133.53302,1286.4144,0.0,0.0,0.0,0.0,64693.605,0.0,0.0
0.5,8.438061,0.0,2190.1707,20871.479,0.0,1237.5242,0.0,472.3469,3059.4302,0.0,0.0,0.0,0.0,203097.81,0.0,0.0
0.5833333,47.292828,0.0,14253.132,57163.06,0.0,3715.3748,0.0,694.2877,4800.0264,0.0,0.0,0.0,0.0,447380.0,65.67789,0.0
0.6666667,149.92145,0.0,34424.008,217414.78,0.0,15736.809,0.0,754.04333,4596.536,4.673877,3.1978981,0.0,0.0,647788.6,429.45493,0.5458745
0.75,215.37837,0.10955217,43237.39,302969.6,0.0,52161.363,0.0,800.09937,4283.068,12.601363,572.1376,0.0,2.162355,775303.7,1262.6139,5.066735
0.8333333,269.0886,0.57086855,45287.598,416846.62,0.0,58217.496,0.0,747.28986,4013.9111,160.95131,1031.8887,1312180.1,7.496482,886905.0,1993.3309,12.1767025
0.9166667,344.22275,1.3234174,41739.273,433477.88,0.0,60004.883,0.0,634.3758,3327.5176,2334.887,1117.9249,1244024.8,19.830637,932928.56,2516.1665,21.740345
1.0,418.56668,6.5185614,41079.52,406857.06,0.0,67582.25,0.0,545.2323,2767.473,4464.7925,1497.2662,1175122.2,6.9650497,925079.9,3177.8499,33.60805
1.0833334,455.8592,9.669251,37067.754,389050.44,0.0,71519.71,0.0,450.07898,2654.707,4920.067,1834.1672,1110823.2,16.044556,905351.56,0.0,47.55709
1.1666666,429.1338,9.831955,36774.668,408920.97,0.0,82302.6,0.0,317.53024,2522.738,6152.2876,2245.033,1049134.9,17.343107,873691.06,0.0,61.175144
1.25,368.10782,10.23859,39689.34,467977.03,0.0,92679.84,0.0,282.0364,2216.7556,8420.069,3027.7969,987415.4,3.438945,843748.4,0.0,75.56725
1.3333334,340.72354,11.794407,31991.65,542279.75,0.0,97300.72,0.0,242.02238,1959.7224,10672.909,3072.5203,0.0,16.881462,815844.25,0.0,91.58572
1.4166666,341.27216,24.808231,30112.943,611332.4,0.0,108602.11,0.0,247.81413,2039.5162,10687.039,10705.697,0.0,106.957855,1696565.5,3440.3237,108.790955
1.5,327.41135,24.760221,30612.682,677731.2,0.0,124834.37,0.0,278.0846,2399.2095,9788.853,12031.726,0.0,272.80356,2383980.8,3472.9062,126.788284
1.5833334,329.42667,19.138363,37217.68,850534.2,0.0,135059.06,0.0,361.4242,2212.7124,9052.172,12344.261,0.0,192.48582,2605600.5,3687.5173,145.23163
1.6666666,371.16507,19.483707,49786.152,1547780.4,0.0,147529.61,0.0,369.845,1883.3579,9541.171,11937.651,0.0,174.5327,3325371.0,4507.3364,164.05373
1.75,363.37823,15.494826,59322.633,2284941.0,0.0,161589.77,0.0,326.5943,1454.7273,10304.681,12568.377,0.0,201.62354,4286119.0,5298.444,186.1933
1.8333334,381.3773,18.06359,67803.71,2980906.2,0.0,175942.38,0.0,278.77988,1278.3286,10326.443,13866.405,3731521.2,159.63004,6037917.0,5880.0273,209.7111
1.9166666,427.3434,38.484913,69357.44,3274846.5,0.0,188119.75,0.0,245.99742,1093.792,10204.353,14008.718,3534430.5,100.56584,5727910.5,5999.8975,234.01852
2.0,408.22626,51.04567,69243.33,3479828.8,0.0,198729.23,0.0,203.0761,1026.7372,10104.191,13184.794,3341207.8,74.826775,5584401.0,5837.495,259.31442
2.0833333,368.24164,58.075966,64753.445,3581231.5,0.0,203562.4,0.0,184.32932,971.4583,9737.502,13738.19,3158449.8,45.90777,5587963.5,0.0,285.8186
2.1666667,368.20895,63.0847,61978.33,3628427.0,0.0,224520.55,0.0,163.87154,810.82605,9268.289,14322.326,2971061.2,38.203907,5160642.5,0.0,311.52783
2.25,348.5251,65.19344,61488.605,3613250.0,0.0,246440.72,0.0,176.23055,780.9847,9032.093,15443.323,2756828.2,25.136524,5307913.5,0.0,337.01065
2.3333333,314.80975,71.74174,63463.027,3604657.8,0.0,267916.22,0.0,141.14204,728.09406,9465.206,15895.028,0.0,88.264465,1.0167793E7,0.0,362.72995
2.4166667,272.65366,69.86495,66509.77,3510891.5,0.0,288424.34,0.0,146.60179,783.3295,9396.259,17418.105,0.0,280.65082,1.9255222E7,2225.1528,388.16907
2.5,285.65442,61.90358,79840.43,3456079.5,0.0,308792.78,0.0,301.46017,1732.6777,9175.827,20905.496,0.0,420.36023,2.4489174E7,1869.4679,412.77658
2.5833333,336.91116,53.85851,83083.91,3404001.8,0.0,319828.1,0.0,441.6468,1724.2147,7128.709,24652.045,0.0,509.3981,4.1501124E7,1907.3324,436.70105
2.6666667,453.33005,53.34881,152713.39,3340629.0,0.0,333693.84,0.0,389.20593,1505.6346,5190.211,24688.414,0.0,248.58275,6.0598676E7,2448.6958,459.74966
2.75,536.0694,51.376476,158904.23,3170802.0,0.0,336721.6,0.0,385.09412,1344.08,4925.939,27603.51,0.0,297.43158,6.4929452E7,3487.6467,485.35364
2.8333333,566.544,57.078613,179234.12,5247510.0,0.0,341420.66,0.0,308.31134,1227.9858,4234.16,27131.803,3244443.2,295.75485,6.495413E7,3452.6968,511.81754
2.9166667,533.0906,56.386147,305921.8,5733669.5,0.0,359941.8,0.0,269.25452,1161.2239,4063.6174,23392.15,3002109.2,271.07578,6.1044388E7,3140.6685,538.2992
3.0,471.65646,61.78027,294841.12,6413482.5,0.0,372145.7,0.0,234.58516,1166.5297,3925.7183,22620.662,2677389.8,201.31792,5.7243816E7,2936.68,565.2195
3.0833333,452.00195,85.99022,270185.72,6171965.5,0.0,369565.1,0.0,222.38165,1185.5985,3775.4915,18599.246,2487420.5,195.81334,5.277296E7,0.0,592.3804
3.1666667,402.37555,443.03357,263437.72,7639307.5,0.0,371995.9,0.0,205.0476,1214.2887,3606.4233,10478.868,2290596.8,193.14244,4.8478004E7,0.0,617.42175
3.25,382.3428,423.09888,268542.78,9353307.0,0.0,376533.47,0.0,191.6805,1142.0013,3095.5369,13239.568,2088954.6,134.0741,4.6739244E7,0.0,641.0374
3.3333333,361.28677,389.6887,264869.56,1.7463494E7,0.0,382668.84,0.0,161.0114,637.2408,2488.4268,15660.708,0.0,310.891,4.549112E7,0.0,663.82587
3.4166667,335.4564,370.41928,282405.47,1.805123E7,0.0,394191.5,0.0,155.62744,1859.4772,2197.9436,21295.004,0.0,395.5011,4.3889496E7,1906.4834,685.2104
