"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.403438264764291,0,0.199516635463678,0.183324482853625
"redMullet",0.276045752483198,0,0,0.135412570386224
"pouting ",0.441018040146255,0,0,0.196974602756389
"whiting",1.01888087427958,0,0,0.508889585633905
"poorCod",0,0,0,0
"cod",0.25123696505806,0,0.270559862244363,0.147252218360198
"dragonet",0,0,0,0
"sole",0.220673870238599,0,1.02989535581714,0.278889012444361
"plaice",0.408063348842963,0,0.396712082227025,0.268895288940977
"horseMackerel",0.103909911082201,0.0997521068375797,0,0.127104611070298
"mackerel",1.04880201384511,0.32462058618202,0,0.594278526459966
"herring",0,1.09123509518665,0,0.948809018156758
"sardine",0,0.396853090523584,0,0.45026604871047
"squids",0.461537137309524,0,0,0.202998273701196
"cuttlefish",0.312002365245281,0,0,0.147809966959567
"thornbackRay",0.111232674508039,0,0,0.0865741901468921
