"Mean size of fish (centimeter) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
0.083333336,0.0,15.209564,14.2720375,18.709702,21.817629,11.216988,4.7269826,11.0664835,20.661512,3.4023745,11.418872,18.212603,4.211899,8.160661,2.1568298,18.610626,16.369858
0.083333336,1.0,23.407564,21.293358,25.527306,28.405218,15.197613,27.742258,17.614319,25.58952,25.881466,16.929323,24.5598,14.154884,17.688742,30.714691,27.154463,28.945194
0.083333336,2.0,30.796558,26.701418,30.083982,34.167065,17.833338,41.508667,21.62539,29.042902,36.388508,20.656284,28.333487,18.809023,21.410053,NaN,NaN,39.470005
0.083333336,3.0,37.16609,31.045277,32.936195,37.0501,NaN,52.513493,24.132982,31.478542,44.128635,23.769894,31.304316,22.079268,23.155468,NaN,NaN,48.431755
0.083333336,4.0,42.75277,34.72613,NaN,38.55701,NaN,61.483425,25.68795,33.175037,50.132763,26.33168,33.55294,24.284946,23.949974,NaN,NaN,56.21815
0.083333336,5.0,47.841625,37.77022,NaN,39.357597,NaN,68.98929,26.653872,34.391663,54.452003,28.460247,35.410656,25.81944,24.305605,NaN,NaN,62.984272
0.083333336,6.0,52.274258,40.315823,NaN,39.770016,NaN,75.303795,NaN,35.233612,58.01628,30.244646,36.798805,26.865246,24.466959,NaN,NaN,68.86158
0.083333336,7.0,56.21166,42.454403,NaN,39.989292,NaN,80.34687,NaN,35.82508,60.713554,31.721104,37.90754,27.5862,24.539612,NaN,NaN,73.973175
0.083333336,8.0,59.69474,44.274826,NaN,40.10619,NaN,84.442154,NaN,36.25635,63.027615,32.950638,38.773598,28.089043,24.572393,NaN,NaN,78.4263
0.083333336,9.0,62.76818,45.768803,NaN,40.16925,NaN,87.80572,NaN,36.54331,64.89457,33.984573,39.478752,28.43349,24.587616,NaN,NaN,82.291824
0.083333336,10.0,NaN,46.989506,NaN,40.202576,NaN,90.60769,NaN,36.752094,66.25684,34.856133,40.008488,28.671453,24.594187,NaN,NaN,85.65349
