"Mean size of fish (centimeter) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,0.0,10.704192,1.8331023,3.1482468,3.7976754,1.8219231,2.7903721,1.123034,3.2994368,2.0782979,1.3208365,2.0809982,4.664301,1.0853288,2.9105072,1.907014,17.916607
1.0,1.0,23.352318,16.38514,23.164938,18.281404,13.946993,32.353504,14.097763,21.607672,4.769573,17.268158,28.68728,8.945166,14.907697,2.9017687,25.138563,34.655613
1.0,2.0,30.49539,23.203465,28.539442,35.363533,16.766462,46.205166,19.325935,26.57682,35.123665,19.315245,28.174114,19.335178,20.032907,NaN,NaN,44.333115
1.0,3.0,36.9443,28.4156,31.821186,37.53615,NaN,56.382896,22.65468,29.782516,42.923958,22.837528,31.658274,22.431154,22.590319,NaN,NaN,52.670628
1.0,4.0,42.67552,32.582764,NaN,38.93921,NaN,64.612885,24.786839,32.131462,49.19715,25.515375,33.70935,24.54984,23.751514,NaN,NaN,59.91765
1.0,5.0,47.614307,36.10229,NaN,39.518044,NaN,71.399864,26.074474,33.622704,54.25866,27.760153,35.558865,26.054523,24.226603,NaN,NaN,66.446144
1.0,6.0,52.462494,39.047234,NaN,39.870262,NaN,76.959076,NaN,34.705708,57.99211,29.68131,36.83406,27.039297,24.43892,NaN,NaN,71.57818
1.0,7.0,56.440884,41.421616,NaN,40.0481,NaN,81.59488,NaN,35.461872,60.696133,31.339014,37.95472,27.680702,24.52859,NaN,NaN,76.5115
1.0,8.0,59.981506,43.35849,NaN,40.1368,NaN,85.53824,NaN,35.98941,63.280865,32.686493,38.93819,28.161371,24.56725,NaN,NaN,80.59854
1.0,9.0,62.98712,45.02226,NaN,40.185383,NaN,88.66593,NaN,36.379124,64.81953,33.703907,39.602207,28.488403,24.585655,NaN,NaN,84.25695
1.0,10.0,NaN,46.364017,NaN,40.209656,NaN,91.306335,NaN,36.624542,66.26674,34.607815,40.11226,28.69221,24.593163,NaN,NaN,87.42887
1.0,11.0,NaN,NaN,NaN,40.224415,NaN,93.51477,NaN,36.802727,67.36241,35.329887,40.49759,NaN,24.596884,NaN,NaN,90.09079
1.0,12.0,NaN,NaN,NaN,40.231735,NaN,95.30807,NaN,36.935757,68.21501,36.004555,40.829247,NaN,24.598759,NaN,NaN,92.32123
1.0,13.0,NaN,NaN,NaN,40.235466,NaN,96.79673,NaN,37.031178,69.05319,36.54383,41.086166,NaN,24.59933,NaN,NaN,94.45702
1.0,14.0,NaN,NaN,NaN,40.237606,NaN,98.02606,NaN,37.097755,69.561035,36.959843,41.293606,NaN,24.599964,NaN,NaN,96.23287
1.0,15.0,NaN,NaN,NaN,40.23857,NaN,99.03617,NaN,37.14247,NaN,NaN,41.442375,NaN,NaN,NaN,NaN,NaN
1.0,16.0,NaN,NaN,NaN,40.239307,NaN,99.88224,NaN,37.173286,NaN,NaN,41.55671,NaN,NaN,NaN,NaN,NaN
