"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Z) mortality rates per time step of saving and per size class. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Age","Mpred","Mstar","Mnat","F","Z","Mfor","Dis","Age"
1.0,0.0,7.882419,0.17412274,1.2531534,0.034849405,0.0,0.0,0.0,0.0
1.0,1.0,0.56918013,0.27272198,0.0010660908,0.25922298,0.0,0.0,0.0,0.0
1.0,2.0,0.13840652,0.2430205,0.0010327984,0.3699885,0.0,0.0,0.0,0.0
1.0,3.0,0.036465257,0.24110872,0.0010222298,0.38971666,0.0,0.0,0.0,0.0
1.0,4.0,0.034625154,0.22686659,0.0010198202,0.36881542,0.0,0.0,0.0,0.0
1.0,5.0,0.016502343,0.22287798,0.0010098172,0.34052885,0.0,0.0,0.0,0.0
1.0,6.0,0.02948083,0.23839208,0.0010107076,0.31932542,0.0,0.0,0.0,0.0
1.0,7.0,0.014316241,0.21952084,0.0010099227,0.3036731,0.0,0.0,0.0,0.0
1.0,8.0,0.008090269,0.21369907,0.0010098655,0.2930056,0.0,0.0,0.0,0.0
1.0,9.0,0.04233579,0.20006129,0.0010097731,0.28529644,0.0,0.0,0.0,0.0
1.0,10.0,0.02320777,0.21043378,0.0010049863,0.2792896,0.0,0.0,0.0,0.0
1.0,11.0,0.031864863,0.20388685,0.0010048763,0.27590236,0.0,0.0,0.0,0.0
1.0,12.0,0.008907589,0.21370956,0.001004468,0.27329466,0.0,0.0,0.0,0.0
1.0,13.0,0.0080376,0.19869033,0.0010048371,0.27163017,0.0,0.0,0.0,0.0
1.0,14.0,0.0130187655,0.18787257,0.0010048004,0.2703961,0.0,0.0,0.0,0.0
1.0,15.0,0.015752533,0.18164149,0.0010051308,0.2696837,0.0,0.0,0.0,0.0
1.0,16.0,0.030655947,0.18657914,0.0010047586,0.2690317,0.0,0.0,0.0,0.0
1.0,17.0,0.02091005,0.1795205,0.0010045016,0.2685337,0.0,0.0,0.0,0.0
1.0,18.0,0.012134126,0.15991338,0.0010049681,0.26835772,0.0,0.0,0.0,0.0
1.0,19.0,0.015233536,0.16921103,0.0010049744,0.26817456,0.0,0.0,0.0,0.0
1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,7.6843514,0.19667718,0.9343847,0.0024599375,0.0,0.0,0.0,0.0
2.0,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,2.0,1.1893648,0.24348886,0.0010436163,0.2671953,0.0,0.0,0.0,0.0
2.0,3.0,0.7298609,0.21260104,0.0010275113,0.3741487,0.0,0.0,0.0,0.0
2.0,4.0,0.1465785,0.21961983,0.0010197436,0.38695863,0.0,0.0,0.0,0.0
2.0,5.0,0.099815324,0.22293669,0.0010189038,0.3641945,0.0,0.0,0.0,0.0
