"Mean biomass (tons), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
1.0,33926.53,5106.7095,379865.7,1312282.6,8342.655,13158.91,35854.05,38992.35,92045.33,350337.0,97215.41,4811857.5,239087.7,2.5878086E7,21547.564,5403.1523
2.0,22270.021,3587.9456,1165757.6,1.2847639E7,2062.0715,235538.58,14120.227,30539.389,57962.36,160229.95,536623.9,1.160043E7,50763.734,1.19596664E8,14920.951,3386.807
3.0,14598.474,1846.2831,867381.6,4.8078092E7,1268.1902,607247.75,9131.398,20412.92,20260.816,106806.305,914465.3,1.3645704E7,9696.796,1.7551304E8,3193.1355,3044.8557
4.0,9842.678,522.82733,2495548.5,1.0740908E8,2184.8928,874105.1,1769.0714,19255.69,27248.13,103535.07,477199.9,1.0996892E7,2722.501,8.006696E8,463.37894,3127.8425
5.0,6726.092,326.5651,4251974.5,3.4207763E8,10467.034,1026989.94,134.70552,9367.906,31839.568,133636.34,209467.39,8926910.0,1369.5427,2.330197E9,1125.5125,3110.5916
6.0,4606.378,321.2825,1.3193377E7,5.0459472E8,18059.885,2671737.5,13.847248,5579.2417,49739.785,284648.5,205949.7,6357755.5,2238.7568,2.0838327E9,3098.801,2990.407
7.0,3065.765,245.32881,7.899052E7,1.1429224E9,9877.525,7154348.0,1.8044263,1974.8202,46336.395,188026.97,513565.94,3947690.0,889.2063,7.847237E9,5481.145,2916.3184
8.0,2035.1675,160.71733,1.08790216E8,2.5619116E9,10528.0,2.3169212E7,0.2165379,807.7689,23791.63,22000.75,848811.8,1696972.5,481.03055,1.5053515E10,3255.292,3003.0151
9.0,1321.0459,38.656567,5.5345624E7,4.7028895E9,7834.055,4.1786436E7,0.12187244,211.20697,10283.328,13638.449,559648.44,897194.0,663.61285,1.974389E10,5491.863,3066.2993
10.0,961.48773,17.765867,6.4142332E7,7.5196355E9,8176.7993,1.0218714E8,0.66221476,107.83767,3730.2102,3015.7874,26074.686,247774.98,3821.6467,3.2575138E10,9616.271,3052.1616
11.0,851.17255,25.989939,4.8480496E7,9.352957E9,15725.96,1.93042E8,1.3408241,47.265896,4185.349,2395.439,71959.18,156831.61,2323.8772,5.421632E10,8148.2744,3035.606
12.0,771.074,43.018944,1.4042723E8,1.8041807E10,94287.18,2.9909187E8,2.8216794,277.21896,7664.3296,1955.5021,61874.617,72228.21,268.99744,2.3406879E11,5131.744,3072.8577
13.0,718.4451,29.241846,1.8713623E9,7.137603E10,90646.68,4.8075824E8,1.6594971,400.75037,8270.096,519.3587,43751.34,11261.196,795.4622,4.1772692E11,5172.097,3162.9497
14.0,657.26294,13.738533,3.2642637E9,1.06059235E11,22916.291,6.920405E8,2.5006266,197.74873,3580.1138,331.74564,156845.4,4281.6963,296.88138,3.1395863E11,8288.048,3218.3508
15.0,483.36472,8.485901,6.4235284E9,1.360874E11,15270.633,1.6012481E9,1.2795398,131.22171,8489.368,97.58034,23823.502,66404.68,120.45109,1.64674E12,5104.725,3170.2258
16.0,441.9544,26.51202,1.7772636E10,2.9101775E11,7443.9785,4.0401723E9,0.24793056,89.3392,4501.897,57.40248,25680.477,107459.99,185.3518,2.2558592E12,1372.5884,3185.776
17.0,396.01788,32.92802,2.6077977E10,8.1513736E11,5753.0337,1.4545464E10,4.0819254,20.030975,5117.9414,30.394253,141972.48,81506.03,859.06134,1.1020947E13,2411.341,3289.1228
18.0,352.68808,22.807957,1.0080449E11,3.2570215E12,10389.712,5.298315E10,2.8029585,101.14639,5274.37,35.72878,334424.78,39669.13,5973.464,1.9267557E13,4765.6323,3423.2273
19.0,253.82631,19.510378,2.0423398E11,7.457151E12,21005.191,1.2454289E11,2.8217375,72.30392,2810.785,19.467276,4699137.5,503698.44,1040.9554,3.7991876E13,5168.7925,3539.0527
20.0,202.6022,11.101383,4.424619E11,1.664934E13,10309.3545,5.6790444E11,1.1363965,59.331867,2296.3743,110.46108,5062438.5,86216.516,10068.153,1.3051874E14,2643.4026,3584.8271
