"cumulative catch (tons per time step of saving). ex: if time step of saving is the year, then annual catches are saved"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
0.083333336,0.0,0.0,0.0,36.979378,0.0,5.707561,0.0,0.0,38.86849,0.0,0.0,108.10111,0.0,622.9139,0.0,0.0
0.16666667,0.0,0.0,106.32311,976.24176,0.0,158.06679,0.0,0.0,405.7467,0.0,0.0,1986.2705,0.0,4525.124,0.0,0.0
0.25,0.0,0.0,2768.667,5916.864,0.0,1829.4044,0.0,164.8982,2758.932,49.02718,0.0,3301.2913,0.0,11694.876,0.0,0.0
0.33333334,0.0,0.0,5308.3276,17765.209,0.0,4659.7993,0.0,1686.3805,6095.4004,1671.6396,0.0,0.0,0.0,30289.953,0.0,0.0
0.41666666,2.4697535,1.3821903,7996.9966,34997.76,0.0,7312.426,0.0,3492.8423,8049.965,3665.7356,8.882376,0.0,283.59103,56876.086,875.02167,0.0
0.5,28.462461,98.69169,17961.625,65871.45,0.0,11309.536,0.0,6262.132,7958.3115,5377.7,331.43646,0.0,1707.024,97423.234,1550.2568,0.0
0.5833333,111.824104,229.4046,26663.014,116409.7,0.0,18098.447,0.0,7854.959,7537.4897,5139.795,2288.9644,0.0,3243.2476,186697.27,2255.1636,0.0
0.6666667,204.7336,217.45515,31864.008,157469.44,0.0,21656.738,0.0,6417.552,6823.048,4331.583,3991.2773,0.0,2615.6572,299246.38,2325.857,0.31720632
0.75,248.83249,151.84517,31542.025,175976.89,0.0,18726.535,0.0,4982.267,6129.448,4171.61,4180.4326,0.0,1734.4752,384163.88,2367.3164,3.1161082
0.8333333,281.28348,122.01445,29456.031,182977.06,0.0,17561.732,0.0,3843.5112,5346.8125,2916.968,3781.1655,1143428.9,1441.5667,464724.9,2214.6418,7.9596586
0.9166667,292.64996,87.862976,27311.574,190091.05,0.0,16506.197,0.0,3023.2292,4503.655,2190.2441,4036.771,1098530.1,1319.8169,540260.75,1943.5647,15.011427
1.0,280.93695,57.22353,25740.238,196660.62,0.0,12449.248,0.0,2466.434,4113.2017,1472.4568,3500.0933,1054397.1,850.0529,1064011.1,1877.3561,24.64681
1.0833334,255.24602,48.32393,22831.666,198398.58,0.0,12584.305,0.0,1976.1304,3873.3193,1263.8064,3435.1284,1009938.56,478.64685,3103654.0,0.0,36.756474
1.1666666,245.65251,34.777157,20098.867,241105.92,0.0,13738.0205,0.0,1568.6942,3409.8218,1698.0183,3793.7495,967961.06,299.0331,5141191.5,0.0,49.774124
1.25,229.52687,28.335524,19327.695,304635.3,0.0,14027.635,0.0,1390.3989,3137.3738,2400.9436,3061.3591,926415.9,249.60742,5504548.0,0.0,64.73738
1.3333334,202.94232,22.702408,24651.4,360078.9,0.0,13640.2,0.0,1206.8315,2821.5515,3403.8472,3304.6047,0.0,140.4129,5586903.5,0.0,81.842445
1.4166666,166.97438,17.136654,27588.125,411080.7,0.0,13837.805,0.0,1106.887,2840.498,4760.716,4935.355,0.0,96.53326,5768326.5,6010.106,100.64527
1.5,181.6555,9.056552,25596.504,579913.0,0.0,15019.81,0.0,976.0188,2418.9802,4822.7637,5817.6143,0.0,135.97464,5757345.0,5970.787,120.48063
1.5833334,241.26671,7.859825,32336.014,671424.25,0.0,16041.564,0.0,766.82916,1959.0541,4500.099,6152.6704,0.0,205.44951,6329869.5,5747.7256,141.199
1.6666666,290.52972,4.968414,35770.137,895565.4,0.0,17566.105,0.0,543.02954,1617.4607,4279.138,6274.6904,0.0,189.38081,6651010.5,5327.7847,162.44183
1.75,307.46036,1.1996737,31379.5,943665.0,0.0,17907.992,0.0,432.224,1363.8171,4069.9727,6692.4043,0.0,161.24821,6357804.0,4940.3604,185.85193
1.8333334,314.0761,0.329319,28537.46,983501.1,0.0,18351.824,0.0,369.6574,1147.4915,3684.5142,7070.7466,1916349.9,147.08737,5990396.0,4462.923,210.35355
1.9166666,279.27167,0.27128142,25728.102,989299.9,0.0,19288.12,0.0,300.96542,809.9602,3415.4243,6897.8223,1824933.0,139.8701,5883902.5,3671.4993,235.26575
2.0,244.90244,0.24393229,22179.424,1153283.8,0.0,20075.709,0.0,271.66095,602.3984,3140.3386,7366.737,1726827.1,133.8967,6394317.0,3280.9224,261.7567
