"cumulative catch (tons per time step of saving). ex: if time step of saving is the year, then annual catches are saved"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
0.083333336,12906.759,34.685787,74.03343,870.75635,0.0,612.1473,0.0,1590.1453,417.40936,530.64014,4168.3228,60892.43,48.969353,144.66708,0.0,14.19304
0.16666667,4328.676,33.96018,71.33704,1046.2358,0.0,613.8076,0.0,463.00943,161.5884,257.0492,2139.3186,14146.959,53.412434,112.528465,0.0,14.435742
0.25,1693.0488,56.001358,81.936874,1056.4774,0.0,622.1371,0.0,377.80127,132.58273,241.59044,2351.4253,9270.504,95.65709,81.07055,0.0,14.793314
0.33333334,909.2745,88.981094,94.191246,1038.4231,0.0,632.1187,0.0,323.5277,122.94201,252.28786,2591.2852,0.0,358.73615,57.37601,0.0,15.281939
0.41666666,405.0771,121.09081,103.99636,978.68164,0.0,626.5224,0.0,254.47923,108.46425,272.1789,2616.6685,0.0,631.3603,81.30724,1531.889,15.922065
0.5,258.77567,130.39575,109.01094,948.4979,0.0,612.3299,0.0,178.51349,140.4463,292.33487,2264.1235,0.0,463.53458,187.72913,66.32719,16.73147
0.5833333,191.92302,97.95544,108.24635,2456.7173,0.0,585.70874,0.0,100.43328,172.84999,166.08656,1564.1816,0.0,210.56308,754.7976,70.23014,17.341818
0.6666667,170.84496,75.80926,266.28665,3288.3774,0.0,555.0952,0.0,125.60359,178.9111,148.02747,1161.1637,0.0,94.55855,648.29095,71.14315,17.908548
0.75,145.77165,75.37558,657.9666,3354.9834,0.0,530.2179,0.0,396.69275,284.33087,149.40088,879.7866,0.0,66.10972,560.8736,68.88755,18.502865
0.8333333,124.72811,74.47651,646.4751,3979.1436,0.0,515.07794,0.0,846.5984,351.5261,169.30849,668.7347,19018.264,58.402817,507.49692,90.49285,19.127914
0.9166667,111.61815,78.50459,870.85455,4351.2993,0.0,492.15402,0.0,817.3948,323.1147,168.81042,1276.3411,519.7769,204.0724,464.02335,141.02655,19.78446
1.0,145.3735,80.72065,921.9203,4133.472,0.0,476.9186,0.0,611.12476,285.45206,165.78525,1504.3998,614.7171,330.71622,407.42917,168.54985,20.490519
1.0833334,197.84514,88.80599,377.93362,3261.4802,0.0,540.1775,0.0,336.54025,279.68405,132.17027,773.40405,996.87366,283.61627,440.62247,0.0,24.326355
1.1666666,201.92532,100.564964,168.66913,2020.5209,0.0,535.2522,0.0,187.97072,241.08733,96.68513,753.1248,1016.3789,281.0909,265.48322,0.0,25.581038
1.25,200.38466,153.81151,146.34221,899.56116,0.0,530.1776,0.0,108.34566,210.2971,101.27393,1315.1554,1078.8263,406.22012,169.77078,0.0,27.094765
1.3333334,200.00476,245.69356,140.13185,715.33484,0.0,527.80963,0.0,64.74569,179.5382,115.173035,2067.8955,0.0,670.0191,157.59996,0.0,28.777906
1.4166666,198.37733,321.9061,140.90672,607.46204,0.0,522.2716,0.0,38.334885,150.96927,141.51108,2495.1545,0.0,1055.7942,321.08594,18.06823,30.686354
1.5,177.28265,226.59967,139.83168,526.82434,0.0,517.37823,0.0,21.368982,319.8573,166.39848,2512.763,0.0,824.28827,928.80945,2.2344458,32.857338
1.5833334,153.41336,99.37386,133.21689,1106.5402,0.0,508.49744,0.0,10.522839,274.0349,148.28496,1905.3003,0.0,442.5343,1424.1577,2.2884002,34.82217
1.6666666,120.18601,74.594086,257.8712,1558.4806,0.0,471.53528,0.0,81.355934,256.71414,120.32122,1176.3918,0.0,349.99872,1142.8347,2.292819,36.654606
1.75,91.61335,76.07807,558.6579,1619.4625,0.0,461.34396,0.0,559.6874,399.7675,123.18923,817.3879,0.0,395.43338,673.95966,2.2649696,38.54735
1.8333334,78.8897,78.815,729.80493,2318.275,0.0,458.29776,0.0,1006.09296,476.00558,145.55446,575.3066,1048.0898,468.0947,547.95123,43.121845,40.51225
1.9166666,67.932396,85.274765,848.0538,3152.9119,0.0,455.88342,0.0,1271.9485,444.24472,162.7247,864.0917,135.40858,831.0165,520.16693,92.98723,42.546444
2.0,63.718292,77.253746,730.299,4449.1064,0.0,445.43768,0.0,948.6062,378.47205,179.25745,1254.7762,140.79053,789.2217,367.86902,131.76419,44.65738
2.0833333,69.39973,70.31647,353.33115,3506.636,0.0,432.9157,0.0,499.96225,319.79758,148.34422,1035.158,119.12683,281.6482,262.3757,0.0,46.95438
2.1666667,64.90666,73.48301,161.27411,1659.7186,0.0,418.4171,0.0,298.93945,275.9771,101.1924,583.51483,105.54966,193.95467,199.15984,0.0,49.775955
2.25,61.980274,103.02591,142.23071,859.89417,0.0,404.64847,0.0,200.2797,231.7209,101.54664,996.24835,98.360634,278.20004,151.89827,0.0,53.04349
2.3333333,61.485344,179.3429,148.73497,754.7978,0.0,396.20786,0.0,141.66739,197.01158,109.33258,1698.4932,0.0,727.80896,107.81007,0.0,56.497902
