"Mean size of fish (centimeter) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
0.083333336,0.0,15.252746,14.65114,18.942297,1.2509449,11.110817,18.001411,11.087654,20.758404,1.7496972,11.404624,18.491985,1.0584563,9.304821,1.8833264,18.743614,16.567423
0.083333336,1.0,23.344812,21.210232,24.430593,27.060099,15.225356,27.719654,17.536049,25.692486,25.60128,16.926302,24.456223,14.152145,17.258839,30.642282,27.148933,29.131329
0.083333336,2.0,30.61377,26.677404,29.814062,33.762928,17.891352,41.69702,21.665049,29.125338,36.23085,20.733286,28.315123,18.873306,21.599295,NaN,NaN,39.45774
0.083333336,3.0,37.04963,31.158937,32.833206,37.000027,NaN,52.71878,24.157429,31.504072,44.164215,23.758627,31.236164,22.080235,23.319912,NaN,NaN,48.422543
0.083333336,4.0,42.573257,34.771107,NaN,38.544228,NaN,61.658337,25.66459,33.222187,50.094494,26.319447,33.58885,24.311876,24.004505,NaN,NaN,56.19667
0.083333336,5.0,47.59805,37.843727,NaN,39.348972,NaN,69.10653,26.644281,34.420597,54.53532,28.47837,35.40837,25.825808,24.329037,NaN,NaN,62.96396
0.083333336,6.0,52.081886,40.382484,NaN,39.76911,NaN,75.35819,NaN,35.251617,58.043285,30.253944,36.80865,26.872805,24.477592,NaN,NaN,68.85932
0.083333336,7.0,56.078335,42.507248,NaN,39.989788,NaN,80.3497,NaN,35.8369,60.911026,31.732111,37.902355,27.59919,24.541899,NaN,NaN,73.97375
0.083333336,8.0,59.532978,44.28126,NaN,40.105713,NaN,84.44096,NaN,36.263462,63.106304,32.967304,38.795166,28.094664,24.57461,NaN,NaN,78.41532
0.083333336,9.0,62.66959,45.76212,NaN,40.169044,NaN,87.815575,NaN,36.552967,64.89253,33.994377,39.478657,28.438011,24.588776,NaN,NaN,82.28557
0.083333336,10.0,NaN,47.013203,NaN,40.202316,NaN,90.604355,NaN,36.76068,66.27234,34.838978,40.019905,28.664967,24.594799,NaN,NaN,85.63766
0.083333336,11.0,NaN,NaN,NaN,40.22003,NaN,92.90015,NaN,36.904385,67.371506,35.56692,40.441193,NaN,24.59757,NaN,NaN,88.56378
0.083333336,12.0,NaN,NaN,NaN,40.22933,NaN,94.82711,NaN,37.00675,68.253,36.166695,40.77394,NaN,24.598848,NaN,NaN,91.113174
0.083333336,13.0,NaN,NaN,NaN,40.23431,NaN,96.40843,NaN,37.07939,68.95441,36.666855,41.031624,NaN,24.599506,NaN,NaN,93.31544
0.083333336,14.0,NaN,NaN,NaN,40.236885,NaN,97.70245,NaN,37.12738,69.49139,37.091537,41.240383,NaN,24.600012,NaN,NaN,95.22808
0.083333336,15.0,NaN,NaN,NaN,40.23826,NaN,98.77219,NaN,NaN,NaN,NaN,41.40481,NaN,NaN,NaN,NaN,96.90239
0.083333336,16.0,NaN,NaN,NaN,40.23907,NaN,99.66389,NaN,NaN,NaN,NaN,41.530624,NaN,NaN,NaN,NaN,98.350075
0.083333336,17.0,NaN,NaN,NaN,40.23983,NaN,100.39371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.61203
0.083333336,18.0,NaN,NaN,NaN,40.24002,NaN,101.00532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.70819
0.083333336,19.0,NaN,NaN,NaN,40.240013,NaN,101.50302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101.661354
0.083333336,20.0,NaN,NaN,NaN,NaN,NaN,101.91863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.083333336,21.0,NaN,NaN,NaN,NaN,NaN,102.2621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.083333336,22.0,NaN,NaN,NaN,NaN,NaN,102.544044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.083333336,23.0,NaN,NaN,NaN,NaN,NaN,102.77945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.083333336,24.0,NaN,NaN,NaN,NaN,NaN,102.973114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.083333336,25.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,0.0,17.128355,17.74451,1.6015999,2.2339125,0.972372,19.5053,1.0687447,21.60233,2.472827,13.963546,22.636103,2.261767,12.753116,2.0088272,19.935505,18.595509
0.16666667,1.0,24.66987,22.015518,23.104042,28.102306,15.019611,25.899368,16.837542,24.964754,25.785648,17.533787,25.260708,14.819852,18.274094,32.890976,27.489313,30.958584
0.16666667,2.0,31.736216,27.42942,28.964834,33.558105,17.741827,40.050632,21.76599,28.463573,36.203865,21.401325,28.900702,19.366875,21.810558,NaN,NaN,41.04055
0.16666667,3.0,37.822544,31.896502,32.33804,36.89077,NaN,51.196674,24.067663,31.167652,43.70596,24.034552,31.728144,22.402952,23.38976,NaN,NaN,49.804455
0.16666667,4.0,43.553795,35.296066,NaN,38.49082,NaN,60.425396,25.54988,33.06174,49.572742,26.636862,33.919266,24.491581,24.096878,NaN,NaN,57.406742
0.16666667,5.0,48.327415,38.265553,NaN,39.322178,NaN,68.06796,26.610922,34.459785,54.271267,28.709501,35.67422,25.992682,24.33644,NaN,NaN,64.020836
0.16666667,6.0,52.657394,40.743443,NaN,39.759693,NaN,74.514275,NaN,35.314068,57.741684,30.473688,37.032494,26.99533,24.476833,NaN,NaN,69.77748
0.16666667,7.0,56.62446,42.81116,NaN,39.98448,NaN,79.68379,NaN,35.828075,60.641106,31.878025,38.0781,27.69831,24.542845,NaN,NaN,74.77242
0.16666667,8.0,60.017086,44.57536,NaN,40.10321,NaN,83.88515,NaN,36.279293,62.83038,33.140636,38.92486,28.109564,24.579147,NaN,NaN,79.10894
0.16666667,9.0,63.080673,46.02223,NaN,40.167446,NaN,87.358635,NaN,36.571938,64.66008,34.102802,39.580112,28.462088,24.589449,NaN,NaN,82.884125
0.16666667,10.0,NaN,47.19248,NaN,40.20183,NaN,90.23566,NaN,36.776455,66.06807,34.94168,40.099403,28.67215,24.595356,NaN,NaN,86.176994
0.16666667,11.0,NaN,NaN,NaN,40.219536,NaN,92.5921,NaN,36.91494,67.22421,35.66572,40.50444,NaN,24.597736,NaN,NaN,89.016655
0.16666667,12.0,NaN,NaN,NaN,40.229248,NaN,94.573975,NaN,37.02359,68.13228,36.247894,40.82604,NaN,24.598854,NaN,NaN,91.50766
0.16666667,13.0,NaN,NaN,NaN,40.234177,NaN,96.20354,NaN,37.09234,68.89125,36.737892,41.074577,NaN,24.59954,NaN,NaN,93.65698
0.16666667,14.0,NaN,NaN,NaN,40.236904,NaN,97.53894,NaN,37.129574,69.432236,37.141045,41.269966,NaN,24.60005,NaN,NaN,95.5276
0.16666667,15.0,NaN,NaN,NaN,40.238094,NaN,98.6311,NaN,NaN,NaN,NaN,41.42889,NaN,NaN,NaN,NaN,97.16346
0.16666667,16.0,NaN,NaN,NaN,40.239185,NaN,99.54946,NaN,NaN,NaN,NaN,41.550163,NaN,NaN,NaN,NaN,98.57394
0.16666667,17.0,NaN,NaN,NaN,40.239693,NaN,100.30123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.81007
0.16666667,18.0,NaN,NaN,NaN,40.24005,NaN,100.92523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.87853
0.16666667,19.0,NaN,NaN,NaN,40.240032,NaN,101.439285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101.80992
0.16666667,20.0,NaN,NaN,NaN,NaN,NaN,101.86618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,21.0,NaN,NaN,NaN,NaN,NaN,102.218124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,22.0,NaN,NaN,NaN,NaN,NaN,102.50777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,23.0,NaN,NaN,NaN,NaN,NaN,102.749016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,24.0,NaN,NaN,NaN,NaN,NaN,102.94775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,25.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
