"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Z) mortality rates per time step of saving and per size class. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Age","Mpred","Mstar","Mnat","F","Z","Mfor","Dis","Age"
0.083333336,0.0,0.094345756,0.9441006,0.022770718,0.13199174,0.0,0.0,0.008226826,0.0
0.083333336,1.0,0.009476002,1.0238369,0.022639412,0.23167956,0.0,0.0,0.014470631,0.0
0.083333336,2.0,0.0038282343,0.3594421,0.023726989,0.26445666,0.0,0.0,0.016501127,0.0
0.083333336,3.0,0.007792006,0.24024,0.024138974,0.27725577,0.0,0.0,0.017289253,0.0
0.083333336,4.0,0.0063935295,0.24254343,0.023891604,0.27662787,0.0,0.0,0.017245734,0.0
0.083333336,5.0,0.003374305,0.10349232,0.024085661,0.28090227,0.0,0.0,0.01751039,0.0
0.083333336,6.0,0.0066237487,0.13795872,0.0240241,0.27978486,0.0,0.0,0.017438212,0.0
0.083333336,7.0,0.0038194652,0.3111836,0.023861375,0.27831,0.0,0.0,0.017346049,0.0
0.083333336,8.0,0.0052239667,0.09720872,0.02416379,0.28255647,0.0,0.0,0.017610459,0.0
0.083333336,9.0,0.0029360817,0.0,0.024422424,0.28554612,0.0,0.0,0.017795395,0.0
0.083333336,10.0,0.008820664,0.06595846,0.024324048,0.2845629,0.0,0.0,0.017733475,0.0
0.083333336,11.0,0.00600081,0.02691461,0.024410132,0.2850128,0.0,0.0,0.017762903,0.0
0.083333336,12.0,0.0016757454,0.0,0.024424197,0.28564277,0.0,0.0,0.017801609,0.0
0.083333336,13.0,0.0053542797,0.23756646,0.024032654,0.2806461,0.0,0.0,0.017490242,0.0
0.083333336,14.0,0.005585316,0.006137905,0.024424283,0.28561252,0.0,0.0,0.017800502,0.0
0.083333336,15.0,0.0025216849,0.0,0.02441385,0.28561586,0.0,0.0,0.01779939,0.0
0.083333336,16.0,0.015237437,0.03193644,0.024347264,0.2847399,0.0,0.0,0.017744165,0.0
0.083333336,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.083333336,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.083333336,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.083333336,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.083333336,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.083333336,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.083333336,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.083333336,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.083333336,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16666667,0.0,0.060237892,0.7627806,0.022979662,0.18869409,0.0,0.0,0.011783209,0.0
0.16666667,1.0,0.014490658,0.44478628,0.023663575,0.24609946,0.0,0.0,0.015369076,0.0
0.16666667,2.0,0.021104215,0.3976696,0.023843542,0.2679041,0.0,0.0,0.01671487,0.0
0.16666667,3.0,0.017436607,0.31254077,0.023770917,0.27341077,0.0,0.0,0.017048804,0.0
0.16666667,4.0,0.007906998,0.037427593,0.024449883,0.2835179,0.0,0.0,0.017676126,0.0
0.16666667,5.0,0.0063219997,0.037828647,0.024357285,0.28369793,0.0,0.0,0.017682571,0.0
0.16666667,6.0,0.0039101164,0.1893723,0.024055755,0.28109878,0.0,0.0,0.01751999,0.0
0.16666667,7.0,0.009695709,0.13548428,0.024016619,0.281218,0.0,0.0,0.017527116,0.0
0.16666667,8.0,0.015889669,0.13722324,0.024201246,0.28277206,0.0,0.0,0.017623106,0.0
0.16666667,9.0,0.010590638,0.0,0.02442657,0.2856952,0.0,0.0,0.017804708,0.0
0.16666667,10.0,0.01955873,0.018322382,0.024410656,0.28558254,0.0,0.0,0.0177977,0.0
0.16666667,11.0,0.055763014,0.06517411,0.024417274,0.2852983,0.0,0.0,0.01777982,0.0
0.16666667,12.0,0.003920318,0.13333295,0.024062712,0.28141886,0.0,0.0,0.017538337,0.0
0.16666667,13.0,0.0086914925,0.06545776,0.024396993,0.28509077,0.0,0.0,0.017767059,0.0
0.16666667,14.0,0.008924668,0.0200448,0.02440638,0.28559893,0.0,0.0,0.017798284,0.0
0.16666667,15.0,0.0056376476,0.0,0.024446908,0.28583717,0.0,0.0,0.017813634,0.0
0.16666667,16.0,0.012930867,0.030521465,0.024404291,0.2852603,0.0,0.0,0.017776538,0.0
0.16666667,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16666667,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16666667,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16666667,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16666667,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16666667,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16666667,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16666667,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16666667,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.018144436,0.0022090508,0.024451314,0.24669062,0.0,0.0,0.015404918,0.0
0.25,1.0,0.019899348,0.0,0.024447916,0.26015413,0.0,0.0,0.016244482,0.0
0.25,2.0,0.01574425,0.0,0.024455955,0.2766705,0.0,0.0,0.017259903,0.0
0.25,3.0,0.0181797,0.0,0.024479613,0.28191257,0.0,0.0,0.01757854,0.0
0.25,4.0,0.008266152,0.0,0.02442994,0.28388736,0.0,0.0,0.017696733,0.0
0.25,5.0,0.021015525,0.0,0.024456741,0.28477097,0.0,0.0,0.017750273,0.0
0.25,6.0,0.013888216,0.0,0.024441062,0.28519586,0.0,0.0,0.017775936,0.0
0.25,7.0,0.0040891576,0.0,0.024428224,0.28543028,0.0,0.0,0.017790088,0.0
0.25,8.0,0.010042731,0.0,0.024456559,0.28556064,0.0,0.0,0.017797329,0.0
0.25,9.0,0.014608444,0.0,0.024427047,0.2856849,0.0,0.0,0.017804671,0.0
0.25,10.0,0.0050027454,0.0,0.024431594,0.2857155,0.0,0.0,0.017805895,0.0
0.25,11.0,0.022202935,0.0,0.02445007,0.28573874,0.0,0.0,0.0178072,0.0
0.25,12.0,0.00935765,0.0,0.024413578,0.28581375,0.0,0.0,0.01781133,0.0
0.25,13.0,0.003508544,0.0,0.024439124,0.2857972,0.0,0.0,0.017811099,0.0
0.25,14.0,0.0049588922,0.0,0.024447994,0.28581017,0.0,0.0,0.017811775,0.0
0.25,15.0,0.012028843,0.0,0.024438078,0.2858406,0.0,0.0,0.01781297,0.0
0.25,16.0,0.013815898,0.0,0.024439696,0.2858698,0.0,0.0,0.017815795,0.0
0.25,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
