"Mean biomass (tons), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
0.083333336,171470.8,1469.5173,2175.4788,6971.922,1243.8237,10506.478,23873.201,5380.3794,4054.7842,36737.098,18025.33,356740.66,4466.1074,1166.5864,443427.72,890.90405
0.16666667,60484.41,1101.6637,1768.8967,7584.0703,667.1742,10629.979,7884.717,1417.4382,1949.23,13556.607,6718.5903,89534.95,4193.5576,858.8786,407428.34,906.6628
0.25,30176.963,1499.0133,1888.9454,7436.042,442.37466,10721.55,7448.826,1104.543,1755.3245,13197.842,6938.9434,75088.5,5984.786,620.5746,352987.2,932.34143
0.33333334,16631.12,1996.9814,2003.8795,7177.5034,294.80106,10840.075,7012.218,825.6862,1628.1117,13028.104,7310.8696,87930.23,15073.064,534.1663,256197.53,961.9571
0.41666666,7023.7466,2350.0435,2090.2751,6896.586,260.51462,10657.588,6055.0615,566.31775,1464.6775,12767.141,7398.0977,153544.55,25105.496,512.5674,1979.0707,1001.32086
0.5,4991.489,2358.7605,2138.1865,14225.341,266.43427,10574.346,5130.614,345.88556,1596.7705,12252.205,6702.182,682588.9,16330.098,5183.2334,836.1059,1052.5066
0.5833333,3220.4583,1844.6503,1990.1722,19217.518,272.23602,10360.449,4115.3887,178.75902,2481.1575,11062.3125,4878.871,2978308.0,6737.321,20243.184,861.1465,1088.411
0.6666667,2745.0322,1212.4753,4335.4697,26243.793,2870.29,10187.063,3784.205,187.95735,2767.8228,10106.756,3674.0151,6413744.5,3468.2595,18716.799,858.77893,1122.1775
0.75,2440.3755,1194.6041,8007.2637,31071.354,8722.094,9742.771,4821.3325,921.06665,3806.9265,11623.747,2823.892,7686262.0,3344.8179,11269.134,780.84705,1158.1147
0.8333333,2294.0564,1190.0714,10856.568,29593.709,15455.04,9738.123,5536.5645,1414.7487,4066.9497,10967.284,2152.8862,68526.32,2597.043,7943.259,1721.8933,1196.7382
0.9166667,2321.1143,2644.7148,11990.252,36241.87,18292.516,9700.898,5621.081,1672.4172,3738.7957,12203.699,7176.415,6491.681,16058.243,6407.905,2534.7263,1237.4586
