"cumulative catch (tons per time step of saving). ex: if time step of saving is the year, then annual catches are saved"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
0.083333336,12719.751,32.66391,66.96927,707.12634,0.0,582.3141,0.0,1543.7415,407.793,528.22046,3807.5588,59205.67,50.24984,134.14557,0.0,13.962118
0.16666667,4619.951,23.864632,52.371395,647.7635,0.0,553.85016,0.0,350.92587,129.07141,236.32458,1260.1842,13626.569,61.596302,91.00798,0.0,13.899473
0.25,2059.5713,29.228836,52.116467,597.2508,0.0,530.9786,0.0,254.1061,95.749374,203.5392,948.7854,8556.202,106.63848,68.87102,0.0,13.892268
0.33333334,1213.3507,37.982925,53.054367,559.0474,0.0,514.03546,0.0,201.55215,84.44491,191.55318,849.0744,0.0,384.9851,50.1009,0.0,13.930742
0.41666666,612.1446,44.059185,53.48265,504.80963,0.0,491.24185,0.0,141.13403,73.2475,180.98772,738.1024,0.0,679.70966,21.449238,1490.7021,14.002594
0.5,369.44897,44.49971,53.59873,454.0584,0.0,461.2875,0.0,90.01082,65.43759,171.05493,610.5645,0.0,522.123,56.16183,53.783337,14.118051
0.5833333,268.99362,41.06587,52.824272,507.78836,0.0,427.8555,0.0,53.460938,63.442547,40.146053,471.13492,0.0,300.6329,234.10124,52.804684,14.152554
0.6666667,197.41016,37.140984,90.61756,493.09406,0.0,392.5953,0.0,41.698204,59.03062,35.884594,346.01282,0.0,161.11357,376.21872,51.219597,14.1197405
0.75,168.19339,36.563763,132.72993,563.7278,0.0,362.88205,0.0,80.748924,72.589096,35.788673,254.181,0.0,152.26381,383.28552,48.746395,14.092551
0.8333333,150.64952,36.148235,178.57256,943.0555,0.0,342.06512,0.0,151.07854,86.24062,48.689156,188.25206,38421.805,156.30183,363.17825,62.9909,14.071514
0.9166667,136.41867,38.89007,234.31885,1458.6945,0.0,323.87143,0.0,196.68315,87.824295,39.27804,160.21422,365.39282,323.02582,415.009,86.05743,14.052725
1.0,127.083305,38.034683,267.27734,1803.0262,0.0,309.24472,0.0,146.59264,81.391045,37.742405,168.40334,393.78375,362.61453,395.58408,79.23391,14.056112
1.0833334,135.67706,40.83438,212.85744,1534.352,0.0,340.77875,0.0,126.553116,84.102844,45.765404,159.48653,622.6526,275.58813,365.2483,0.0,16.136568
1.1666666,124.36464,39.588097,178.44263,678.97974,0.0,325.32233,0.0,113.0141,81.70019,41.61333,123.07342,624.511,291.2629,166.4237,0.0,16.256348
1.25,106.80575,44.264034,179.21068,394.10855,0.0,307.8896,0.0,101.320816,90.25083,41.714397,185.35858,641.9846,415.32907,127.32983,0.0,16.45031
1.3333334,104.72532,54.684982,200.32156,432.51495,0.0,294.26663,0.0,90.1606,97.57202,42.250183,326.94833,0.0,1118.7549,97.367775,0.0,16.682129
1.4166666,102.5989,61.480583,216.09901,505.86066,0.0,280.65738,0.0,73.16841,93.04675,43.406128,534.2453,0.0,1368.2714,76.01017,18.117079,16.968897
1.5,96.72567,55.21738,221.451,520.93207,0.0,268.11008,0.0,50.17581,98.036514,43.415028,712.53156,0.0,941.3879,103.544365,2.1064177,17.313095
1.5833334,91.24388,39.550316,213.15123,550.3843,0.0,256.3516,0.0,29.942963,86.245026,30.287706,712.66437,0.0,572.893,153.19147,2.323503,17.580076
1.6666666,89.84511,30.4732,216.10959,558.37915,0.0,245.15225,0.0,22.414803,92.57752,25.964165,561.01135,0.0,492.4948,139.17094,2.506269,17.76676
1.75,89.40831,29.231655,266.141,700.27094,0.0,234.79881,0.0,19.527746,121.542,26.479109,505.5879,0.0,554.2613,129.64914,2.650471,17.961496
1.8333334,89.92885,31.022358,323.29422,947.96063,0.0,225.50589,0.0,17.533518,156.1527,28.686129,427.80856,332.47406,621.0266,83.49739,26.56628,18.163462
1.9166666,89.99495,36.774147,416.01877,1221.203,0.0,216.86156,0.0,14.760886,170.81502,30.54122,346.24594,43.015583,761.15375,50.7402,50.878796,18.37114
2.0,89.93911,39.194614,414.23154,1396.9744,0.0,208.4341,0.0,12.026252,161.89113,30.598347,317.084,44.78257,675.21106,47.635227,49.07718,18.599092
2.0833333,88.0953,39.51038,321.58206,1158.5477,0.0,198.48851,0.0,9.302595,162.47316,23.13472,270.9231,37.6533,325.28854,43.331417,0.0,18.903303
2.1666667,86.10193,39.306797,229.28395,681.2156,0.0,190.95442,0.0,7.3228145,161.10435,18.767017,177.77652,36.202446,287.94614,37.62116,0.0,19.26308
2.25,83.58003,46.495358,243.70851,556.8313,0.0,183.70789,0.0,5.7265425,175.05284,19.705534,238.00003,35.82265,365.0444,32.584633,0.0,19.68431
2.3333333,80.9884,61.135624,267.507,550.6735,0.0,176.82417,0.0,4.421529,193.98112,21.593016,368.4088,0.0,884.8358,26.319592,0.0,20.14703
2.4166667,77.7501,72.76081,292.1076,589.2584,0.0,170.30933,0.0,3.2464333,189.32716,23.87733,547.9305,0.0,1251.1997,38.646954,14.986364,20.65351
2.5,72.576225,69.243515,298.4551,566.14136,0.0,163.95192,0.0,2.1287413,169.02988,25.713177,694.3823,0.0,1138.0897,131.6075,1.9310327,21.202257
