"Mean size of fish (centimeter) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
0.083333336,0.0,15.222986,14.017908,18.68514,1.1754375,11.073122,7.1492386,10.998483,20.665144,2.4681764,11.544681,18.033695,1.1930579,6.8125243,1.8832742,18.583952,15.621022
0.083333336,1.0,23.413427,21.211573,25.11364,27.74459,15.073553,26.481455,17.365202,25.59233,25.440998,16.945696,24.461102,14.008637,17.505032,29.801525,27.153358,28.501768
0.083333336,2.0,30.663643,26.534834,29.936869,33.879967,17.753036,40.719807,21.515568,29.036806,35.998695,20.649542,28.200678,18.757406,21.422009,NaN,NaN,38.843727
0.083333336,3.0,37.04825,30.941383,32.782738,36.90568,18.17249,51.81896,24.080597,31.459478,43.70281,23.71807,31.182968,21.994734,23.159508,NaN,NaN,47.891674
0.083333336,4.0,42.661163,34.62094,NaN,38.482132,NaN,60.92531,25.645891,33.174408,49.72913,26.28923,33.506855,24.232288,23.95416,NaN,NaN,55.72888
0.083333336,5.0,47.64088,37.701157,NaN,39.317974,NaN,68.55082,26.62666,34.380344,54.329964,28.43051,35.302284,25.77339,24.307144,NaN,NaN,62.56783
0.083333336,6.0,52.079395,40.251194,NaN,39.74911,NaN,74.95486,NaN,35.226044,57.91098,30.20871,36.753677,26.83933,24.466852,NaN,NaN,68.500725
0.083333336,7.0,56.0082,42.416462,NaN,39.97837,NaN,80.01312,NaN,35.828274,60.7569,31.693571,37.866505,27.569374,24.539627,NaN,NaN,73.68125
0.083333336,8.0,59.498722,44.21668,NaN,40.100765,NaN,84.17983,NaN,36.245483,63.023884,32.93232,38.749184,28.072264,24.572514,NaN,NaN,78.15624
0.083333336,9.0,62.61675,45.70799,NaN,40.16615,NaN,87.60148,NaN,36.543663,64.79432,33.96471,39.44574,28.426054,24.587711,NaN,NaN,82.06078
