"Mean biomass (tons), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
0.083333336,21401.723,5550.0044,22133.838,54829.473,6258.2964,7102.331,19582.814,37364.797,13771.195,115306.016,83643.48,557221.1,280467.0,63887.273,24374.256,585.06934
0.16666667,21041.818,5028.1133,20621.736,53380.086,4783.1343,7307.244,16905.457,23898.557,11899.598,106828.164,82580.15,493681.0,249659.89,60081.387,22402.465,601.4318
0.25,20710.936,4615.874,19355.594,51648.805,3847.8933,7533.1533,14404.852,16420.65,10626.86,99069.39,77804.984,450611.38,236827.25,56889.992,19422.36,619.0635
0.33333334,20329.334,4381.349,18530.402,49772.03,3215.5417,7801.195,12466.086,11962.344,9709.224,93518.375,74345.59,448121.03,251986.88,54232.234,14131.565,638.0928
0.41666666,19636.902,4300.14,18182.729,47587.23,2821.2344,8056.0015,11024.998,9030.801,10048.957,90298.414,72552.18,533623.4,271648.3,58632.34,10151.5205,659.6618
0.5,18397.916,4252.991,18015.803,48425.945,2543.6802,8270.856,10127.677,6919.8433,17096.848,88204.12,71806.6,1813718.4,266775.66,5986159.5,10390.628,685.51746
0.5833333,17386.9,4193.8486,18032.201,91563.82,2290.7678,8486.566,9387.558,5259.8237,21870.123,84104.52,70150.14,4613454.5,263681.75,9570497.0,10678.158,704.08215
0.6666667,16984.818,4087.0193,29337.955,153176.8,4474.3965,8753.946,10606.221,5714.971,21667.791,79317.88,66491.97,5987774.0,256415.78,7178569.5,10968.646,721.0163
0.75,16646.084,3961.749,53207.113,204762.1,9618.451,9052.212,12833.13,9476.454,18982.291,84175.25,61780.805,6973269.5,244378.95,5416829.5,11149.371,738.6394
0.8333333,16478.715,3808.2014,62154.94,230049.7,15099.682,9406.077,13937.646,12843.25,16477.879,81669.02,57169.15,6566199.0,226884.98,4127554.5,29378.82,756.82605
0.9166667,16417.775,4633.88,58260.47,243166.3,15591.345,9762.21,13296.727,13677.801,14401.508,73494.65,53311.113,5207028.5,203448.81,3120154.8,42209.89,775.7347
1.0,16746.766,5321.792,56157.105,214129.22,14366.938,10097.539,11304.954,11615.311,12452.362,64315.66,52413.207,4119980.0,182525.9,2334686.2,40417.047,796.0224
1.0833334,17045.77,5592.3726,51395.355,190932.75,13544.211,10470.464,10115.402,8634.447,10733.767,60516.793,49728.082,3261764.2,166258.69,1738417.5,41666.473,818.9469
1.1666666,16968.447,5264.259,45672.64,174445.73,12802.406,10846.286,8461.674,6029.596,9803.676,56700.207,47425.695,2638277.2,157566.88,1298446.8,57847.156,844.6619
1.25,16826.807,4784.441,41042.65,159803.33,11843.464,11213.235,7292.763,4838.3584,9103.631,54807.215,43344.246,2138887.8,154669.62,1003658.44,71602.09,872.8788
1.3333334,16620.832,4688.94,38390.86,153197.06,10689.556,11532.562,6511.4766,3658.8845,8424.589,52813.918,42257.38,2034626.0,152538.2,791454.3,79656.664,903.4016
1.4166666,16118.797,5015.73,37017.387,142516.45,10183.185,11843.384,5915.2383,3117.9832,7949.4165,51180.727,41556.93,2208406.8,152313.61,683035.9,76456.2,936.2165
1.5,15167.581,5245.1577,35080.6,134874.11,9890.352,12111.74,5225.897,2687.3525,8224.172,50182.824,40736.066,2494925.2,151996.53,633858.3,70066.76,971.04834
1.5833334,14423.919,5668.861,34924.59,137988.56,9790.341,12417.081,4909.675,2282.263,8834.367,48154.453,41854.465,3005317.8,151272.77,632610.6,63992.73,1002.5781
1.6666666,14155.713,5773.793,50286.19,148897.56,9331.528,12731.461,4575.1924,2489.6855,10468.315,45703.453,39890.53,3352032.8,149626.34,610003.4,56990.07,1031.3883
1.75,13905.509,5391.561,65776.56,174702.08,9846.353,12991.5205,4341.353,3295.9358,10704.043,49230.875,35568.848,3593706.8,146643.56,569825.8,51948.973,1061.1011
1.8333334,13824.593,5001.2695,73481.4,186392.28,9455.379,13296.208,5243.6426,5498.195,10455.3545,46242.492,30971.984,3191144.5,141164.03,505309.72,56799.83,1091.6672
1.9166666,13827.746,5484.368,64622.805,194487.4,8976.927,13586.38,5251.6626,6059.8184,9703.023,44540.79,32411.453,2519320.5,132818.6,427615.62,57120.83,1123.0874
2.0,14189.823,6366.2847,60894.473,186644.03,8705.323,13800.081,5067.527,5155.1577,9040.331,42297.99,31559.395,1990118.8,124842.25,354539.0,49480.906,1156.0317
2.0833333,14421.098,5773.9453,53678.64,165665.7,7895.7563,14072.2295,4239.589,4419.3296,8439.105,38780.934,30709.117,1573199.2,116523.945,274753.78,45056.633,1191.9065
2.1666667,14229.398,5256.9263,47213.496,138571.78,7352.1934,14295.076,3674.517,3713.0452,7891.8257,37223.527,28974.965,1253891.0,110977.05,195277.7,48141.938,1233.3998
2.25,14017.522,4720.3237,43226.074,117068.59,6719.783,14510.312,3200.0896,3095.3015,7374.1167,37150.53,26406.016,1019927.4,108102.305,146394.25,50209.133,1278.2798
2.3333333,13720.977,4285.9536,39748.684,107807.18,6237.9062,14743.086,2873.4146,2818.3955,6990.365,36289.73,25284.357,959273.3,109019.766,113799.21,40656.316,1325.8043
2.4166667,13263.599,4145.1494,38454.77,101569.766,6116.632,14979.758,2497.5679,2701.6003,6908.3594,35654.508,25477.979,994274.06,110480.43,106394.66,28280.36,1375.3497
2.5,12299.703,4115.076,37056.2,96898.71,5932.934,15174.432,2257.987,2570.2693,7112.8413,34983.266,26025.727,1079861.8,109046.49,116678.35,22553.031,1426.8595
2.5833333,11561.247,4084.2734,35328.74,105051.95,5717.6846,15410.91,2066.3994,2553.1875,7963.5737,33771.074,27757.014,1245091.6,107725.195,135417.08,20753.514,1474.6962
2.6666667,11262.235,4152.287,51289.156,139026.4,5684.477,15700.795,2628.8494,2506.338,9427.863,32455.69,27367.535,1364359.0,105138.04,166663.16,19459.102,1519.9489
2.75,11025.521,3917.0444,68917.38,168743.0,6895.6875,16131.532,3865.7654,2417.0598,11997.378,41909.855,25123.18,1430030.1,102044.62,179550.75,18325.701,1566.4187
2.8333333,10923.354,3624.4502,82252.12,218216.02,8974.709,16761.604,4797.8096,2460.623,11672.677,41458.355,23576.705,1251381.8,97714.22,180801.58,30211.578,1614.0569
