"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.353064658870633,0,0.260238526222202,0.172709880220104
"redMullet",0.269702151303441,0,0,0.127744834859106
"pouting ",0.351524351329921,0,0,0.22706293032068
"whiting",0.897370749470866,0,0,0.447399420228349
"poorCod",0,0,0,0
"cod",0.190844542232172,0,0.220385896665775,0.137004806451962
"dragonet",0,0,0,0
"sole",0.167692514187465,0,1.21135415631231,0.251087642365858
"plaice",0.409130316315655,0,0.367162171656091,0.223322911618383
"horseMackerel",0.122322692449325,0.096266638738047,0,0.108668119116208
"mackerel",0.998619416639737,0.331318876148578,0,0.579701793802645
"herring",0,1.03308018513867,0,0.784707026460335
"sardine",0,0.382133220348589,0,0.503863840125247
"squids",0.506302911686222,0,0,0.210485367851458
"cuttlefish",0.358630265508389,0,0,0.0989489692053418
"thornbackRay",0.0871931143253212,0,0,0.0944453698083612
