"cumulative catch (tons per time step of saving). ex: if time step of saving is the year, then annual catches are saved"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
0.083333336,201.30418,33.016678,148.45895,942.01276,0.0,11.422762,0.0,474.86697,122.38456,536.5645,1271.0349,17509.635,2726.518,1071.2665,0.0,20.46902
0.16666667,204.12166,35.58729,155.96126,1064.4445,0.0,12.860883,0.0,460.50684,121.74297,518.9498,1185.3433,14719.17,2366.1814,1058.1572,0.0,20.659185
0.25,206.92888,38.58377,163.32607,1157.4137,0.0,14.18687,0.0,450.54016,120.86643,502.38245,1136.2351,12535.363,2066.309,1044.1758,0.0,20.858305
0.33333334,209.13333,42.20198,170.25954,1238.6024,0.0,14.885846,0.0,451.40076,119.8473,489.97214,1103.2416,0.0,1864.7758,1047.9615,0.0,21.068262
0.41666666,208.0448,45.88351,176.8489,1302.6008,0.0,15.036919,0.0,467.9834,118.664986,484.69238,1099.5917,0.0,1703.7898,1097.6735,90.853676,21.297983
0.5,201.638,49.524513,184.01727,1346.531,0.0,15.115834,0.0,503.16818,117.7758,481.91666,1072.132,0.0,1570.7734,2014.5681,93.68953,21.551506
0.5833333,196.98154,52.46818,193.50716,1377.6958,0.0,15.189239,0.0,542.241,116.93328,156.67613,1043.5846,0.0,1462.1921,2672.0793,98.955795,21.715448
0.6666667,197.46878,54.828068,201.68607,1404.3236,0.0,15.256814,0.0,580.8119,115.79096,147.61842,1001.3424,0.0,1345.066,2635.2375,103.73418,21.690994
0.75,198.45158,57.04381,210.19597,1426.7731,0.0,15.318795,0.0,608.7736,114.893715,145.36115,956.04736,0.0,1210.8734,2675.937,107.38865,21.671835
0.8333333,200.93184,58.978626,217.76578,1445.5298,0.0,15.375207,0.0,612.4937,114.01402,386.81165,909.2036,8449.414,1064.6484,2775.5159,117.344055,21.657177
0.9166667,203.25043,60.464382,224.61531,1460.7893,0.0,15.546271,0.0,601.98627,114.40264,367.95068,896.223,7142.2964,912.0269,2711.0535,145.48697,21.646233
1.0,205.48451,61.794983,232.87411,1472.1526,0.0,16.68303,0.0,584.52594,118.12322,355.987,839.24915,5963.7256,774.9268,2286.693,173.08842,21.703484
1.0833334,196.61993,60.35479,181.5925,1569.537,0.0,17.431341,0.0,571.0278,121.339836,426.35165,975.0711,6939.8633,878.21655,2027.9624,0.0,17.044695
1.1666666,198.7939,61.739643,183.4211,1760.4651,0.0,20.793957,0.0,552.4607,128.5544,415.692,943.7198,5829.491,786.0885,2025.4875,0.0,17.308668
1.25,200.82837,63.296738,184.82,1758.8998,0.0,24.33132,0.0,535.4666,134.40454,407.38025,919.88983,4996.648,716.458,2146.1672,0.0,17.611471
1.3333334,202.27885,65.11471,185.40576,1744.0151,0.0,25.643608,0.0,519.2546,133.63873,399.48178,899.8621,0.0,662.4213,2301.5322,0.0,17.94378
1.4166666,200.46805,66.828674,185.73569,1735.5023,0.0,26.216188,0.0,504.16293,134.8649,394.12485,928.3818,0.0,617.88385,2617.9912,242.11185,18.309437
1.5,193.51419,68.832115,187.21652,1829.907,0.0,26.502031,0.0,491.3597,133.89726,389.50916,988.41907,0.0,582.22736,3008.3005,264.61334,18.711605
1.5833334,188.1984,70.85071,192.23114,1883.2175,0.0,26.775616,0.0,479.2494,132.26505,107.70639,968.2399,0.0,548.70374,3317.7827,294.4857,19.048838
1.6666666,187.95543,72.81935,196.3179,1922.4484,0.0,27.036875,0.0,466.79483,129.90875,98.00196,990.1866,0.0,513.7228,3767.3867,331.47476,19.237347
1.75,188.12703,74.61718,200.29474,1923.3882,0.0,27.285913,0.0,454.10388,127.31202,98.97539,1035.052,0.0,476.3473,4128.4473,361.21524,19.440704
1.8333334,189.74133,76.243126,204.76834,1909.7129,0.0,27.522583,0.0,450.3834,124.96374,310.33472,1058.687,3788.5833,433.00925,4232.6016,394.44925,19.65675
1.9166666,191.3102,77.77873,209.6572,1932.8796,0.0,28.164751,0.0,450.14297,122.82215,296.8917,1043.3215,3011.9282,386.29935,4142.816,439.7548,19.885271
2.0,192.83203,79.10105,213.94504,1953.0615,0.0,30.781242,0.0,440.87912,122.6903,288.85434,1006.0179,2417.5054,343.22452,3753.0862,472.7594,20.175362
2.0833333,190.322,78.313705,215.29927,1918.7177,0.0,36.64676,0.0,430.17966,118.94341,241.94124,891.9172,1651.9861,259.97546,3247.9983,0.0,20.54948
2.1666667,191.65266,79.388275,210.42603,1929.8685,0.0,46.225426,0.0,422.72012,116.31629,233.66978,864.49255,1376.6245,232.73933,1708.3339,0.0,21.060762
2.25,192.94397,80.44531,205.4513,1947.7655,0.0,54.980473,0.0,415.29285,116.43274,226.37833,846.40924,1159.504,211.45099,951.9752,0.0,21.618774
