"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.415008390599137,0,0.278079954472195,0.169888325553197
"redMullet",0.269928796185579,0,0,0.113967619156477
"pouting ",0.403213435214183,0,0,0.224440722450838
"whiting",0.855213832878834,0,0,0.424056136875045
"poorCod",0,0,0,0
"cod",0.166244658885125,0,0.249736794161918,0.141182392330902
"dragonet",0,0,0,0
"sole",0.144126380017084,0,1.2893946005245,0.240723448000548
"plaice",0.420213184917114,0,0.393510918757919,0.22247889400874
"horseMackerel",0.114067421673118,0.112399101678299,0,0.122057390038233
"mackerel",1.00817020771588,0.345335824881195,0,0.582737901174318
"herring",0,0.997792655530264,0,0.884181783421205
"sardine",0,0.405905637389496,0,0.482103917483192
"squids",0.590217052686767,0,0,0.200048221163388
"cuttlefish",0.353059233560569,0,0,0.114193404789157
"thornbackRay",0.0781461640519338,0,0,0.0988126895366163
