"Mean biomass (tons), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
0.083333336,21895.316,5954.294,21608.002,52992.098,6800.654,1723.8533,21310.816,17360.662,13399.782,117745.77,22072.95,196450.64,277657.03,66936.195,24374.945,7463.5483
0.16666667,22278.973,6558.2715,20371.438,56282.223,5673.6963,1967.6243,22297.232,16845.277,13178.435,114159.805,20990.688,163620.2,235564.23,65985.945,22405.506,7539.971
0.25,22651.877,7072.0767,19197.795,56998.24,4642.5723,2201.0737,22374.041,16975.152,13002.457,109837.39,20095.043,139108.12,212236.72,65515.84,19426.996,7620.108
0.33333334,22947.465,7655.5303,18155.094,56966.336,3865.403,2304.7288,22375.988,18004.426,12840.551,106763.875,20090.037,129673.125,208109.25,65943.57,14137.169,7704.9414
0.41666666,22851.172,8341.531,17072.977,56379.477,3461.6455,2339.7493,22353.5,20511.615,12680.018,105541.39,20865.234,125117.06,203184.16,76448.97,10398.01,7799.0435
0.5,22125.451,8880.812,16146.011,55042.316,3288.4216,2369.2952,22163.318,22460.133,12512.603,104995.75,21126.947,120683.23,192776.08,7346566.5,11006.46,7903.939
0.5833333,21600.777,9349.217,15448.572,53099.402,3155.8267,2398.255,22241.451,22435.611,12336.18,101412.93,20622.06,116371.15,183696.4,1.225852E7,11633.902,7964.8623
0.6666667,21703.037,9663.712,25771.91,51014.15,5842.718,2426.6086,23980.771,21852.191,12156.428,97337.26,20143.295,112180.11,173947.66,9861023.0,12212.969,7956.1206
0.75,21866.527,9929.009,50369.06,48892.48,9260.495,2454.3389,27670.953,21271.31,12180.658,92990.31,19526.129,108551.74,163833.1,7989807.5,12733.117,7949.1504
0.8333333,22207.7,10194.356,71708.17,46752.375,14849.773,2481.4297,28491.879,20696.51,13377.589,85387.836,18693.684,88608.39,148745.92,6544971.5,110344.75,7943.85
0.9166667,22553.424,13249.567,83339.82,44596.348,18143.523,2517.563,28063.334,20088.719,15447.472,82853.71,18053.365,76663.73,136635.72,5271252.5,371278.9,7940.268
1.0,22907.857,14804.653,87463.7,42433.04,19597.611,2713.2075,26861.648,19487.709,17301.201,80873.62,17412.385,68721.83,129015.92,4231206.5,479703.12,7962.296
1.0833334,23210.836,15427.913,86566.21,40087.69,21369.531,3120.718,25617.71,18827.793,17564.305,78684.44,16666.8,58405.117,114369.7,3394770.8,480004.75,8051.305
1.1666666,23483.436,15026.386,81351.5,37726.05,23223.953,3769.8606,24647.492,18213.992,17437.416,77174.93,15528.195,49774.13,102126.2,2763919.0,492843.3,8168.5493
