"Mean biomass (tons), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
0.083333336,21844.373,5907.3228,22795.084,79826.67,6917.0625,3029.8408,20966.182,22593.162,24410.375,119464.82,29576.736,344024.56,280655.94,66306.04,24374.1,7465.4233
0.16666667,22155.795,6221.142,23344.445,84049.74,5804.002,3336.0327,21224.701,21799.043,24482.885,118770.07,31505.143,295764.94,244552.44,65403.76,22401.78,7544.406
0.25,22460.764,6471.7544,23954.703,88302.51,4802.0693,3668.7158,20611.61,21262.215,24480.1,116923.75,32563.275,261559.19,227137.11,64913.465,19421.344,7627.131
0.33333334,22673.252,6815.671,24386.135,92202.88,3970.0867,3988.656,19986.582,20896.096,24468.244,117521.75,35063.734,258651.14,240107.7,65769.59,14130.242,7714.5347
0.41666666,22497.24,7241.4546,24821.754,95449.66,3569.4082,4326.0117,19507.4,20619.504,25061.908,119317.32,39638.0,313864.8,254223.08,76247.89,10189.074,7811.1177
0.5,21710.836,7564.4663,25295.834,148860.69,3388.0444,4720.2725,19022.424,20395.303,30250.068,121353.74,44665.312,475191.2,254544.98,493344.97,10570.014,7918.663
0.5833333,21123.309,7769.6216,26134.48,358082.62,3171.7168,5126.377,18628.654,20045.8,38299.613,119161.62,47884.695,532347.75,257703.84,999102.44,11057.351,7982.2544
0.6666667,21143.393,7890.1514,27003.371,693674.8,4454.722,5543.6533,23083.424,19579.828,42790.41,115037.06,48780.047,570621.3,254994.64,997329.3,11532.804,7976.0376
0.75,21225.521,7930.741,28140.04,1117895.5,7604.728,5990.281,32513.492,18968.746,42265.04,109694.64,48443.566,609044.94,245286.66,978363.06,11943.192,7971.4126
0.8333333,21483.13,7904.2,29556.004,1370848.0,10923.11,6459.468,37906.316,18334.977,36868.598,101436.62,47656.793,542838.44,229869.45,930391.6,37374.332,7968.569
