"cumulative catch (tons per time step of saving). ex: if time step of saving is the year, then annual catches are saved"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
0.083333336,215.41115,27.299463,125.70017,1171.6428,0.0,26.75472,0.0,844.31433,169.8129,462.0505,982.10675,16176.312,1817.2928,1119.4816,0.0,13.794177
0.16666667,218.02716,29.14355,131.6598,1262.5383,0.0,29.511133,0.0,835.6899,173.6801,459.62112,1097.4438,14125.493,1613.6636,1117.6598,0.0,13.9345665
0.25,220.60115,31.122988,138.15741,1351.182,0.0,32.668385,0.0,839.1751,177.48734,458.39346,1224.5742,12488.311,1470.5061,1124.0431,0.0,14.081072
0.33333334,222.52383,33.84674,143.97984,1427.5059,0.0,36.167625,0.0,850.1461,181.35493,464.93442,1462.9103,0.0,1428.4434,1130.6917,0.0,14.235168
0.41666666,221.16762,36.980045,149.45213,1484.55,0.0,39.97862,0.0,865.18445,185.8449,477.15863,1775.996,0.0,1417.264,1190.9031,87.092766,14.402835
0.5,214.60417,39.71089,155.34846,1541.6567,0.0,44.517673,0.0,881.81604,191.43144,491.1295,2061.4036,0.0,1406.2219,1343.9009,90.87226,14.587445
0.5833333,209.76045,41.72774,163.61131,1659.0195,0.0,49.49771,0.0,894.2092,196.74266,203.94092,2215.8909,0.0,1404.2146,1570.8962,97.25359,14.711149
0.6666667,210.05087,43.139412,171.30508,1844.2571,0.0,54.503506,0.0,896.5657,200.78601,204.37912,2256.7937,0.0,1382.1693,1846.0059,103.50903,14.707361
0.75,210.82156,44.174267,179.09628,2099.6667,0.0,59.505054,0.0,888.9655,204.48683,203.82753,2250.836,0.0,1325.7964,2213.9233,108.90508,14.706916
0.8333333,213.04121,44.850193,187.68643,2405.2134,0.0,64.28124,0.0,872.9643,206.95522,426.16302,2221.661,14033.3,1240.7052,2641.2036,124.89892,14.7095785
0.9166667,215.2525,45.872555,194.51085,2781.282,0.0,68.50178,0.0,850.1301,209.08563,412.94357,2183.0027,12253.5,1145.9175,2858.9282,189.16,14.715066
1.0,217.4442,46.849796,201.1943,3301.2988,0.0,71.95207,0.0,820.6667,210.12457,406.07718,2132.6802,10877.437,1054.5122,2639.1646,251.27397,14.76676
1.0833334,269.6317,59.506397,279.24017,4658.5356,0.0,90.53126,0.0,895.12885,246.51828,634.8778,2890.9075,15531.304,1610.553,3132.6277,0.0,20.738644
1.1666666,271.1791,59.635757,281.4112,4719.559,0.0,92.92551,0.0,857.9646,246.00053,619.88226,2721.2664,13305.16,1441.857,3370.8115,0.0,21.190968
1.25,272.71133,59.78471,282.81024,4604.4385,0.0,94.61877,0.0,824.5366,245.55405,606.254,2570.1968,11400.117,1310.8323,3599.5852,0.0,21.799196
1.3333334,273.4291,60.43353,283.65417,4460.3525,0.0,95.92723,0.0,793.7572,245.70042,600.7612,2488.6704,0.0,1241.427,3728.6055,0.0,22.523258
1.4166666,269.95285,61.311653,283.55695,4455.4453,0.0,97.03373,0.0,766.6103,244.63777,603.8723,2460.73,0.0,1202.6488,4013.2466,518.63995,23.376804
1.5,259.78387,62.612095,284.68634,4451.948,0.0,98.20001,0.0,742.4775,244.80527,608.1952,2459.7244,0.0,1164.7041,4346.255,583.9477,24.375038
1.5833334,251.74774,64.03649,291.62634,4601.7217,0.0,99.595634,0.0,718.48883,245.13435,262.12775,2464.164,0.0,1126.688,4737.507,680.95404,25.246273
1.6666666,250.2971,65.63469,298.11438,4906.792,0.0,101.32922,0.0,691.78766,244.83063,258.34024,2432.747,0.0,1089.8484,5156.931,785.3278,25.934725
1.75,249.38858,66.84238,307.23026,5314.6504,0.0,103.47517,0.0,663.32904,243.33568,263.5112,2374.1316,0.0,1040.7065,5515.625,880.01636,26.678423
1.8333334,250.28821,67.9347,315.96603,5743.288,0.0,106.04043,0.0,632.4692,240.58113,538.1916,2309.7947,12330.747,971.36786,5770.421,970.60724,27.469553
1.9166666,251.10004,68.98882,326.7739,5949.8647,0.0,108.98555,0.0,601.4377,237.39323,530.03455,2325.5947,10790.555,891.38513,5726.485,1061.9094,28.3051
2.0,251.79236,69.81129,335.15085,5953.944,0.0,112.25167,0.0,568.1625,233.71655,524.76154,2243.369,9544.967,811.29913,5416.429,1135.4908,29.24021
2.0833333,249.49844,69.492065,345.13464,5950.122,0.0,115.24165,0.0,528.742,227.66042,455.5775,1955.5586,7092.144,625.00793,4594.2754,0.0,31.2364
2.1666667,250.04012,69.62438,339.39703,5941.7666,0.0,119.0004,0.0,499.34024,224.83725,447.0865,1853.5835,6060.891,559.44183,3534.239,0.0,32.665302
2.25,250.43555,70.051994,333.28308,6008.7246,0.0,122.93227,0.0,473.93085,221.5568,442.24426,1812.7771,5358.356,519.6873,2420.421,0.0,34.243168
2.3333333,250.06976,70.83789,324.842,6107.0933,0.0,126.980705,0.0,450.57144,218.3582,441.2926,1832.4764,0.0,500.06192,1267.3607,0.0,35.973892
2.4166667,245.29257,71.49677,315.3163,6171.012,0.0,131.1083,0.0,429.2906,215.65837,441.12158,1922.6453,0.0,488.4096,1154.6464,215.68289,37.855038
2.5,233.35376,72.08879,309.46176,6277.0703,0.0,135.29034,0.0,408.75488,213.5009,441.9788,1974.1044,0.0,474.52847,1331.2131,124.70635,39.92321
2.5833333,223.73639,72.89924,315.14575,6625.9834,0.0,139.50963,0.0,388.53384,211.67911,204.12569,2037.1323,0.0,458.54648,1680.5139,149.37956,41.901005
2.6666667,221.31671,74.02267,321.79465,7212.144,0.0,143.78026,0.0,368.38583,209.65956,196.85977,2040.1504,0.0,440.91635,2183.4866,178.72621,43.727177
2.75,219.56343,74.81033,329.02048,7767.6904,0.0,148.02563,0.0,348.18213,206.90747,196.81691,1984.7534,0.0,417.60635,2750.901,206.49136,45.64497
2.8333333,219.88931,75.53749,337.9024,8043.51,0.0,152.21182,0.0,329.43088,203.43144,387.3751,1900.1324,5369.1123,391.55762,3402.434,238.69693,47.64342
2.9166667,220.25719,76.43766,345.83932,8007.129,0.0,156.45985,0.0,311.72665,199.4549,381.6937,1931.4471,4888.319,367.33224,3799.2485,283.4016,49.71261
