"Mean biomass (tons), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
0.083333336,21844.82,5915.459,22932.57,79622.23,6836.2417,3039.526,20941.416,22581.326,24360.93,119226.734,29989.67,342473.38,280432.1,67019.99,24373.926,7465.428
0.16666667,22166.6,6305.78,23489.588,83665.25,5675.6997,3370.9453,21111.395,21751.84,24281.748,115928.65,33119.406,292127.38,244543.77,66807.19,22401.0,7544.3467
0.25,22477.371,6560.7573,24034.209,87678.26,4696.584,3724.2937,20420.256,21245.217,24226.615,111889.75,34368.46,257479.19,227306.3,66245.71,19420.137,7626.973
0.33333334,22688.25,6904.5684,24503.717,91401.65,3823.5107,4087.2964,19690.973,20879.648,24247.938,110878.96,37647.832,251944.14,237929.23,67723.75,14128.906,7714.5024
0.41666666,22504.504,7307.47,24828.898,94539.11,3375.7668,4474.918,19166.443,20630.979,24472.22,111162.74,43058.55,312669.25,249318.8,76287.164,10185.871,7811.1
0.5,21704.342,7669.1333,25396.656,113855.54,3139.7483,4886.616,18595.742,20442.795,31186.922,111666.27,48312.227,474503.2,249489.5,514661.3,10578.565,7918.231
0.5833333,21097.7,7914.357,26130.816,314404.8,2948.0945,5309.849,18173.324,20142.09,45506.71,109087.39,51862.58,518954.66,249903.17,852524.8,11092.918,7981.694
0.6666667,21113.117,8079.5146,27092.125,702015.94,3144.6375,5758.278,20966.803,19728.062,50776.055,104412.8,52751.453,554726.94,248525.16,850498.9,11588.039,7975.2456
0.75,21187.354,8191.856,28301.152,1325324.9,6049.0146,6228.4893,28782.266,19289.094,45647.27,98896.98,52255.86,590489.7,240455.9,869000.1,12009.916,7970.419
0.8333333,21435.86,8230.679,29790.69,1760812.8,10825.219,6723.021,32710.844,18828.844,39823.92,91259.18,51234.754,528781.2,226729.06,860118.3,35053.39,7967.322
0.9166667,21696.836,15754.54,30815.059,1859185.2,11802.411,7236.008,36620.727,18248.809,33795.76,88367.04,57696.246,459367.28,213622.84,751724.25,91362.9,7965.839
1.0,21972.445,24670.09,32180.408,1927698.2,12136.228,7760.3174,32433.16,17494.068,30134.576,85602.5,74217.28,398839.06,193999.94,674854.75,112870.73,7989.897
1.0833334,22203.428,25039.45,32946.477,1785613.9,12071.05,8282.89,27602.332,16620.959,27738.533,82292.49,79579.01,334745.25,171317.42,634695.8,116028.03,8081.46
1.1666666,22379.258,19885.912,33047.895,1566904.4,11663.461,8813.409,24106.826,15723.276,25443.215,79570.65,71204.08,277686.7,152669.44,560877.8,125886.57,8312.832
1.25,22550.277,16081.85,33071.055,1412690.2,11295.112,9355.491,20177.06,14865.827,23666.713,77117.5,67897.48,236172.95,140660.73,498026.0,129715.19,8619.258
1.3333334,22645.14,14051.545,33025.37,1221035.9,10971.758,9908.531,17234.275,14087.946,22735.912,75628.08,66115.35,228363.77,146670.36,456835.9,126536.77,8967.163
1.4166666,22353.617,12971.549,32930.69,1098517.9,11325.38,10473.484,15317.275,13431.565,22145.688,75226.305,69210.81,235398.75,155032.8,441183.78,116248.26,9358.544
1.5,21435.307,12370.301,32998.465,1025801.9,11973.602,11048.487,14204.177,12864.844,23556.68,74953.65,76147.74,241930.45,150342.55,474008.56,120188.06,9795.575
1.5833334,20724.236,12079.293,33530.473,1117985.5,11379.009,11635.198,13430.948,12273.232,24458.396,72862.8,79427.64,252328.34,144969.55,503230.84,126724.57,10112.942
