"cumulative catch (tons per time step of saving). ex: if time step of saving is the year, then annual catches are saved"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
0.083333336,215.36983,27.369085,126.00411,1171.2931,0.0,26.805496,0.0,845.4433,169.42036,462.4803,995.3443,16183.934,1813.213,1122.8962,0.0,13.794158
0.16666667,217.92506,29.441637,131.6236,1259.2893,0.0,29.726534,0.0,838.3264,172.45413,455.74484,1132.7966,14173.0625,1608.0814,1103.5752,0.0,13.93461
0.25,220.5302,31.55335,137.54079,1344.9277,0.0,33.175156,0.0,841.93756,175.95822,451.03824,1286.569,12586.369,1469.43,1085.3478,0.0,14.080853
0.33333334,222.44135,34.470165,143.69344,1418.524,0.0,37.150074,0.0,853.1106,179.36754,453.916,1543.6747,0.0,1433.0887,1095.1814,0.0,14.234749
0.41666666,221.10887,37.887108,148.99785,1472.1727,0.0,41.767906,0.0,870.42566,183.23091,461.52875,1899.0645,0.0,1425.4293,1153.981,87.06694,14.402199
0.5,214.52635,41.117126,153.96341,1504.5775,0.0,47.011696,0.0,889.4029,188.67937,468.95505,2219.6492,0.0,1421.2831,1289.9175,90.832664,14.586243
0.5833333,209.56488,43.578682,159.93042,1574.079,0.0,52.436478,0.0,903.58405,194.1211,177.0446,2413.5605,0.0,1418.8701,1495.9476,97.2897,14.709328
0.6666667,209.66788,45.333008,165.44188,1792.7803,0.0,58.019314,0.0,907.9806,198.59271,174.71477,2469.636,0.0,1404.626,1733.3821,103.79094,14.704809
0.75,210.3143,46.74152,171.38353,2178.3032,0.0,63.587048,0.0,908.7053,202.18922,172.33084,2463.471,0.0,1365.7007,2064.1184,109.33953,14.703758
0.8333333,212.34508,47.676453,179.38367,2613.6357,0.0,68.830246,0.0,897.8419,205.00137,395.72873,2430.36,14867.808,1292.1422,2405.6611,131.25429,14.705529
0.9166667,214.30914,49.30456,187.1767,3046.8318,0.0,73.39085,0.0,876.9109,206.29318,385.4973,2392.083,13088.833,1196.5323,2509.03,208.22691,14.709963
1.0,216.24411,50.691097,195.8459,3626.4023,0.0,77.05466,0.0,853.35474,206.32683,377.9178,2347.896,11564.435,1107.1664,2375.7437,277.63934,14.76105
1.0833334,268.01685,64.56193,271.92838,4665.11,0.0,96.7044,0.0,935.5359,242.14297,588.6146,3169.29,16326.917,1677.4197,2894.5938,0.0,20.729563
1.1666666,269.5914,64.8996,274.76297,4538.056,0.0,99.095856,0.0,900.06104,242.46548,573.177,2968.1763,13879.253,1506.6571,3090.3118,0.0,21.17639
1.25,271.10608,65.202194,277.04416,4393.2607,0.0,100.74458,0.0,863.5454,242.55656,559.09906,2778.1892,11927.995,1377.5177,3189.3645,0.0,21.781544
1.3333334,271.87335,65.700966,278.5022,4463.0854,0.0,101.91535,0.0,828.5254,242.3653,550.9176,2694.5996,0.0,1296.3853,3350.1921,0.0,22.498238
1.4166666,268.39896,66.38225,279.53354,4697.1494,0.0,102.87478,0.0,800.1475,242.36081,550.61,2709.5334,0.0,1242.8932,3647.0696,578.73804,23.347261
1.5,258.1497,67.50423,281.6997,4795.4854,0.0,103.9055,0.0,774.00146,242.4019,552.0231,2764.892,0.0,1198.3181,3987.2642,660.1639,24.336716
1.5833334,249.95769,68.95367,288.9852,4970.436,0.0,105.19029,0.0,749.34314,242.71677,196.59554,2809.3901,0.0,1164.3127,4463.926,758.8732,25.198496
1.6666666,248.36012,70.71196,297.1886,5353.7354,0.0,106.8592,0.0,722.91266,243.06053,188.9869,2771.8784,0.0,1118.4822,4923.929,856.2191,25.880772
1.75,247.31844,72.33988,305.17963,5678.185,0.0,108.991264,0.0,693.83636,242.75865,190.9737,2662.1213,0.0,1063.9786,5315.6514,948.06573,26.61835
1.8333334,248.08344,73.539024,313.0266,5993.6377,0.0,111.598495,0.0,663.1994,242.31082,468.86838,2577.2197,12951.659,994.52655,5595.752,1031.7917,27.404797
1.9166666,248.75093,74.70205,321.5256,6029.387,0.0,114.64674,0.0,628.8871,239.74237,458.65073,2522.598,11488.462,913.9483,5650.5156,1105.7782,28.227695
2.0,249.34894,75.43806,328.77792,5888.826,0.0,118.08481,0.0,591.65216,236.32187,453.53503,2409.1472,10429.138,836.5546,5651.317,1171.9188,29.14557
2.0833333,247.09802,75.00809,337.3203,5667.2603,0.0,121.263885,0.0,548.153,229.60748,389.85107,2105.1912,7905.1377,649.47754,4934.9346,0.0,31.12327
2.1666667,247.70361,75.26309,331.0054,5393.305,0.0,125.27114,0.0,516.95544,225.33665,379.54935,1981.0083,6814.5156,569.15735,3801.6768,0.0,32.488747
2.25,248.19464,75.80102,323.98126,5137.4893,0.0,129.46207,0.0,488.7113,220.95883,373.02448,1866.7892,5998.1665,517.8963,2731.178,0.0,34.041046
2.3333333,247.9297,76.517044,316.38058,4994.3013,0.0,133.78003,0.0,463.6221,217.10028,370.55676,1816.9397,0.0,489.50565,1619.5616,0.0,35.757378
2.4166667,243.20403,77.436035,306.5571,5009.417,0.0,138.17537,0.0,440.9255,214.42245,369.53708,1847.9348,0.0,474.27127,1509.5309,161.07861,37.633247
2.5,231.38916,78.13886,300.26285,5080.473,0.0,142.61046,0.0,418.23703,212.23534,369.2728,1872.4875,0.0,459.7286,1730.5247,84.16961,39.68846
2.5833333,221.75958,78.87901,305.4954,5354.1436,0.0,147.05458,0.0,396.19653,209.42897,136.49918,1869.7952,0.0,443.62585,2154.1204,100.34646,41.647038
2.6666667,219.37135,80.26224,311.4569,5886.6123,0.0,151.5213,0.0,374.54318,206.60393,130.70853,1845.405,0.0,425.9014,2687.2932,119.69913,43.45129
2.75,217.71854,81.306946,317.31058,6300.2334,0.0,155.99617,0.0,353.1866,203.74782,131.6325,1820.4213,0.0,406.84872,3321.7026,139.85696,45.340584
2.8333333,218.13785,82.08004,330.1569,6661.9424,0.0,160.4619,0.0,334.36423,199.95142,310.7746,1746.8727,6010.8696,384.48782,3864.3394,165.87976,47.31268
2.9166667,218.6042,83.22519,338.96954,6643.5474,0.0,164.88336,0.0,315.281,195.99695,305.05966,1757.76,5352.0054,368.6633,3842.6057,207.59053,49.358906
3.0,219.18568,83.802,348.61417,6536.8535,0.0,169.14027,0.0,295.78806,192.27106,303.32538,1676.4502,4857.7095,345.96835,3738.9297,247.22607,51.54055
3.0833333,170.09828,63.673985,248.46667,4848.9893,0.0,130.11035,0.0,264.83682,168.6511,387.20074,1758.1252,6028.481,436.27716,2733.8352,0.0,37.452488
3.1666667,170.95322,63.816822,231.29753,4743.84,0.0,133.43697,0.0,249.08148,165.02045,378.77295,1609.3577,5208.9653,401.5278,2578.755,0.0,39.38547
3.25,171.84914,64.05655,210.44728,4661.6577,0.0,136.85461,0.0,234.66054,161.5167,370.1399,1502.14,4556.8267,372.5382,2582.693,0.0,41.485565
3.3333333,172.2153,64.628044,188.75732,4571.0093,0.0,140.29137,0.0,221.7661,158.2715,364.36206,1456.4805,0.0,351.63354,2691.4487,0.0,43.710846
3.4166667,168.86719,65.15369,162.06296,4526.9014,0.0,143.73041,0.0,209.58693,155.19699,359.29648,1497.9873,0.0,339.06232,2811.719,168.1314,46.083687
