"Mean size of fish (centimeter) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
0.083333336,0.0,15.591173,14.392831,19.028444,1.2167397,10.1002865,5.554521,11.224339,20.764547,1.0312763,11.559377,18.174147,3.4973245,6.701963,1.8855715,18.574253,15.836223
0.083333336,1.0,23.648132,21.451965,25.299353,27.823711,13.99269,26.417889,17.464476,25.792648,14.247537,16.953808,24.445587,14.789713,17.467896,29.767717,27.149576,28.484657
0.083333336,2.0,30.773163,26.749527,30.023083,33.896984,16.709524,39.06703,21.654507,29.18871,19.492947,20.670238,28.184647,19.877108,21.423185,NaN,NaN,38.85311
0.083333336,3.0,37.060265,31.090475,32.823708,36.910545,18.536295,49.29985,24.17599,31.579994,23.641441,23.735727,31.181664,23.347874,23.16022,NaN,NaN,47.91798
0.083333336,4.0,42.661247,34.778713,NaN,38.485256,19.752338,58.97983,25.705553,33.258335,27.337872,26.302769,33.49627,25.711163,23.954556,NaN,NaN,55.77469
0.083333336,5.0,47.649918,37.830143,NaN,39.31804,NaN,67.451744,26.66146,34.437798,30.430191,28.438448,35.33231,27.35955,24.306358,NaN,NaN,62.60038
0.083333336,6.0,52.072712,40.377556,NaN,39.749596,NaN,74.35484,NaN,35.26857,33.074753,30.204626,36.7563,28.48922,24.467115,NaN,NaN,68.51778
0.083333336,7.0,56.00927,42.509655,NaN,39.97853,NaN,79.71043,NaN,35.851486,35.35145,31.694624,37.87203,29.268757,24.54006,NaN,NaN,73.68684
0.083333336,8.0,59.51172,44.275356,NaN,40.100628,NaN,84.02367,NaN,36.26599,37.26586,32.93092,38.756683,29.800661,24.572676,NaN,NaN,78.16589
0.083333336,9.0,62.61791,45.77345,NaN,40.166023,NaN,87.53148,NaN,36.55731,38.86459,33.965187,39.4475,30.17521,24.587667,NaN,NaN,82.06723
0.083333336,10.0,NaN,47.00514,NaN,40.200912,NaN,90.72192,NaN,36.761734,40.214985,34.830185,39.99312,30.43191,24.594212,NaN,NaN,85.45771
0.083333336,11.0,NaN,NaN,NaN,40.219273,NaN,93.01776,NaN,36.90601,41.375656,35.549847,40.42166,NaN,24.597492,NaN,NaN,88.40206
0.083333336,12.0,NaN,NaN,NaN,40.228897,NaN,94.90839,NaN,37.007053,42.356663,36.15173,40.757393,NaN,24.599007,NaN,NaN,90.96603
0.083333336,13.0,NaN,NaN,NaN,40.234066,NaN,NaN,NaN,37.07951,43.192944,36.65536,41.022705,NaN,24.599482,NaN,NaN,93.18829
0.083333336,14.0,NaN,NaN,NaN,40.23676,NaN,NaN,NaN,37.129147,43.901985,37.074768,41.232212,NaN,24.600002,NaN,NaN,95.122574
0.083333336,15.0,NaN,NaN,NaN,40.23817,NaN,NaN,NaN,37.16521,NaN,NaN,41.39474,NaN,NaN,NaN,NaN,96.80627
0.083333336,16.0,NaN,NaN,NaN,40.239037,NaN,NaN,NaN,37.190475,NaN,NaN,41.52405,NaN,NaN,NaN,NaN,98.26814
0.083333336,17.0,NaN,NaN,NaN,40.2398,NaN,NaN,NaN,37.208046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.53961
0.083333336,18.0,NaN,NaN,NaN,40.240013,NaN,NaN,NaN,37.220253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.644005
0.083333336,19.0,NaN,NaN,NaN,40.240005,NaN,NaN,NaN,37.229084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101.60503
0.083333336,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.083333336,21.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.083333336,22.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.083333336,23.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.083333336,24.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.083333336,25.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,0.0,16.309734,15.024416,16.964216,1.3872447,1.1235425,13.773608,1.1846458,20.892939,1.0535871,12.007353,19.121775,3.8534865,7.3202705,1.8862432,19.78158,16.90823
0.16666667,1.0,24.27288,21.882874,23.693468,27.05046,13.47982,23.34746,16.449615,25.104216,13.589408,16.88747,24.650558,14.5681505,17.52035,30.06491,27.489964,29.410305
