"cumulative catch (tons per time step of saving). ex: if time step of saving is the year, then annual catches are saved"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
0.083333336,215.19026,27.31261,125.57241,1171.1926,0.0,26.790506,0.0,844.99713,169.46027,458.81027,989.4983,16187.678,1815.952,1134.2736,0.0,13.794012
0.16666667,217.83145,29.317072,130.66013,1260.8778,0.0,29.583576,0.0,835.70056,172.8786,448.65622,1148.0082,14184.641,1607.7053,1152.2205,0.0,13.934026
0.25,220.51425,31.566267,135.80647,1348.4603,0.0,32.818428,0.0,838.4909,176.59164,444.5349,1336.1438,12583.298,1465.282,1159.9646,0.0,14.080087
0.33333334,222.56471,34.582928,141.71098,1422.8724,0.0,36.70764,0.0,850.13654,180.63007,450.35434,1615.7443,0.0,1419.1797,1183.5481,0.0,14.234313
0.41666666,221.22765,37.798122,147.08987,1478.0898,0.0,41.172928,0.0,864.49786,185.46834,460.53445,1966.72,0.0,1398.792,1266.4553,86.97341,14.401926
0.5,214.58366,40.67666,152.66216,1514.7465,0.0,46.291008,0.0,879.13715,191.04352,470.9617,2279.185,0.0,1383.0537,1364.4021,90.42474,14.586427
0.5833333,209.5773,42.95139,160.77956,1643.1542,0.0,51.650677,0.0,889.56464,196.36179,185.22528,2459.9153,0.0,1376.0288,1571.6903,96.78552,14.709768
0.6666667,209.67834,44.599953,168.39998,1889.4458,0.0,57.10099,0.0,892.4895,200.86232,188.12566,2504.6794,0.0,1348.9528,1905.0732,103.368484,14.705558
0.75,210.336,45.74312,176.8135,2355.997,0.0,62.546703,0.0,883.4759,204.34311,190.16895,2482.8035,0.0,1288.8367,2251.6628,108.98453,14.704846
0.8333333,212.44508,46.5532,183.90465,2797.617,0.0,67.71332,0.0,866.1324,206.76357,412.28207,2438.2449,14047.398,1202.6649,2602.2983,130.35106,14.706947
0.9166667,214.40411,47.756714,191.81964,3460.06,0.0,72.23657,0.0,845.11224,207.90286,400.03717,2389.3674,12289.061,1102.9987,2667.158,214.45847,14.711905
1.0,216.33963,48.653553,199.04259,4027.7993,0.0,75.897125,0.0,819.0064,207.68602,391.09534,2328.872,10953.896,1005.31134,2358.893,277.6691,14.763192
1.0833334,268.27188,61.68106,273.84958,5398.3047,0.0,95.34035,0.0,893.35876,243.9104,608.18396,3160.8528,15517.534,1506.568,2766.1135,0.0,20.73311
1.1666666,269.90195,62.06239,275.50784,5402.284,0.0,97.753296,0.0,858.52405,243.6941,592.9693,2992.9683,13347.736,1360.3074,2958.5408,0.0,21.184357
1.25,271.42996,62.49494,276.41547,5402.8545,0.0,99.39851,0.0,827.04913,243.58215,580.8415,2845.2532,11563.226,1250.8077,3089.9695,0.0,21.790022
1.3333334,272.1906,63.122246,276.73038,5172.6943,0.0,100.56938,0.0,799.0552,243.12859,576.25256,2787.6616,0.0,1189.6355,3254.6145,0.0,22.515104
1.4166666,268.65152,63.886047,276.47595,5212.0503,0.0,101.55246,0.0,771.7298,242.43939,577.96576,2814.0256,0.0,1150.7633,3570.606,591.02747,23.368507
1.5,258.34552,64.85966,277.33408,5154.273,0.0,102.62916,0.0,748.89874,243.1924,581.4968,2880.2964,0.0,1120.8429,3900.8223,674.89435,24.362757
