"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.406135482934414,0,0.252465029311842,0.163746985005312
"redMullet",0.248461055710334,0,0,0.118472694786309
"pouting ",0.435714505868398,0,0,0.230662880416052
"whiting",0.880273265457796,0,0,0.503316407207839
"poorCod",0,0,0,0
"cod",0.20643267476492,0,0.246205791381058,0.132840724651418
"dragonet",0,0,0,0
"sole",0.1754170835704,0,1.35144710381754,0.236679137410199
"plaice",0.35292782183837,0,0.360840322011073,0.205355520699033
"horseMackerel",0.104087611022539,0.123029478436428,0,0.111749603006605
"mackerel",0.94429932037184,0.352223299465361,0,0.553740931279977
"herring",0,0.956253607352613,0,0.901403335330494
"sardine",0,0.369257328410392,0,0.490311192076089
"squids",0.581615514588418,0,0,0.2234481490204
"cuttlefish",0.348534068730769,0,0,0.11761840826174
"thornbackRay",0.083204441309028,0,0,0.0994878094361386
