"Mean size of fish (centimeter) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
0.083333336,0.0,15.5995655,14.421064,19.020517,1.1528286,10.103395,16.633516,11.205213,20.782614,1.0315318,11.650441,18.209696,3.371685,6.5260143,1.8855785,18.589195,15.840439
0.083333336,1.0,23.66308,21.436556,25.296127,27.834639,13.952665,26.409927,17.462908,25.78299,14.363187,16.945286,24.44274,14.831695,17.449951,29.756926,27.14729,28.4637
0.083333336,2.0,30.757755,26.737183,30.015184,33.89212,16.69998,39.06123,21.663006,29.185625,19.528194,20.67328,28.217552,19.893753,21.427086,NaN,NaN,38.862484
0.083333336,3.0,37.084988,31.110476,32.820576,36.914055,18.537312,49.26516,24.169485,31.577982,23.623878,23.748709,31.15428,23.344124,23.161873,NaN,NaN,47.911907
0.083333336,4.0,42.66756,34.768745,NaN,38.481026,19.754646,59.022385,25.70289,33.260956,27.338114,26.30068,33.49533,25.714172,23.953949,NaN,NaN,55.768036
0.083333336,5.0,47.64667,37.836273,NaN,39.316612,NaN,67.4075,26.662916,34.442062,30.452879,28.428236,35.330315,27.361618,24.307425,NaN,NaN,62.60309
0.083333336,6.0,52.06723,40.378227,NaN,39.7481,NaN,74.36175,NaN,35.26864,33.07193,30.211653,36.752155,28.48345,24.466587,NaN,NaN,68.52173
0.083333336,7.0,56.006863,42.506554,NaN,39.978725,NaN,79.76125,NaN,35.85244,35.349903,31.696453,37.8723,29.274681,24.53994,NaN,NaN,73.687096
0.083333336,8.0,59.504864,44.273827,NaN,40.100487,NaN,84.0289,NaN,36.262566,37.261288,32.933258,38.753338,29.8027,24.572624,NaN,NaN,78.16635
0.083333336,9.0,62.608734,45.771973,NaN,40.166004,NaN,87.51082,NaN,36.557686,38.868435,33.970806,39.440804,30.17825,24.587664,NaN,NaN,82.06523
0.083333336,10.0,NaN,47.00458,NaN,40.200935,NaN,90.726456,NaN,36.76039,40.22461,34.829086,39.99251,30.431644,24.594313,NaN,NaN,85.46072
0.083333336,11.0,NaN,NaN,NaN,40.219234,NaN,93.01023,NaN,36.90562,41.37281,35.549465,40.420624,NaN,24.597488,NaN,NaN,88.40159
0.083333336,12.0,NaN,NaN,NaN,40.228924,NaN,94.92054,NaN,37.00719,42.355038,36.1528,40.758995,NaN,24.599003,NaN,NaN,90.96364
0.083333336,13.0,NaN,NaN,NaN,40.234016,NaN,NaN,NaN,37.078968,43.19329,36.652267,41.02245,NaN,24.599483,NaN,NaN,93.18342
0.083333336,14.0,NaN,NaN,NaN,40.23676,NaN,NaN,NaN,37.12989,43.901886,37.0731,41.231937,NaN,24.6,NaN,NaN,95.124596
0.083333336,15.0,NaN,NaN,NaN,40.238182,NaN,NaN,NaN,37.165318,NaN,NaN,41.395924,NaN,NaN,NaN,NaN,96.802986
0.083333336,16.0,NaN,NaN,NaN,40.239037,NaN,NaN,NaN,37.190575,NaN,NaN,41.524788,NaN,NaN,NaN,NaN,98.26683
0.083333336,17.0,NaN,NaN,NaN,40.2398,NaN,NaN,NaN,37.207962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.538185
0.083333336,18.0,NaN,NaN,NaN,40.240013,NaN,NaN,NaN,37.22033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.64518
0.083333336,19.0,NaN,NaN,NaN,40.240005,NaN,NaN,NaN,37.229122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101.60527
0.083333336,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.083333336,21.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.083333336,22.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.083333336,23.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.083333336,24.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.083333336,25.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,0.0,16.324358,15.221216,16.799587,1.3549355,1.1614699,17.675129,1.1214746,20.909029,1.0839183,12.277131,19.22276,3.8955894,7.2094173,1.885877,19.796585,16.912653
0.16666667,1.0,24.287361,21.883713,23.702639,27.050846,13.451442,23.331745,16.432499,25.093449,13.702868,16.880613,24.65456,14.61989,17.531195,30.217539,27.487692,29.388348
0.16666667,2.0,31.313723,27.115135,29.265709,33.27084,16.355173,36.891853,21.252592,28.864761,18.860392,20.668533,28.399284,19.699675,21.45239,NaN,NaN,39.667084
0.16666667,3.0,37.579224,31.403307,32.366043,36.614937,18.281746,47.84621,23.978579,31.432688,23.139883,23.727118,31.302496,23.22836,23.1737,NaN,NaN,48.61091
0.16666667,4.0,43.106617,35.02615,NaN,38.323746,19.599726,57.700005,25.587345,33.17093,26.947163,26.319948,33.620975,25.64704,23.960047,NaN,NaN,56.375717
0.16666667,5.0,48.03676,38.049835,NaN,39.238914,NaN,66.01968,26.592968,34.404198,30.085398,28.440907,35.448673,27.29722,24.309753,NaN,NaN,63.13128
0.16666667,6.0,52.413933,40.564037,NaN,39.706825,NaN,73.00453,NaN,35.24792,32.73868,30.234388,36.853355,28.44261,24.467493,NaN,NaN,68.9809
0.16666667,7.0,56.31499,42.6619,NaN,39.956795,NaN,78.62723,NaN,35.837524,35.00013,31.713125,37.9512,29.249104,24.540442,NaN,NaN,74.08628
0.16666667,8.0,59.77868,44.399986,NaN,40.088936,NaN,83.09995,NaN,36.25292,36.944424,32.95636,38.813896,29.779892,24.572994,NaN,NaN,78.51338
0.16666667,9.0,62.85205,45.877853,NaN,40.159744,NaN,86.76297,NaN,36.552258,38.585484,33.99513,39.491608,30.167006,24.587763,NaN,NaN,82.36692
0.16666667,10.0,NaN,47.094242,NaN,40.197884,NaN,89.76159,NaN,36.75599,39.983368,34.84527,40.02956,30.421097,24.594336,NaN,NaN,85.72296
0.16666667,11.0,NaN,NaN,NaN,40.21747,NaN,92.22635,NaN,36.903976,41.165894,35.563835,40.45173,NaN,24.59753,NaN,NaN,88.62957
0.16666667,12.0,NaN,NaN,NaN,40.228085,NaN,94.275505,NaN,37.006077,42.174473,36.16656,40.78239,NaN,24.599012,NaN,NaN,91.161835
0.16666667,13.0,NaN,NaN,NaN,40.233524,NaN,95.30815,NaN,37.07802,43.039463,36.66651,41.04188,NaN,24.599495,NaN,NaN,93.35572
0.16666667,14.0,NaN,NaN,NaN,40.236572,NaN,NaN,NaN,37.12912,43.77239,37.08526,41.246532,NaN,24.600002,NaN,NaN,95.27439
0.16666667,15.0,NaN,NaN,NaN,40.23791,NaN,NaN,NaN,37.16484,NaN,NaN,41.407948,NaN,NaN,NaN,NaN,96.93321
0.16666667,16.0,NaN,NaN,NaN,40.239094,NaN,NaN,NaN,37.19036,NaN,NaN,41.53418,NaN,NaN,NaN,NaN,98.38004
0.16666667,17.0,NaN,NaN,NaN,40.239635,NaN,NaN,NaN,37.20771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.636604
0.16666667,18.0,NaN,NaN,NaN,40.240032,NaN,NaN,NaN,37.22024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.730736
0.16666667,19.0,NaN,NaN,NaN,40.240017,NaN,NaN,NaN,37.228977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101.67965
0.16666667,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,21.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,22.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,23.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,24.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,25.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,0.0,17.048079,15.935757,12.906746,1.4621913,1.0724355,10.1109,1.4831799,20.700407,1.3920628,6.3206134,20.382294,4.6357346,8.35427,1.8906975,20.749823,17.971348
0.25,1.0,24.904888,22.333555,22.917315,26.974361,12.297622,22.194296,15.632315,23.8056,13.794838,16.330297,24.926378,14.849453,17.719702,30.557575,26.247444,30.302654
0.25,2.0,31.864298,27.488909,28.74506,32.83778,15.629671,36.14855,20.869343,28.17337,18.884933,20.203472,28.612581,19.787123,21.519104,NaN,NaN,40.46229
0.25,3.0,38.068604,31.689518,32.03686,36.387283,17.778723,47.594193,23.805422,31.001337,23.222757,23.27972,31.458788,23.293829,23.201982,NaN,NaN,49.3018
0.25,4.0,43.541412,35.285843,NaN,38.19775,19.248379,57.404465,25.485672,32.913452,27.053226,25.987974,33.774235,25.702085,23.972324,NaN,NaN,56.97635
0.25,5.0,48.423023,38.25996,NaN,39.171764,NaN,65.53369,26.529737,34.254833,30.16267,28.179405,35.567356,27.329067,24.315258,NaN,NaN,63.65334
0.25,6.0,52.75724,40.748814,NaN,39.67172,NaN,72.34328,NaN,35.147385,32.79636,30.027075,36.949192,28.468767,24.470036,NaN,NaN,69.43475
0.25,7.0,56.620106,42.811115,NaN,39.9379,NaN,77.91866,NaN,35.771782,35.032036,31.544737,38.026367,29.27362,24.541933,NaN,NaN,74.480835
0.25,8.0,60.049812,44.5251,NaN,40.078926,NaN,82.478195,NaN,36.20466,36.958755,32.824066,38.872787,29.79531,24.573652,NaN,NaN,78.85639
0.25,9.0,63.09299,45.981487,NaN,40.15435,NaN,86.20722,NaN,36.51734,38.595398,33.8844,39.539047,30.177298,24.587996,NaN,NaN,82.665115
0.25,10.0,NaN,47.183952,NaN,40.195065,NaN,89.08168,NaN,36.735367,39.99236,34.758945,40.06672,30.428116,24.594435,NaN,NaN,85.98216
0.25,11.0,NaN,NaN,NaN,40.215904,NaN,91.647575,NaN,36.88904,41.17211,35.488106,40.482517,NaN,24.597591,NaN,NaN,88.85491
0.25,12.0,NaN,NaN,NaN,40.227306,NaN,93.77249,NaN,36.99595,42.17759,36.10314,40.80661,NaN,24.599043,NaN,NaN,91.35774
0.25,13.0,NaN,NaN,NaN,40.233074,NaN,95.327705,NaN,37.070545,43.043125,36.614273,41.060932,NaN,24.599518,NaN,NaN,93.526024
0.25,14.0,NaN,NaN,NaN,40.23639,NaN,NaN,NaN,37.123447,43.774918,37.044582,41.261055,NaN,24.600008,NaN,NaN,95.42245
0.25,15.0,NaN,NaN,NaN,40.23777,NaN,NaN,NaN,37.161,NaN,NaN,41.4196,NaN,NaN,NaN,NaN,97.06193
0.25,16.0,NaN,NaN,NaN,40.23905,NaN,NaN,NaN,37.187828,NaN,NaN,41.543236,NaN,NaN,NaN,NaN,98.49194
0.25,17.0,NaN,NaN,NaN,40.239483,NaN,NaN,NaN,37.205975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.73388
0.25,18.0,NaN,NaN,NaN,40.24005,NaN,NaN,NaN,37.219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.81531
0.25,19.0,NaN,NaN,NaN,40.240025,NaN,NaN,NaN,37.228027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101.75317
0.25,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,21.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,22.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,23.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,24.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
