"Mean biomass (tons), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
0.083333336,21845.568,5892.512,22781.168,79788.805,6767.029,3015.6802,20969.467,22591.209,24377.121,118693.1,29816.783,343817.5,279944.47,67090.23,24373.648,7465.442
0.16666667,22167.758,6235.6655,23213.242,84007.055,5548.7773,3319.7427,21177.82,21885.781,24391.908,116229.0,31993.346,295284.1,243533.44,66413.336,22399.746,7544.4487
0.25,22482.537,6498.585,23737.393,88239.914,4492.1216,3662.188,20545.95,21372.857,24243.95,113104.664,33839.16,263503.97,225854.6,65884.92,19418.139,7627.2505
0.33333334,22690.836,6817.2188,24199.883,92074.055,3662.5518,4020.902,19951.27,21030.74,24230.99,113068.266,37392.77,259156.2,238894.06,66928.15,14126.27,7714.6875
0.41666666,22514.79,7209.4624,24562.17,95237.86,3211.5054,4395.6455,19509.1,20797.148,24609.65,113908.15,42975.91,301298.78,251542.61,76634.47,10224.312,7811.1704
0.5,21721.842,7528.7583,25123.154,140451.42,2975.7659,4792.959,19118.414,20537.68,29575.316,115830.3,48866.5,443353.34,251504.5,491609.4,10625.869,7918.589
0.5833333,21120.467,7745.093,25971.36,312135.53,2753.5615,5200.0195,18826.695,20176.984,39787.637,114129.05,52675.07,482653.62,252991.88,875752.8,11144.6045,7982.0786
0.6666667,21128.664,7867.0435,27023.791,746936.6,2794.6687,5623.8623,20637.117,19725.646,44088.805,110453.9,53709.418,513083.84,250108.11,951759.56,11639.531,7975.711
0.75,21195.715,7919.394,28017.92,1309493.0,4522.067,6074.511,29477.406,19203.184,41848.348,105739.85,53283.19,543696.7,242139.58,903157.4,12076.27,7970.977
0.8333333,21449.842,7961.3643,29167.018,1658262.6,6917.15,6550.784,38662.56,18633.791,36378.066,98354.664,52372.164,484300.06,227938.39,854722.6,39766.13,7967.8516
0.9166667,21706.697,18800.371,30571.94,1604643.6,7951.989,7041.3,41789.96,17976.215,32494.22,95742.04,56522.53,423925.56,212783.97,784830.25,88977.805,7966.458
1.0,21985.885,25763.354,31929.012,1531801.1,7935.3013,7544.3228,35308.465,17227.238,28988.95,92466.5,68195.17,368046.1,195148.31,710242.94,107261.305,7990.626
1.0833334,22226.906,25411.9,32759.098,1484424.9,7481.1626,8046.4463,29647.322,16339.302,26745.24,87915.07,73719.66,316749.34,171060.38,626118.3,110896.36,8082.2246
1.1666666,22425.188,22038.818,32741.033,1284338.9,6814.6655,8554.845,23998.273,15398.689,25068.115,84561.984,69098.4,264905.38,151598.47,561180.7,119817.29,8315.107
1.25,22600.885,18423.934,32717.61,1134102.2,6020.962,9074.327,19642.732,14584.002,23601.09,81474.41,66249.945,229233.89,137214.44,491174.53,123218.63,8624.379
1.3333334,22710.037,15039.347,32633.639,1051789.8,5460.021,9604.563,17201.594,13838.342,22427.035,79931.18,67587.45,220614.12,137667.31,445941.56,120010.87,8972.208
1.4166666,22431.518,13581.094,32450.482,1006511.44,5530.4214,10144.661,15485.781,13200.78,21729.234,79465.055,74867.84,227009.55,149319.5,448373.03,109204.766,9363.178
1.5,21526.906,12539.388,32370.926,949645.44,5566.478,10695.098,14392.697,12659.901,21194.416,79179.68,79127.8,232933.5,163022.0,486104.75,113435.9,9799.465
1.5833334,20815.777,12231.647,32881.332,1022267.25,5466.213,11256.919,13560.656,12090.388,22629.564,76986.05,86529.31,238350.38,145864.98,531689.3,119909.945,10117.774
1.6666666,20732.07,12026.67,33593.71,1314127.1,5638.1,11828.555,16541.473,11527.424,27391.934,74353.72,88673.33,246031.69,134208.33,553238.3,126178.96,10339.454
1.75,20707.775,11058.062,35012.355,1562155.1,6463.471,12416.499,19544.623,10974.4375,26964.389,72153.375,84708.73,251862.83,117954.24,554366.6,131451.33,10578.977
1.8333334,20861.355,10324.19,36529.812,1749729.9,6920.504,13002.069,20530.045,10459.618,23888.373,67370.24,79521.74,217379.92,101901.97,523057.22,154633.25,10837.912
1.9166666,21020.19,12759.192,38314.016,1711025.1,6551.858,13595.759,18141.459,9962.8545,22228.223,66881.625,103846.76,192694.64,95810.21,479124.38,174772.39,11114.909
2.0,21208.492,15905.213,40162.586,1603057.9,6043.6797,14187.869,16137.393,9406.866,20603.303,65693.81,128433.4,166637.02,89554.516,414853.0,175955.0,11433.268
2.0833333,21396.566,16274.068,40744.96,1437672.6,5288.285,14769.249,13736.904,8880.003,19326.238,63797.863,140138.89,140377.75,74223.59,304997.3,164357.39,11838.371
2.1666667,21552.28,14471.739,40197.582,1260104.2,4902.831,15357.663,11637.462,8363.813,18446.266,62005.992,132706.14,118953.33,62859.7,215123.44,158148.97,12387.47
2.25,21702.443,13118.812,39517.043,1139905.5,4956.9004,15947.927,10255.743,7905.052,17705.758,60632.504,128932.984,106105.45,56488.586,151720.03,151636.53,13018.932
2.3333333,21774.979,12625.806,38652.688,1078558.5,5010.25,16535.809,9502.553,7491.9414,17287.22,59910.87,136691.9,102251.61,71425.42,92804.08,116836.28,13711.524
2.4166667,21427.094,12393.989,37703.805,1037753.75,4857.032,17120.125,8484.326,7105.9434,16894.684,59542.965,149925.17,102197.69,90584.414,90092.19,65615.695,14468.111
2.5,20397.094,12478.462,36988.17,1018900.1,4670.172,17699.52,7686.569,6728.5103,17962.281,59180.87,159774.64,101981.98,97619.39,171214.72,55050.676,15277.931
2.5833333,19574.877,12586.039,37447.367,1254086.9,4748.555,18274.297,7090.682,6374.059,24962.312,57517.06,161196.45,102215.305,86966.08,319433.34,56944.543,15991.851
2.6666667,19428.123,12644.751,38547.22,1708276.8,3832.1047,18852.059,9744.803,6042.766,29679.264,55507.16,158318.67,104733.125,76786.2,429158.7,59971.69,16624.658
2.75,19348.78,12245.556,39643.754,2070355.6,4680.197,19425.254,14053.052,5738.7725,27826.045,53636.49,143768.3,106260.23,66345.07,498955.44,62162.71,17287.795
2.8333333,19467.691,11492.2295,40226.33,2092725.6,6980.8496,20319.896,12965.163,5513.83,21698.043,50060.703,126038.484,89985.72,54558.094,547806.5,87186.76,17983.32
2.9166667,19588.893,14492.924,40970.918,1901752.9,8173.2964,21016.959,11572.729,5315.285,19079.318,49747.03,110793.25,82544.35,59939.453,537818.9,100069.1,18709.258
3.0,19740.49,17016.666,41147.54,1659657.4,8328.192,21680.988,10326.151,5061.544,16719.771,49272.31,101416.98,74844.945,58613.703,497705.1,98867.36,19490.49
3.0833333,19955.688,18796.941,40575.95,1471940.4,8441.775,22402.006,7898.1694,4782.4014,15867.034,48166.69,93142.52,64562.363,41438.043,457716.8,94649.63,20388.246
3.1666667,20156.033,16906.957,37143.555,1260994.6,8222.486,23157.42,6322.027,4528.883,15134.344,46937.574,79686.14,54382.574,32244.035,413549.75,100340.76,21470.895
3.25,20337.564,15148.068,33052.215,1153720.1,8038.9243,23968.043,5365.507,4298.037,14411.452,45769.45,70394.01,47048.47,27685.877,381647.5,104777.68,22666.764
3.3333333,20439.404,13871.656,28603.4,1105671.4,8224.414,24813.398,4679.871,4087.854,14025.249,44967.78,61517.74,45326.297,29682.406,374510.47,95679.01,23920.977
3.4166667,20062.791,13809.27,23315.023,1075551.0,8514.206,25682.057,4060.0684,3888.4395,13763.811,44309.926,61750.61,44811.67,33668.08,373527.84,64183.215,25262.05
3.5,18904.742,13260.539,19048.85,1069851.1,8834.716,26551.041,3553.8718,3688.7717,14777.101,43655.043,62983.832,44503.305,35767.67,391918.6,54991.652,26679.295
3.5833333,17989.518,13347.71,19361.377,1604906.8,8458.8,27536.725,2982.195,3493.8423,17513.322,41672.99,63656.02,45984.277,32919.785,439548.62,53501.7,28002.143
