"cumulative catch (tons per time step of saving). ex: if time step of saving is the year, then annual catches are saved"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
0.083333336,215.10359,27.391432,126.10063,1171.6392,0.0,26.536453,0.0,845.64703,167.453,463.47327,1003.15155,16176.498,1814.886,1139.0585,0.0,13.794135
0.16666667,217.71361,29.564892,132.19475,1262.7363,0.0,29.366552,0.0,838.21857,170.42618,460.1245,1144.0636,14068.577,1608.551,1157.6045,0.0,13.934593
0.25,220.02039,31.845312,138.41527,1351.1827,0.0,32.670315,0.0,839.7223,173.68805,459.03162,1293.6993,12351.969,1468.4669,1165.1091,0.0,14.081046
0.33333334,221.70975,34.63857,144.61026,1426.8364,0.0,36.530376,0.0,850.17725,177.92197,469.00317,1551.192,0.0,1420.3013,1186.7722,0.0,14.235288
0.41666666,220.48483,37.91851,150.55435,1483.2748,0.0,40.881493,0.0,865.54724,182.61894,484.17456,1890.1968,0.0,1400.0878,1268.9404,87.19283,14.403081
0.5,213.95578,40.900574,156.37569,1517.4607,0.0,45.71324,0.0,884.4191,188.71356,498.136,2171.0208,0.0,1373.1613,1350.3356,91.1288,14.587861
0.5833333,209.07086,43.257446,164.80804,1552.9196,0.0,50.9023,0.0,899.0724,194.08669,207.84502,2312.0095,0.0,1351.6759,1508.5833,97.728195,14.711481
0.6666667,209.47685,44.8894,174.58514,1677.8856,0.0,56.212955,0.0,905.54156,198.49796,208.72923,2340.068,0.0,1318.3175,1815.6014,104.380226,14.707469
0.75,210.28694,46.21863,183.93063,1899.4045,0.0,61.495613,0.0,904.0582,202.15793,209.78432,2316.3677,0.0,1251.4818,2267.7615,110.04657,14.707111
0.8333333,212.62726,47.288563,192.38954,2197.6677,0.0,66.37665,0.0,895.9513,205.2173,433.75732,2281.0754,13881.429,1156.3081,2789.683,125.076485,14.709874
0.9166667,214.8585,48.057507,201.05417,2513.8457,0.0,70.47388,0.0,880.16425,207.47107,422.4914,2239.7683,12269.997,1041.2476,3034.0295,192.98788,14.715275
1.0,217.0665,48.74405,210.86072,2781.1396,0.0,73.77559,0.0,855.99603,208.9153,414.36246,2188.1396,11063.055,939.8934,2881.5957,257.954,14.767169
1.0833334,269.30188,61.894615,293.49692,3864.5432,0.0,92.57217,0.0,935.7519,245.25339,645.1613,2958.9421,16008.047,1414.7295,3423.5928,0.0,20.739157
1.1666666,271.00793,62.63637,296.21014,4102.2344,0.0,95.00894,0.0,900.774,245.54303,628.2363,2807.3525,13747.268,1274.4889,3713.1948,0.0,21.191315
1.25,272.24924,63.345745,298.11517,4069.095,0.0,96.82193,0.0,867.41815,246.91518,614.507,2664.8562,11843.987,1172.6805,3887.6055,0.0,21.800314
1.3333334,272.70917,64.1015,299.66562,4061.5105,0.0,98.14466,0.0,829.23224,246.82172,609.0266,2624.6152,0.0,1109.9149,4075.8494,0.0,22.527208
1.4166666,269.2966,64.96997,300.90988,3989.9622,0.0,99.24446,0.0,796.0754,245.41893,610.66406,2717.8928,0.0,1064.4899,4393.2544,557.5335,23.38462
1.5,259.22354,66.37735,303.65265,4095.5112,0.0,100.369644,0.0,768.1192,244.8756,614.4288,2821.101,0.0,1025.6646,4756.7764,641.2228,24.38338
1.5833334,251.29524,67.71405,312.17273,4233.957,0.0,101.71422,0.0,741.42456,244.937,260.34363,2879.4646,0.0,994.7038,5179.9414,742.8352,25.254984
1.6666666,249.96214,69.25494,318.7429,4343.653,0.0,103.41096,0.0,713.6744,244.02812,258.21167,2891.2444,0.0,962.7792,5682.0806,850.1406,25.949366
1.75,249.1387,70.67771,328.10315,4827.8755,0.0,105.45964,0.0,684.74493,242.29904,262.41434,2834.802,0.0,916.0814,6117.1167,950.5848,26.696241
1.8333334,250.10022,72.07744,336.74985,5012.797,0.0,107.73482,0.0,653.76086,239.31659,538.2939,2696.3787,12671.4375,854.4895,6380.1245,1039.1096,27.482922
