"Mean size of fish (centimeter) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
0.083333336,0.0,15.602505,14.406067,19.04692,1.314155,10.090842,8.248767,11.2480345,20.761372,1.0312736,11.5954,18.243605,3.0829196,6.600117,1.8856224,18.58845,15.834637
0.083333336,1.0,23.649328,21.458618,25.30783,27.840485,13.982856,26.453087,17.475397,25.783884,14.3205385,16.946318,24.43307,14.817331,17.463198,29.834236,27.149426,28.460466
0.083333336,2.0,30.753296,26.725746,30.01915,33.8955,16.703344,39.128136,21.650776,29.180199,19.507261,20.674152,28.229836,19.899252,21.427378,NaN,NaN,38.843513
0.083333336,3.0,37.068684,31.100882,32.81762,36.917767,18.534573,49.312717,24.171188,31.585709,23.658752,23.73588,31.200329,23.35036,23.160301,NaN,NaN,47.928806
0.083333336,4.0,42.66723,34.767887,NaN,38.479446,19.754137,58.962704,25.702696,33.251575,27.354342,26.30568,33.497913,25.717152,23.954477,NaN,NaN,55.735546
0.083333336,5.0,47.654015,37.826275,NaN,39.316425,NaN,67.4268,26.661995,34.430363,30.428736,28.434954,35.330124,27.363155,24.306927,NaN,NaN,62.59753
0.083333336,6.0,52.073383,40.373894,NaN,39.74876,NaN,74.38248,NaN,35.27008,33.089886,30.216911,36.751316,28.488338,24.467089,NaN,NaN,68.52449
0.083333336,7.0,56.00666,42.503567,NaN,39.97794,NaN,79.74172,NaN,35.851326,35.36237,31.69307,37.872906,29.267982,24.540064,NaN,NaN,73.68503
0.083333336,8.0,59.507843,44.28235,NaN,40.100426,NaN,84.04027,NaN,36.266624,37.26757,32.93606,38.757725,29.806883,24.57252,NaN,NaN,78.170815
0.083333336,9.0,62.61656,45.772236,NaN,40.16614,NaN,87.51424,NaN,36.557884,38.866604,33.965572,39.450188,30.177465,24.587599,NaN,NaN,82.073715
0.083333336,10.0,NaN,47.01219,NaN,40.20084,NaN,90.727,NaN,36.76142,40.219364,34.829742,39.99003,30.430088,24.594202,NaN,NaN,85.45955
0.083333336,11.0,NaN,NaN,NaN,40.219307,NaN,93.01436,NaN,36.905647,41.370884,35.54841,40.42052,NaN,24.597502,NaN,NaN,88.401855
0.083333336,12.0,NaN,NaN,NaN,40.228886,NaN,94.91677,NaN,37.007347,42.356007,36.152557,40.757526,NaN,24.599005,NaN,NaN,90.961296
0.083333336,13.0,NaN,NaN,NaN,40.234035,NaN,NaN,NaN,37.07949,43.191975,36.6561,41.022446,NaN,24.599482,NaN,NaN,93.18923
0.083333336,14.0,NaN,NaN,NaN,40.23676,NaN,NaN,NaN,37.129696,43.907013,37.07472,41.23216,NaN,24.6,NaN,NaN,95.12508
0.083333336,15.0,NaN,NaN,NaN,40.23819,NaN,NaN,NaN,37.16521,NaN,NaN,41.395008,NaN,NaN,NaN,NaN,96.80462
0.083333336,16.0,NaN,NaN,NaN,40.239037,NaN,NaN,NaN,37.190376,NaN,NaN,41.52439,NaN,NaN,NaN,NaN,98.27017
0.083333336,17.0,NaN,NaN,NaN,40.2398,NaN,NaN,NaN,37.207863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.5405
0.083333336,18.0,NaN,NaN,NaN,40.240013,NaN,NaN,NaN,37.220295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.64344
0.083333336,19.0,NaN,NaN,NaN,40.240005,NaN,NaN,NaN,37.229073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101.60476
0.083333336,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.083333336,21.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.083333336,22.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.083333336,23.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.083333336,24.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.083333336,25.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,0.0,16.327929,15.091355,17.197721,1.3635854,1.1739442,17.910398,1.1506302,20.89424,1.0670232,12.148927,19.20969,4.0000105,7.208793,1.8857899,19.79588,16.905678
0.16666667,1.0,24.276266,21.88076,23.699501,27.063206,13.4601145,23.360554,16.446997,25.091885,13.701279,16.837807,24.648739,14.6008835,17.52339,30.38485,27.489819,29.38702
0.16666667,2.0,31.309238,27.09348,29.293018,33.273064,16.327839,36.9232,21.249002,28.870983,18.8236,20.654545,28.404997,19.702694,21.453472,NaN,NaN,39.648033
0.16666667,3.0,37.562897,31.414743,32.369343,36.618565,18.298513,47.927773,23.980286,31.428873,23.186722,23.723623,31.38134,23.225897,23.169783,NaN,NaN,48.627777
0.16666667,4.0,43.10624,35.03117,NaN,38.32007,19.578217,57.642536,25.588444,33.17017,26.965147,26.325283,33.632206,25.64694,23.960747,NaN,NaN,56.343227
0.16666667,5.0,48.044098,38.045376,NaN,39.23928,NaN,66.034775,26.588741,34.394028,30.068792,28.458809,35.450516,27.310108,24.308586,NaN,NaN,63.125717
0.16666667,6.0,52.420086,40.55642,NaN,39.707428,NaN,73.02328,NaN,35.253185,32.74651,30.244165,36.85089,28.447893,24.467928,NaN,NaN,68.98367
0.16666667,7.0,56.31479,42.658463,NaN,39.95578,NaN,78.62152,NaN,35.839024,35.01554,31.713484,37.95224,29.23836,24.540651,NaN,NaN,74.08421
0.16666667,8.0,59.78166,44.40462,NaN,40.089073,NaN,83.097435,NaN,36.258415,36.94735,32.961727,38.815468,29.786314,24.572739,NaN,NaN,78.517845
0.16666667,9.0,62.859882,45.879074,NaN,40.159904,NaN,86.76066,NaN,36.552967,38.585835,33.985863,39.49946,30.166544,24.587635,NaN,NaN,82.375404
0.16666667,10.0,NaN,47.10164,NaN,40.197712,NaN,89.77303,NaN,36.759144,39.975117,34.84666,40.027794,30.421762,24.594238,NaN,NaN,85.721794
0.16666667,11.0,NaN,NaN,NaN,40.21752,NaN,92.2072,NaN,36.9041,41.16535,35.56154,40.451366,NaN,24.597532,NaN,NaN,88.62984
0.16666667,12.0,NaN,NaN,NaN,40.228077,NaN,94.286194,NaN,37.006054,42.17554,36.168034,40.78135,NaN,24.59902,NaN,NaN,91.15949
0.16666667,13.0,NaN,NaN,NaN,40.233555,NaN,95.28662,NaN,37.078526,43.037655,36.669292,41.04172,NaN,24.599478,NaN,NaN,93.361534
0.16666667,14.0,NaN,NaN,NaN,40.236572,NaN,NaN,NaN,37.12883,43.773403,37.086292,41.246895,NaN,24.600002,NaN,NaN,95.27487
0.16666667,15.0,NaN,NaN,NaN,40.23792,NaN,NaN,NaN,37.164806,NaN,NaN,41.406338,NaN,NaN,NaN,NaN,96.934845
0.16666667,16.0,NaN,NaN,NaN,40.239094,NaN,NaN,NaN,37.19013,NaN,NaN,41.53305,NaN,NaN,NaN,NaN,98.383385
0.16666667,17.0,NaN,NaN,NaN,40.239635,NaN,NaN,NaN,37.20761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.638916
0.16666667,18.0,NaN,NaN,NaN,40.240032,NaN,NaN,NaN,37.220146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.729
0.16666667,19.0,NaN,NaN,NaN,40.240017,NaN,NaN,NaN,37.228943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,101.67914
0.16666667,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,21.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,22.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,23.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,24.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.16666667,25.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.25,0.0,17.018015,15.794933,13.556286,1.5562769,0.9866082,10.520498,1.4179398,20.647194,1.3641279,6.15862,20.38014,5.1524787,8.195144,1.8906933,20.747383,17.964151
