"Mean biomass (tons), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
0.083333336,21843.436,5901.076,22959.652,79770.1,6886.4805,3032.891,20935.543,22573.424,24480.338,118278.305,29851.596,345016.1,280127.78,67353.9,24374.193,7465.394
0.16666667,22161.238,6244.643,23530.203,83953.94,5651.0796,3347.7747,21024.084,21744.945,24502.668,115965.2,33067.434,296816.72,243808.14,66682.125,22402.197,7544.3413
0.25,22483.086,6561.3945,24029.098,88169.76,4627.2817,3678.496,20398.27,21202.922,24485.758,113859.195,34675.9,258849.75,226451.1,66470.59,19422.018,7627.0464
0.33333334,22707.562,6882.6655,24561.592,92011.875,3855.0986,4040.727,19799.57,20855.908,24532.691,114915.055,37427.406,253553.4,236093.97,68151.59,14131.162,7714.4526
0.41666666,22538.227,7247.362,25085.67,95161.47,3437.0747,4407.1655,19307.709,20592.594,25014.459,117054.93,42230.94,305856.2,247885.56,81806.59,10216.934,7810.9204
0.5,21753.756,7605.6216,25695.746,123556.4,3200.2131,4784.633,18779.562,20413.352,29241.314,118433.055,47409.21,439090.22,245149.22,468651.66,10561.017,7918.161
0.5833333,21164.676,7818.4956,26543.09,387764.6,2949.8374,5189.414,18455.713,20109.197,40785.453,116210.766,51011.94,484949.62,245322.4,836782.8,11048.192,7981.609
0.6666667,21187.312,7962.6025,27492.111,772444.25,3080.6157,5618.093,22269.586,19668.137,44022.043,112687.61,52047.6,516457.78,242833.16,885045.9,11540.435,7975.0684
0.75,21263.11,8016.352,28405.42,1326818.5,6854.3945,6073.174,27777.111,19112.688,41046.81,107533.195,51637.656,548043.3,235299.84,981458.25,11977.501,7970.316
0.8333333,21512.99,8035.8315,29268.936,1554158.0,10295.506,6550.2183,37089.344,18447.246,36699.77,99392.086,50510.035,488321.7,219465.45,926532.0,35618.055,7967.359
0.9166667,21766.787,16161.53,30312.355,1602808.6,12562.691,7039.309,39014.33,17741.338,32924.957,95787.72,54106.23,426589.47,207018.6,849268.4,102752.74,7965.997
1.0,22047.06,22717.406,31723.53,1570084.2,12448.556,7540.9263,34450.914,16903.97,29506.87,92033.77,65567.2,370727.56,192104.84,764608.5,130664.914,7990.15
1.0833334,22287.195,23652.264,32517.795,1481871.5,12332.897,8043.195,28531.191,16071.55,27574.084,88432.19,70224.29,314456.25,170385.48,652929.8,135418.97,8081.832
1.1666666,22485.467,19265.303,32591.43,1322963.9,11789.968,8551.24,23950.24,15158.822,25739.79,84938.67,67143.44,261857.0,148464.28,581402.25,144662.89,8313.579
1.25,22678.516,15060.572,32569.006,1118637.9,11212.596,9070.772,19999.65,14336.116,24482.549,82266.164,63226.92,223386.81,133022.58,534061.5,147308.31,8622.911
1.3333334,22792.238,12969.618,32479.4,1025381.5,10393.84,9599.318,17475.107,13596.073,23582.31,80567.99,64231.848,215341.83,127727.36,486628.12,142694.66,8971.019
1.4166666,22517.15,11796.341,32325.664,937073.44,10058.476,10138.306,15355.069,12930.795,22586.82,80118.68,69129.53,221430.98,134302.84,499811.16,129661.15,9360.44
1.5,21612.49,11659.82,32373.594,890905.06,9605.276,10688.021,13844.186,12332.678,22609.455,79740.16,73651.44,227072.2,138020.39,523308.7,134073.69,9797.522
1.5833334,20910.58,11714.7705,32958.727,962263.9,9208.275,11248.823,13159.577,11743.156,25340.32,77626.03,75028.22,232230.75,134221.23,570822.3,141356.61,10115.959
1.6666666,20836.111,11426.164,33494.926,1106026.1,9028.432,11818.318,12458.995,11210.206,29766.658,75110.016,72328.48,237745.45,124606.8,608875.8,148221.9,10337.762
1.75,20819.027,11016.481,33997.113,1458078.1,8393.173,12395.394,15601.79,10663.722,32048.01,72971.336,67951.45,243281.39,112539.64,615557.25,153545.45,10578.698
1.8333334,20975.252,10345.778,34605.05,1643415.8,8582.154,12984.39,18258.936,10135.671,28301.922,68219.34,61051.92,207154.28,101070.77,596261.25,178054.2,10836.623
1.9166666,21135.27,14629.346,36046.234,1611192.8,8428.131,13580.53,15540.018,9613.648,24332.281,67586.97,77488.69,184151.62,96197.27,568014.25,189670.95,11110.77
