"cumulative catch (tons per time step of saving). ex: if time step of saving is the year, then annual catches are saved"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
0.083333336,215.3113,27.296488,126.14207,1171.969,0.0,26.8043,0.0,844.0902,169.6654,460.31235,1001.3175,16202.701,1815.457,1141.738,0.0,13.794104
0.16666667,217.90005,29.371271,132.50864,1261.8876,0.0,29.633238,0.0,834.3531,173.19528,453.55972,1166.0819,14169.841,1612.4828,1147.1569,0.0,13.934361
0.25,220.56409,31.655357,138.4546,1349.6923,0.0,32.813087,0.0,837.2793,176.8161,451.1842,1325.6754,12381.596,1473.4523,1155.2197,0.0,14.08078
0.33333334,222.60677,34.328068,144.65768,1424.8701,0.0,36.643204,0.0,848.5166,181.0453,458.74716,1587.6018,0.0,1430.6453,1174.2677,0.0,14.234902
0.41666666,221.33351,37.29718,150.65984,1480.0577,0.0,40.903957,0.0,863.84503,186.23616,471.35815,1919.2721,0.0,1412.4144,1253.906,87.28822,14.402642
0.5,214.81422,40.119022,157.34982,1526.8223,0.0,45.53907,0.0,883.29254,192.05838,484.49747,2210.309,0.0,1387.4817,1393.4583,90.901276,14.587316
0.5833333,209.98651,42.18154,165.79636,1668.0232,0.0,50.560555,0.0,897.69434,197.56651,198.05997,2381.138,0.0,1374.2769,1616.9326,97.10587,14.710859
0.6666667,210.34706,43.780212,173.9816,1912.2208,0.0,55.746452,0.0,902.72644,201.87456,200.01068,2424.8545,0.0,1354.8832,1883.7179,103.60551,14.706549
0.75,211.126,45.0388,181.2371,2195.5164,0.0,60.953896,0.0,896.6426,205.37361,200.52687,2409.7063,0.0,1310.6823,2275.318,109.18133,14.705696
0.8333333,213.30284,46.00475,187.63892,2367.707,0.0,65.82891,0.0,882.172,207.65813,421.7447,2369.7197,13395.357,1229.0083,2671.6921,126.49016,14.7081
0.9166667,215.41718,47.333054,194.23436,2653.5894,0.0,70.045105,0.0,860.2118,209.50787,408.8102,2326.825,11733.834,1128.145,2882.6812,210.74832,14.713099
1.0,217.46643,48.33204,201.63327,3091.583,0.0,73.45282,0.0,832.65155,210.18875,399.1698,2277.9956,10460.604,1037.716,2793.918,281.2301,14.764506
1.0833334,269.6303,61.25405,278.39902,4272.7134,0.0,92.24678,0.0,912.5462,245.76674,622.2214,3089.498,14838.158,1568.9794,3415.827,0.0,20.734539
1.1666666,271.47784,61.25465,280.87338,4245.6245,0.0,94.52162,0.0,874.6712,245.31094,606.52075,2911.2007,12632.136,1411.6997,3591.1062,0.0,21.187109
1.25,273.21014,61.312794,282.77615,3998.879,0.0,96.1329,0.0,838.7337,245.73648,594.13983,2755.2217,10951.574,1295.1765,3863.226,0.0,21.79567
1.3333334,274.1411,61.944744,284.0173,3857.7566,0.0,97.30813,0.0,806.2693,245.71358,589.80054,2705.0103,0.0,1230.3931,4216.255,0.0,22.517616
1.4166666,270.83652,62.68175,284.34668,3735.9373,0.0,98.29906,0.0,777.9817,244.77176,591.7772,2733.515,0.0,1191.6858,4773.5835,625.3848,23.364683
1.5,260.7811,63.909374,286.49814,3683.4844,0.0,99.35314,0.0,751.5127,244.6212,595.6148,2778.591,0.0,1153.2861,5239.197,709.58496,24.359144
1.5833334,252.83159,65.521095,294.0191,3748.7527,0.0,100.65902,0.0,725.7623,245.14952,245.67918,2785.7837,0.0,1116.3867,5703.5093,817.13025,25.226658
1.6666666,251.49039,67.36935,300.40616,3912.4485,0.0,102.330444,0.0,700.2656,244.78654,242.12012,2742.6719,0.0,1070.1442,6260.5894,925.0777,25.915558
1.75,250.69336,68.937836,305.54062,4311.5176,0.0,104.43349,0.0,672.12933,244.06755,249.11671,2666.5225,0.0,1017.02997,6871.599,1022.7003,26.660357
1.8333334,251.65901,70.1651,311.0092,4616.3594,0.0,106.97329,0.0,641.1005,241.59888,525.91565,2545.1016,11102.583,947.2876,7272.5063,1110.695,27.447786
1.9166666,252.49316,71.56681,319.16214,4775.2153,0.0,109.9279,0.0,607.0629,238.03346,517.4,2450.657,9734.601,865.3141,7291.3003,1197.0836,28.275234
2.0,253.27669,72.616714,327.91565,4786.433,0.0,113.24313,0.0,571.054,235.11842,513.9963,2334.2275,8622.673,771.6575,6968.4873,1269.248,29.208406
