"Mean biomass (tons), excluding first ages specified in input"
"Time","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
0.083333336,22008.572,6135.405,23427.787,82683.18,7021.869,3163.8223,21349.938,23477.729,25131.129,120315.79,31354.201,335632.4,277995.78,68250.516,24374.023,7492.0986
0.16666667,22974.844,7436.9663,25994.668,97989.2,6238.7017,4043.0762,22950.436,25391.76,27348.059,121737.664,38719.203,284835.34,235514.8,73731.84,22401.412,7674.9287
0.25,23958.701,8578.395,28663.04,116125.05,5411.714,5061.231,22925.072,27205.39,29591.021,121090.23,43715.445,244697.03,204049.4,78448.5,19420.746,7871.5293
0.33333334,24830.46,10282.453,31269.21,135803.22,4569.9004,6281.9155,22868.197,28926.977,31640.398,122056.71,49011.527,243352.11,184528.86,85841.08,14129.5625,8085.981
0.41666666,25260.684,13016.229,33896.293,155101.02,4145.1074,7702.4946,23126.674,30680.373,36673.0,122053.57,55647.79,359008.2,160156.16,119497.23,10309.541,8330.545
0.5,25026.744,15924.906,36382.85,171667.47,3754.6616,9321.123,23242.752,32354.65,49050.47,120457.086,61445.707,3483735.0,131462.56,2017848.6,11507.707,8614.44
0.5833333,24955.93,18437.154,38938.527,185536.92,3440.3076,11143.514,23319.143,33637.117,57724.684,115489.04,64629.348,1.2814158E7,106747.56,3373577.5,12807.605,8843.3955
0.6666667,25566.348,20106.236,51993.2,198559.0,4867.8975,13174.704,23544.146,34726.7,59824.56,108392.37,62087.3,1.7550144E7,86508.086,2868885.5,14081.754,9012.989
0.75,26229.09,21614.375,60958.98,211501.88,10479.593,15424.758,23683.066,35626.926,60808.84,98995.125,57309.492,2.1077946E7,70421.26,2557483.5,15288.517,9195.817
0.8333333,27133.277,23187.064,71127.33,225269.6,16492.598,17898.973,23669.936,36721.25,59646.832,86735.11,52862.613,1.9916318E7,57077.223,2198894.2,152868.89,9392.444
0.9166667,28071.4,25738.443,81974.45,242190.16,19827.234,20594.34,22973.793,37282.445,56377.793,78094.234,46774.156,1.5492107E7,44295.203,1879232.6,395479.22,9603.051
1.0,29023.914,29138.12,87689.02,264238.4,22380.53,23506.39,21377.307,37283.05,53316.363,72040.15,42636.48,1.196644E7,33992.27,1509369.9,461624.9,9852.637
1.0833334,29891.498,32298.37,90818.18,279835.12,24520.244,26570.225,19344.188,36562.8,51133.81,67333.984,38953.223,9236316.0,26529.996,1212774.9,443914.66,10178.349
1.1666666,30715.178,33250.242,91185.91,288102.0,26108.932,29805.959,17569.402,35670.066,49491.652,63144.17,35585.758,7114685.0,21619.863,1010682.8,458494.9,10555.98
1.25,31557.861,33929.76,94648.53,296621.28,28577.078,33224.645,15893.502,34587.07,47590.742,59644.15,32626.84,5522288.0,17653.287,875980.75,456310.94,10972.788
1.3333334,32317.61,35347.465,98200.44,307114.38,31105.758,36819.62,14170.254,33307.96,45752.242,55969.863,30369.432,5182020.0,13948.615,778213.9,438357.06,11422.626
1.4166666,32618.217,37594.81,101886.11,314459.97,33820.91,40583.746,12624.997,32332.37,44567.32,53049.406,28224.67,5743048.5,11539.896,848951.1,395991.47,11911.239
1.5,32166.633,39707.863,106230.93,322609.22,36297.03,44509.453,11705.743,31674.316,44806.87,50959.473,26512.123,6538604.5,9755.0625,1050683.5,414010.84,12440.639
1.5833334,31932.775,41227.906,110951.42,342114.62,39018.566,48588.914,10862.408,30409.945,46150.57,48372.492,24710.725,7422613.0,8229.451,1197578.1,441207.16,12941.368
1.6666666,32450.01,42509.598,143353.31,395993.8,42960.793,52809.02,11058.608,29175.838,48595.336,45579.734,22532.256,8446383.0,6739.098,1162598.9,466017.44,13381.834
1.75,33038.74,42983.293,185511.22,470003.4,67023.43,57199.957,11423.157,28421.586,51697.09,43110.664,20591.555,9251993.0,5513.4014,1083166.1,485835.12,13850.358
1.8333334,33851.41,43028.742,229395.95,518287.06,97206.49,61703.664,10554.892,28364.43,47511.37,38114.61,18745.182,8068783.0,4364.813,971280.06,624221.7,14347.067
1.9166666,34676.652,44671.188,279118.97,565978.25,103914.51,66324.75,9203.178,28838.484,43355.81,35109.14,17405.385,6066714.0,3516.9707,837656.06,748824.6,14870.374
2.0,35506.3,46361.836,316455.06,585990.1,102071.35,71039.02,7911.8794,28203.336,39961.05,32292.96,17935.512,4563060.0,2902.0364,685484.75,706145.56,15449.035
2.0833333,36314.43,46464.215,329657.78,586299.7,98999.836,75749.25,6910.468,26914.717,37713.094,29413.906,18867.408,3429286.2,1812.3286,537330.1,655264.0,16113.932
2.1666667,37053.004,46926.973,325271.9,592329.4,98249.65,80510.375,5646.9224,25048.863,36206.465,27008.52,18074.875,2591977.5,1374.1658,400299.72,701049.4,16842.883
2.25,37715.125,47590.332,320339.06,597919.2,98113.87,85337.164,4844.4185,23415.447,34021.516,24480.346,17392.426,2017326.2,981.7044,300014.28,754763.44,17626.486
2.3333333,38220.234,48552.47,316599.28,584240.1,98006.18,90199.62,3925.236,21982.443,31972.78,22064.045,16658.459,1867867.9,748.546,268353.53,702929.7,18451.766
2.4166667,38168.34,49681.527,316943.72,582005.75,99299.16,95083.73,3160.9412,20756.31,30323.219,20420.55,16640.252,1971238.0,626.0028,427210.84,557578.5,19325.137
2.5,37187.953,50771.01,319523.12,580196.2,101807.914,100042.016,2804.4397,19617.393,30407.646,19221.291,16830.936,2154105.8,529.7839,621946.5,571851.9,20262.723
2.5833333,36503.406,51512.14,317647.5,619459.9,102111.766,105085.945,2545.8965,18673.324,30473.908,18069.447,16595.348,2373316.8,438.78992,731973.3,641916.7,21180.453
2.6666667,36725.453,52230.56,374779.4,685328.6,108371.14,110159.36,2448.8662,17924.45,29651.13,17137.791,15030.911,2559018.5,356.72275,895140.6,688054.0,22041.455
2.75,37030.934,52471.742,438598.5,736968.75,128537.164,115367.01,2440.1257,17646.012,30569.729,16413.703,13600.688,2682500.8,281.64328,1012208.25,691346.56,22942.912
2.8333333,37592.17,52160.04,475251.47,779029.75,143671.45,120577.05,2419.4497,18909.12,27491.355,14770.286,12078.854,2264059.8,234.54456,975338.25,740434.3,23882.367
2.9166667,38154.145,53038.49,488277.22,819674.75,152838.12,125750.734,2232.1929,19907.82,24737.457,13788.527,10919.129,1684146.8,187.65266,803368.06,773327.1,24861.318
3.0,38807.977,52740.72,499272.78,818433.94,140138.19,130832.2,1962.2831,19251.506,22573.393,12774.965,10109.8125,1245418.1,159.33777,650487.8,711483.3,25897.3
3.0833333,39513.754,50893.457,481353.72,809552.06,132931.1,135979.9,1819.2399,18771.506,20202.88,11558.944,8858.431,908334.2,119.733315,497191.6,651823.3,27056.75
3.1666667,40125.445,49633.984,462570.88,784346.4,129772.32,141199.95,1673.9829,18148.807,18060.996,10544.625,7683.369,656334.7,82.31121,409765.9,613943.06,28319.611
3.25,40717.25,48016.57,449110.53,770198.4,124390.75,146417.48,1327.477,17020.877,16507.607,9577.58,6441.4824,481143.12,60.44512,366278.9,576308.5,29661.57
3.3333333,41139.832,47408.38,435512.97,753198.94,118945.28,151413.69,1026.264,15703.932,14052.654,8573.228,5356.0557,443026.4,45.114555,337326.25,419148.7,31056.441
3.4166667,40864.723,46920.13,424623.12,732686.8,115612.63,155083.9,806.13525,15136.17,12381.358,7910.4736,4724.714,455199.5,38.005775,437717.88,214760.47,32557.129
3.5,39423.973,45827.656,417495.22,729544.94,114513.484,157220.42,515.8061,14531.718,11982.355,7387.677,3962.567,473306.16,34.571724,589774.0,187706.36,34163.64
3.5833333,38310.2,45276.47,409339.97,754357.06,114243.52,160489.33,395.30975,14208.297,11248.08,6985.25,3449.8857,505454.78,29.410357,663060.3,203524.95,35712.4
3.6666667,38333.97,44982.56,409999.47,834320.56,124006.586,163690.02,392.76273,13908.246,11803.5205,6548.883,3060.1072,527069.44,24.08358,698919.3,216774.19,37216.582
3.75,38469.516,44469.37,435839.22,888039.44,145874.95,166704.53,745.44244,13798.859,11235.331,6135.6353,2728.8245,540477.9,19.886168,687386.7,218750.9,38791.375
3.8333333,38910.293,43689.125,463968.12,894731.75,167279.39,168657.64,1496.6609,13811.77,9429.946,4755.1196,2443.7988,428773.03,15.386863,654073.06,305716.03,40415.266
3.9166667,39389.566,43200.22,507814.16,895144.1,171030.67,170626.47,1170.864,13547.417,8377.398,4174.03,2140.35,305010.84,12.934928,534308.56,435629.7,42097.75
4.0,39970.098,41385.484,515880.6,878066.9,165676.77,172798.31,1149.3656,13119.286,7927.961,3689.0916,1940.877,215435.97,9.985844,425533.38,434062.94,43863.36
4.0833335,40843.383,40185.605,502570.5,867637.0,148685.69,175547.16,706.7576,12138.741,7107.951,3293.6658,1693.8702,147235.94,6.1256413,343428.06,404623.16,45850.22
4.1666665,41648.4,38454.414,471622.88,853194.0,137014.52,178031.72,927.38104,10839.716,6836.2544,2924.1987,1388.7122,100426.83,2.49893,274849.7,423025.4,48052.223
4.25,42373.074,37237.766,462934.6,824910.44,125731.03,179048.84,747.395,9626.778,6131.375,2546.6206,1316.6766,71952.38,1.8592377,212711.94,440672.25,50420.246
4.3333335,42884.47,36379.117,456888.8,819409.75,116255.62,179317.45,438.93634,8788.995,5222.0415,2167.176,1103.1301,65394.965,1.404667,155243.03,405985.25,52925.266
4.4166665,42465.926,36234.727,447596.78,809290.7,115449.06,179387.0,401.39136,8196.257,4835.1665,2014.1528,1033.8419,65524.01,1.1811217,253407.31,309097.06,55595.28
4.5,40520.273,36122.703,441760.84,820214.25,114370.16,181326.72,362.8555,7766.2104,6189.2124,1902.5828,992.2329,66076.664,1.1101825,396284.88,313984.6,58429.324
4.5833335,39110.906,35475.465,432136.72,876351.0,114413.055,182650.81,343.59042,7220.679,7553.526,1763.8628,938.37256,68338.22,1.0266383,515411.2,339871.47,61219.938
4.6666665,39097.816,35247.207,460742.72,959991.75,122780.03,185088.31,426.85077,6882.7627,7016.064,1636.1807,892.3316,69840.69,0.9726507,586650.2,359475.3,63980.01
4.75,39167.188,34647.184,528690.5,1049171.9,145103.16,186901.89,366.36285,6838.3223,8724.48,1519.2919,810.30524,70025.62,0.93678635,647793.44,359011.75,66848.09
4.8333335,39666.63,33599.098,536365.56,1050899.1,155362.78,188438.17,853.08356,6811.596,7883.193,1140.843,742.5922,53475.473,0.42945927,615495.8,414607.44,69805.33
4.9166665,40237.58,32595.717,540423.9,1036285.6,156416.88,191304.42,620.5789,6924.506,6866.1724,1094.5016,752.8074,39502.1,0.55093867,498066.28,479323.1,72848.516
5.0,40934.543,31411.947,537795.1,1009901.5,147635.75,193710.33,565.1497,6940.4707,5043.011,1007.7299,754.94403,28711.832,0.5692329,404857.47,490772.56,76035.664
5.0833335,41683.38,29821.158,524280.66,954597.94,139177.61,196545.02,378.34628,6706.661,4297.2007,812.1299,750.28265,19207.346,0.34785408,321278.28,457084.44,79379.76
5.1666665,42161.375,28568.062,500877.78,904692.75,124393.85,196499.08,456.8718,6162.586,3468.6787,727.36444,755.53143,11023.98,0.32302728,254675.44,431178.0,83024.62
5.25,42633.156,26997.008,480640.03,880227.06,107846.37,196832.3,471.23392,5475.8213,2981.6667,639.3675,807.61633,7791.1704,0.26278916,213106.02,405031.12,86909.39
5.3333335,42937.52,26060.764,451076.7,848476.2,102807.945,195937.88,387.64777,5003.5146,2332.278,530.48224,871.59564,7207.538,0.23258717,182407.78,316067.56,90943.91
5.4166665,42221.54,25872.148,426174.44,825819.1,94776.2,194730.14,289.94843,4927.4653,1898.1761,411.91812,963.451,7150.2505,0.25823212,272008.2,191108.31,95226.07
5.5,39762.086,24382.318,393094.12,819701.2,89911.15,196468.23,304.44333,4805.8916,2831.771,323.89557,911.44507,7150.041,0.23711258,389914.62,186041.52,99847.54
5.5833335,37845.484,23406.34,373376.12,874869.5,86232.67,196858.58,317.90997,4475.0044,3005.863,305.4973,841.0454,7336.5205,0.24078591,464332.22,201079.25,104445.305
5.6666665,37583.543,22580.838,402853.3,969339.0,107713.234,198780.02,692.95514,4360.828,4971.7,282.938,809.71045,7609.438,0.15743358,520829.84,210856.58,109001.57
5.75,37465.586,22210.898,457112.75,1041322.3,124710.71,201085.17,1000.8532,4382.6636,6724.214,262.4834,784.2923,7832.815,0.117154375,531379.94,213015.14,113719.98
