,mortality_by_dt
1,4.16667E-05
2,4.16667E-05
3,4.16667E-05
4,4.16667E-05
5,4.16667E-05
6,4.16667E-05
7,4.16667E-05
8,4.16667E-05
9,4.16667E-05
10,4.16667E-05
11,4.16667E-05
12,4.16667E-05
13,4.16667E-05
14,4.16667E-05
15,4.16667E-05
16,4.16667E-05
17,4.16667E-05
18,4.16667E-05
19,4.16667E-05
20,4.16667E-05
21,4.16667E-05
22,4.16667E-05
23,4.16667E-05
24,4.16667E-05
25,4.16667E-05
26,4.16667E-05
27,4.16667E-05
28,4.16667E-05
29,4.16667E-05
30,4.16667E-05
31,4.16667E-05
32,4.16667E-05
33,4.16667E-05
34,4.16667E-05
35,4.16667E-05
36,4.16667E-05
37,4.16667E-05
38,4.16667E-05
39,4.16667E-05
40,4.16667E-05
41,4.16667E-05
42,4.16667E-05
43,4.16667E-05
44,4.16667E-05
45,4.16667E-05
46,4.16667E-05
47,4.16667E-05
48,4.16667E-05
49,4.16667E-05
50,4.16667E-05
51,4.16667E-05
52,4.16667E-05
53,4.16667E-05
54,4.16667E-05
55,4.16667E-05
56,4.16667E-05
57,4.16667E-05
58,4.16667E-05
59,4.16667E-05
60,4.16667E-05
61,4.16667E-05
62,4.16667E-05
63,4.16667E-05
64,4.16667E-05
65,4.16667E-05
66,4.16667E-05
67,4.16667E-05
68,4.16667E-05
69,4.16667E-05
70,4.16667E-05
71,4.16667E-05
72,4.16667E-05
73,4.16667E-05
74,4.16667E-05
75,4.16667E-05
76,4.16667E-05
77,4.16667E-05
78,4.16667E-05
79,4.16667E-05
80,4.16667E-05
81,4.16667E-05
82,4.16667E-05
83,4.16667E-05
84,4.16667E-05
85,4.16667E-05
86,4.16667E-05
87,4.16667E-05
88,4.16667E-05
89,4.16667E-05
90,4.16667E-05
91,4.16667E-05
92,4.16667E-05
93,4.16667E-05
94,4.16667E-05
95,4.16667E-05
96,4.16667E-05
97,4.16667E-05
98,4.16667E-05
99,4.16667E-05
100,4.16667E-05
101,4.16667E-05
102,4.16667E-05
103,4.16667E-05
104,4.16667E-05
105,4.16667E-05
106,4.16667E-05
107,4.16667E-05
108,4.16667E-05
109,4.16667E-05
110,4.16667E-05
111,4.16667E-05
112,4.16667E-05
113,4.16667E-05
114,4.16667E-05
115,4.16667E-05
116,4.16667E-05
117,4.16667E-05
118,4.16667E-05
119,4.16667E-05
120,4.16667E-05
121,4.16667E-05
122,4.16667E-05
123,4.16667E-05
124,4.16667E-05
125,4.16667E-05
126,4.16667E-05
127,4.16667E-05
128,4.16667E-05
129,4.16667E-05
130,4.16667E-05
131,4.16667E-05
132,4.16667E-05
133,4.16667E-05
134,4.16667E-05
135,4.16667E-05
136,4.16667E-05
137,4.16667E-05
138,4.16667E-05
139,4.16667E-05
140,4.16667E-05
141,4.16667E-05
142,4.16667E-05
143,4.16667E-05
144,4.16667E-05
145,4.16667E-05
146,4.16667E-05
147,4.16667E-05
148,4.16667E-05
149,4.16667E-05
150,4.16667E-05
151,4.16667E-05
152,4.16667E-05
153,4.16667E-05
154,4.16667E-05
155,4.16667E-05
156,4.16667E-05
157,4.16667E-05
158,4.16667E-05
159,4.16667E-05
160,4.16667E-05
161,4.16667E-05
162,4.16667E-05
163,4.16667E-05
164,4.16667E-05
