"Mean size of fish (centimeter) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids","cuttlefish","thornbackRay"
0.083333336,0.0,15.643596,14.726574,19.00668,1.3114647,10.052572,1.3342634,11.486915,21.000292,1.4042734,11.635201,18.35866,1.247079,6.5830827,1.8832724,18.598602,15.868707
0.083333336,1.0,23.685816,21.483624,25.310131,27.884825,13.970689,26.605564,17.583635,25.837135,14.401812,16.983332,24.473133,15.072846,17.445803,29.716644,27.15604,28.505783
0.083333336,2.0,30.777308,26.760817,30.020103,33.894516,16.708433,39.090584,21.679201,29.226078,19.588768,20.667608,28.23071,20.046896,21.421614,NaN,NaN,38.87446
0.083333336,3.0,37.068718,31.119759,32.818523,36.913372,18.530582,49.312096,24.17918,31.599495,23.69193,23.760372,31.218615,23.434258,23.156355,NaN,NaN,47.92621
0.083333336,4.0,42.673702,34.79696,NaN,38.477535,19.750689,58.958633,25.711872,33.266323,27.328915,26.31709,33.517063,25.759129,23.952183,NaN,NaN,55.769543
0.083333336,5.0,47.649845,37.8336,NaN,39.315754,NaN,67.41894,26.665936,34.44073,30.435305,28.442902,35.33338,27.40765,24.306255,NaN,NaN,62.590736
0.083333336,6.0,52.06738,40.380337,NaN,39.747715,NaN,74.36024,NaN,35.274387,33.085373,30.209728,36.761566,28.516224,24.467066,NaN,NaN,68.526344
0.083333336,7.0,56.006,42.51008,NaN,39.97783,NaN,79.73607,NaN,35.855568,35.36694,31.700068,37.87369,29.283405,24.53972,NaN,NaN,73.68562
0.083333336,8.0,59.507175,44.285454,NaN,40.10072,NaN,84.03429,NaN,36.26815,37.27087,32.944054,38.75381,29.818802,24.572487,NaN,NaN,78.17581
0.083333336,9.0,62.61273,45.77335,NaN,40.16606,NaN,87.51027,NaN,36.557693,38.86129,33.973557,39.44544,30.180872,24.587643,NaN,NaN,82.06733
0.083333336,10.0,NaN,47.01321,NaN,40.200768,NaN,90.73976,NaN,36.762688,40.217976,34.831646,39.992786,30.436373,24.594217,NaN,NaN,85.46176
0.083333336,11.0,NaN,NaN,NaN,40.219296,NaN,93.010635,NaN,36.906887,41.377327,35.552773,40.422874,NaN,24.597486,NaN,NaN,88.40034
0.083333336,12.0,NaN,NaN,NaN,40.228874,NaN,94.90709,NaN,37.008064,42.358208,36.153076,40.758774,NaN,24.599003,NaN,NaN,90.95713
0.083333336,13.0,NaN,NaN,NaN,40.23404,NaN,NaN,NaN,37.079304,43.19264,36.655464,41.02528,NaN,24.599483,NaN,NaN,93.19108
0.083333336,14.0,NaN,NaN,NaN,40.23676,NaN,NaN,NaN,37.12983,43.90246,37.074158,41.23287,NaN,24.600002,NaN,NaN,95.12144
