"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.380720854328597,0,0.215037395756859,0.194456710492942
"redMullet",0.250307160111118,0,0,0.129576217575688
"pouting ",0.466026066993402,0,0,0.198594312930286
"whiting",1.06677066731207,0,0,0.498046010967506
"poorCod",0,0,0,0
"cod",0.231208396746305,0,0.244531069639341,0.147420348159136
"dragonet",0,0,0,0
"sole",0.222875714337409,0,1.07007623825974,0.242670917769621
"plaice",0.476642024690546,0,0.401509619691395,0.235539283429887
"horseMackerel",0.117036976030953,0.107855144000948,0,0.133468365313495
"mackerel",0.998611684164501,0.326210740654898,0,0.628321409244991
"herring",0,1.08515995254124,0,0.921048035334296
"sardine",0,0.396940983683838,0,0.492813147775312
"squids",0.468225776926383,0,0,0.203791930903089
"cuttlefish",0.297285184516611,0,0,0.147079943330018
"thornbackRay",0.113013356332175,0,0,0.0786609892949955
