"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.367917915628744,0,0.245377472853904,0.166314138364486
"redMullet",0.252948961878251,0,0,0.123057867836821
"pouting ",0.41440551959833,0,0,0.217500461002175
"whiting",0.962717842544831,0,0,0.493804947173063
"poorCod",0,0,0,0
"cod",0.199890699597512,0,0.25340978501366,0.155669049742603
"dragonet",0,0,0,0
"sole",0.211252263084187,0,1.12495638391851,0.24130085354347
"plaice",0.449199156877868,0,0.420539757247959,0.199793246718333
"horseMackerel",0.109285463145457,0.120875289966413,0,0.11350546046882
"mackerel",1.08903361006398,0.327990602309299,0,0.570260647863609
"herring",0,1.10231709299779,0,0.815615091606657
"sardine",0,0.418534770945849,0,0.483893657838508
"squids",0.50390080792861,0,0,0.221821418846374
"cuttlefish",0.297438951842932,0,0,0.136441846710448
"thornbackRay",0.104020435813768,0,0,0.0790978578195915
