year,lesserSpottedDogfish,redMullet,pouting,whiting,poorCod,cod,dragonet,sole,plaice,horseMackerel,mackerel,herring,sardine,squids,cuttlefish,thornbackRay
2000,1654,2038,2429,6072,0,3583,0,3832,5235.5,8900,8257,19480,6491,79,254,112
2001,1705,1297,2385,6614,0,2036,0,4617,4968,13223,8545,21257,10268,80,212,105
2002,1881,1149,2636,5361,0,1563,0,5399,5496,7809,8479.5,32820,8333,113,527,117
2003,1752,2469,2658,7005,0,1941,0,6247,4650,12769.5,10606,47233,14042,123,522,134
2004,1687,3625,2337,5283,0,974,0,5667,4312,13981,9718,48008,7292,88,639,118
2005,1993,1593,2143,4901,0,1230,0,4620,3706,9092,7043,59515,12662,50,486,169
2006,1640.4,1082.5,2269.4,3749.3,0,1480.2,0,4831.8,3524.7,10267.8,7006,45205.3,14762.5,0,635.7,91.9
2007,1545.2,3782.1,2333.8,3390.9,0,2072.6,0,5313,3844.8,19813.5,5367.7,31324.3,9138.7,0,1212.9,84.5
2008,1296.7,3536,2198.5,3192.7,0,1661.8,0,4972.21,3609.2,17135.9,4248.8,24527.41,8558.4,0,931.9,122
2009,1707.7,1115.2,2668.2,6569.3,0,2022.9,0,5281.7,3522.4,12527.2,6342.11,17058.21,6448.2,0,1697.2,488
2010,1971.6,1468.4,2978.1,6133.1,0,1836,0,4448.5,3891.7,14859.3,5738.1,20527.9,4827.8,0,3281.6,650.4
2011,2082.77,1205.57,2970.29,5463.83,0,1310.97,0,4202.92,3592.85,15544.88,7338.85,24173.1,1048.19,0,2986.68,644.28
2012,1969.85,504.72,2321.47,3856.36,0,1064.15,0,4043.31,3611.37,15120.22,6104.07,35235.93,1198.4,0,3340.94,888.26
2013,1966.49,265.93,1905.34,4292.39,0,958.75,0,4441.62,4182.12,10505.38,5722.51,41696.7,2713.74,0,1966.07,1135.97
2014,2057.01,1476.2,2042.09,3224.38,0,1548.39,0,4650.98,4326.18,5964.08,4906.86,35072.07,1715.53,207.5,1521.57,1180.43
2015,1882.52,3727.23,1484.19,4167.25,0,1433.95,0,3410.92,3748.51,5674.95,5975.47,45550.93,1642.22,335.1,2490.57,964.28
2016,2103.21,1788.71,1844.14,3731.69,0,459.03,0,2528.63,4658.19,3662.78,7728.85,42806.93,2059.92,618,2640.46,1094.3
2017,1889.47,1551.77,1860.92,3456.6,0,179.93,0,2223.38,4580.78,5788.77,5922.54,33558.98,3406.84,969.7,2714.61,1064.35
2018,1826.059,1267.139,1644.363,3624.913,0,92.086,0,2312.133,4985.997,8361.731,5432.806,42982.148,1840.2,943.828,1791.242,1437.457
2019,1855.2004,2787.9398,1583.7625,3119.2327,0,38.4964,0,1772.9805,3713.9473,4182.966,4542.8424,35968.609,206.5596,883.473,2777.158,1480.6619
