,x
1,76.64484777
2,84.61822232
3,92.37086927
4,99.73132965
5,106.5341577
6,112.6268857
7,117.8762876
8,122.1735638
9,125.4381664
10,127.620093
11,128.7005981
12,128.6913821
13,127.632419
14,125.5886563
15,122.6458759
16,118.9060219
17,114.4823032
18,109.4943522
19,104.0636786
20,98.30960877
21,92.3458415
22,86.27769688
23,80.20008194
24,74.19615369
25,68.33662571
26,62.68430043
27,57.30281872
28,52.24057048
29,47.52885308
30,43.18441397
31,39.21207035
32,35.60724208
33,32.35828507
34,29.44855751
35,26.85818745
36,24.56553878
37,22.54839219
38,20.78487103
39,19.25414908
40,17.93698078
41,16.81609478
42,15.87649078
43,15.10567804
44,14.49389287
45,14.0343324
46,13.72344458
47,13.5613194
48,13.55223639
49,13.70543546
50,14.03023447
51,14.52426397
52,15.18607605
53,16.01711743
54,17.02062955
55,18.2005482
56,19.56032325
57,21.10160132
58,22.82273807
59,24.71713583
60,26.77143967
61,28.96367144
62,31.26143577
63,33.62039175
64,35.98324112
65,38.27952741
66,40.42655686
67,42.33172414
68,43.89643962
69,45.0217001
70,45.61512387
71,45.59900004
72,44.91861853
73,43.54998344
74,41.53972164
75,39.04772616
76,36.24705726
77,33.2952941
78,30.32594285
79,27.44450381
80,24.72830376
81,22.2289732
82,19.97647554
83,17.98378006
84,16.25152068
85,14.77223452
86,13.53398864
87,12.52336694
88,11.72790249
89,11.13811733
90,10.7493868
91,10.56390073
92,10.59307166
93,10.86087324
94,11.40882911
95,12.30379705
96,13.65045901
97,15.61171629
98,18.41638927
99,22.34899351
100,27.81442421
101,35.39156556
102,45.89929809
103,60.48502411
104,80.73915319
105,108.8363615
106,147.698575
107,201.1638953
108,274.1284957
109,372.6041761
110,503.6045167
111,674.7437218
112,893.4173859
113,1165.454257
114,1493.20806
115,1873.219423
116,2293.81922
117,2733.322679
118,3159.677655
119,3532.431782
120,3807.526137
121,3944.715561
122,3923.356111
123,3754.811934
124,3467.406548
125,3098.169306
126,2685.882609
127,2265.416696
128,1864.172286
129,1500.716197
130,1185.177385
131,920.7423032
132,705.6031071
133,534.869963
134,402.1600848
135,300.7533257
136,224.326368
137,167.3425237
138,125.1947446
139,94.19272661
140,71.465727
141,54.8308694
142,42.65765802
143,33.74513235
144,27.21856383
145,22.44654837
146,18.9533724
147,16.37326659
148,14.4564664
149,13.03265866
150,11.98433698
151,11.22977866
152,10.71200197
153,10.3915044
154,10.24143027
155,10.24432327
156,10.38992668
157,10.67368318
158,11.09570292
159,11.66004136
160,12.3741732
161,13.24857565
162,14.29634958
163,15.53281499
164,16.97501988
165,18.64110255
166,20.54944765
167,22.7175783
168,25.16073414
169,27.89004811
170,30.90745531
171,34.20002698
172,37.73940152
173,41.47869454
174,45.34953199
175,49.25999327
176,53.0940488
177,56.71310797
178,59.96023237
179,62.66738484
180,64.6657606
181,65.7987907
182,65.93686371
183,64.99226338
184,62.93238457
185,59.78909968
186,55.66231804
187,50.71636993
188,45.16882369
189,39.27256763
190,33.29322433
191,27.48492855
192,22.06793575
193,17.21283795
194,13.0733023
195,9.735473272
196,7.159734024
197,5.237618699
198,3.838814713
199,2.839329664
200,2.134612261
201,1.642993344
202,1.304053313
203,1.075045243
204,0.927169428
205,0.842600173
206,0.812724176
207,0.838017565
208,0.930423103
209,1.120351721
210,1.473682528
211,2.13283985
212,3.420947708
213,6.124880441
214,12.32937041
215,28.1064117
216,73.08365171
217,218.2579906
218,746.4271849
219,2882.431984
220,12385.35241
221,58352.39748
222,297052.6503
