,bottom.trawlers,midwater.trawlers,netters,others
lesserSpottedDogfish,0.289,0.053,0.045,0.225
redMullet,0.049,0.035,0.072,0.05
pouting ,0.466,0.55,0.32,0
whiting,0.405,0.898,0.369,0.435
poorCod,0,0,0,0
cod,0.018,0.302,0.321,0.152
dragonet,0,0,0,0
sole,0.324,0.065,0.033,0.136
plaice,0.613,0.597,0.311,0.553
horseMackerel,0.704,0.41,0.868,0.136
mackerel,0.064,0.042,0.026,0.053
herring,0.928,0,0.538,0.065
sardine,0.598,0.6,0.581,0.599
squids,0,0.017,0,0
cuttlefish,0.041,0.083,0.028,0.041
thornbackRay,0.255,0.413,0.155,0.241
