,x
1,6.699337065
2,6.420079842
3,6.169574785
4,5.945050867
5,5.744084093
6,5.564552071
7,5.404595229
8,5.262583649
9,5.137088653
10,5.02685842
11,4.930797029
12,4.847946415
13,4.777470827
14,4.71864341
15,4.670834616
16,4.633502187
17,4.606182487
18,4.588482999
19,4.580075825
20,4.580692064
21,4.590116937
22,4.608185564
23,4.634779315
24,4.669822647
25,4.713280343
26,4.764932517
27,4.823807615
28,4.888741279
29,4.958520229
30,5.031867458
31,5.107430598
32,5.183773784
33,5.259373366
34,5.332617924
35,5.401813
36,5.465191
37,5.520926597
38,5.567157913
39,5.60201355
40,5.623645365
41,5.630266621
42,5.620194824
43,5.591898276
44,5.544044984
45,5.475552261
46,5.385635042
47,5.273850679
48,5.140137832
49,4.98484803
50,4.810053005
51,4.621733452
52,4.426059604
53,4.228508312
54,4.033805216
55,3.84592401
56,3.668130285
57,3.503057944
58,3.35280767
59,3.2190591
60,3.103190839
61,3.006404974
62,2.929855337
63,2.874781291
64,2.842651469
65,2.835324891
66,2.855240484
67,2.905650927
68,2.990923503
69,3.116940627
70,3.291647709
71,3.525818875
72,3.834146621
73,4.23681186
74,4.759053122
75,5.427727058
76,6.276747018
77,7.349766277
78,8.702375409
79,10.40472447
80,12.54454577
81,15.23049386
82,18.59562686
83,22.80071962
84,28.03691868
85,34.52702098
86,42.52439434
87,52.30828352
88,64.17401443
89,78.41650012
90,95.30557673
91,115.0521891
92,137.7654374
93,163.4020809
94,191.712271
95,222.1878796
96,254.0224165
97,286.0946979
98,317.2571232
99,346.885683
100,374.5906783
101,400.1707374
102,423.6172499
103,445.1066348
104,464.9848438
105,483.7489103
106,502.0302086
107,520.5836519
108,540.2866042
109,562.151079
110,587.3530758
111,617.2839308
112,653.6306311
113,698.4956362
114,754.5726321
115,825.4041129
116,915.7619821
117,1032.217383
118,1184.007573
119,1384.378098
120,1652.700137
121,2017.851166
122,2519.906007
123,3209.361288
124,4155.093971
125,5450.796642
126,7221.790987
127,9632.179613
128,12891.0374
129,17255.34789
130,23026.1348
131,30532.94912
132,40101.05238
133,51996.12838
134,66344.26429
135,83031.29508
136,101595.6731
137,121141.3753
138,140308.0508
139,157338.2818
140,170269.4966
141,177246.984
142,176908.7551
143,168747.4368
144,153331.4867
145,132292.3872
146,108303.7932
147,84431.85392
148,62928.99754
149,45019.96141
150,31038.25
151,20704.0413
152,13415.49805
153,8477.742845
154,5245.699729
155,3190.835038
156,1915.627223
157,1139.597159
158,674.4556732
159,398.6990025
160,236.349428
161,141.061864
162,85.10171728
163,52.10371129
164,32.50338631
165,20.74178666
166,13.59406386
167,9.186837279
168,6.427236857
169,4.673408504
170,3.537709601
171,2.783311627
172,2.271470668
173,1.919165844
174,1.675453503
175,1.508416183
176,1.397762366
177,1.330525763
178,1.29851044
179,1.296743989
180,1.322525667
181,1.374831492
182,1.453934217
183,1.561149143
184,1.698645731
185,1.869280331
186,2.076412792
187,2.323673034
188,2.6146456
189,2.952443278
190,3.339147785
191,3.775108975
