,larval_mortality_by_dt
1,0.01
2,0.02
3,0.02
4,0.02
5,0.02
6,0.02
7,0.02
8,0.02
9,0.02
10,0.02
11,0.02
12,0.02
13,0.02
14,0.02
15,0.02
16,0.02
17,0.02
18,0.02
19,0.02
20,0.02
21,0.02
22,0.02
23,0.02
24,0.02
25,0.02
26,0.02
27,0.02
28,0.02
29,0.02
30,0.02
31,0.02
32,0.02
33,0.02
34,0.02
35,0.02
36,0.02
37,0.02
38,0.02
39,0.02
40,0.02
41,0.02
42,0.02
43,0.02
44,0.02
45,0.02
46,0.02
47,0.02
48,0.02
49,0.02
50,0.02
51,0.02
52,0.02
53,0.02
54,0.02
55,0.02
56,0.02
57,0.02
58,0.02
59,0.02
60,0.02
61,0.02
62,0.02
63,0.02
64,0.02
65,0.02
66,0.02
67,0.02
68,0.02
69,0.02
70,0.02
71,0.02
72,0.02
73,0.02
74,0.02
75,0.02
76,0.02
77,0.02
78,0.02
79,0.02
80,0.02
81,0.02
82,0.02
83,0.02
84,0.02
85,0.02
86,0.02
87,0.02
88,0.02
89,0.02
90,0.02
91,0.02
92,0.02
93,0.02
94,0.02
95,0.02
96,0.02
97,0.02
98,0.02
99,0.02
100,0.02
101,0.02
102,0.02
103,0.02
104,0.02
105,0.02
106,0.02
107,0.02
108,0.02
109,0.02
110,0.02
111,0.02
112,0.02
113,0.02
114,0.02
115,0.02
116,0.02
117,0.02
118,0.02
119,0.02
120,0.02
121,0.02
122,0.02
123,0.02
124,0.02
125,0.02
126,0.02
127,0.02
128,0.02
129,0.02
130,0.02
131,0.02
132,0.02
133,0.02
134,0.02
135,0.02
136,0.02
137,0.02
138,0.02
139,0.02
140,0.02
141,0.02
142,0.02
143,0.02
144,0.02
145,0.02
146,0.02
147,0.02
148,0.02
149,0.02
150,0.02
151,0.02
152,0.02
153,0.02
154,0.02
155,0.02
156,0.02
157,0.02
158,0.02
159,0.02
160,0.02
161,0.02
162,0.02
163,0.02
164,0.02
165,0.02
166,0.02
167,0.02
168,0.02
169,0.02
170,0.02
171,0.02
172,0.02
173,0.02
174,0.02
175,0.02
176,0.02
177,0.02
178,0.02
179,0.02
180,0.02
181,0.02
182,0.02
183,0.02
184,0.02
185,0.02
186,0.02
187,0.02
188,0.02
189,0.02
190,0.02
191,0.02
192,0.02
193,0.01
194,0.01
195,0.01
196,0.01
197,0.01
198,0.01
199,0.01
200,0.01
201,0.01
202,0.01
203,0.01
204,0.01
205,0.01
206,0.01
207,0.01
208,0.01
209,0.01
210,0.01
211,0.01
212,0.01
213,0.01
214,0.01
215,0.01
216,0.01
217,0.01
218,0.01
219,0.01
220,0.01
221,0.01
222,0.01
223,0.01
224,0.01
225,0.01
226,0.01
227,0.01
228,0.01
229,0.01
230,0.01
231,0.01
232,0.01
233,0.01
234,0.01
235,0.01
236,0.01
237,0.01
238,0.01
239,0.01
240,0.01
241,0.01
242,0.01
243,0.01
244,0.01
245,0.01
246,0.01
247,0.01
248,0.01
249,0.01
250,0.01
251,0.01
252,0.01
253,0.01
254,0.01
255,0.01
256,0.01
257,0.01
258,0.01
259,0.01
260,0.01
261,0.01
262,0.01
263,0.01
264,0.01
265,0.01
266,0.01
267,0.01
268,0.01
269,0.01
270,0.01
271,0.01
272,0.01
273,0.01
274,0.01
275,0.01
276,0.01
277,0.01
278,0.01
279,0.01
280,0.01
281,0.01
282,0.01
283,0.01
284,0.01
285,0.01
286,0.01
287,0.01
288,0.01
289,0.01
290,0.01
291,0.01
292,0.01
293,0.01
294,0.01
295,0.01
296,0.01
297,0.01
298,0.01
299,0.01
300,0.01
301,0.01
302,0.01
303,0.01
304,0.01
305,0.01
306,0.01
307,0.01
308,0.01
309,0.01
310,0.01
311,0.01
312,0.01
313,0.01
314,0.01
315,0.01
316,0.01
317,0.01
318,0.01
319,0.01
320,0.01
321,0.01
322,0.01
323,0.01
324,0.01
325,0.01
326,0.01
327,0.01
328,0.01
329,0.01
330,0.01
331,0.01
332,0.01
333,0.01
334,0.01
335,0.01
336,0.01
337,0.01
338,0.01
339,0.01
340,0.01
341,0.01
342,0.01
343,0.01
344,0.01
345,0.01
346,0.01
347,0.01
348,0.01
349,0.01
350,0.01
351,0.01
352,0.01
353,0.01
354,0.01
355,0.01
356,0.01
357,0.01
358,0.01
359,0.01
360,0.01
361,0.03
362,0.03
363,0.03
364,0.03
365,0.03
366,0.03
367,0.03
368,0.03
369,0.03
370,0.03
371,0.03
372,0.03
373,0.03
374,0.03
375,0.03
376,0.03
377,0.03
378,0.03
379,0.03
380,0.03
381,0.03
382,0.03
383,0.03
384,0.03
385,0.03
386,0.03
387,0.03
388,0.03
389,0.03
390,0.03
391,0.03
392,0.03
393,0.03
394,0.03
395,0.03
396,0.03
397,0.03
398,0.03
399,0.03
400,0.03
401,0.03
402,0.03
403,0.03
404,0.03
405,0.03
406,0.03
407,0.03
408,0.03
409,0.03
410,0.03
411,0.03
412,0.03
413,0.03
414,0.03
415,0.03
416,0.03
417,0.03
418,0.03
419,0.03
420,0.03
421,0.03
422,0.03
423,0.03
424,0.03
425,0.03
426,0.03
427,0.03
428,0.03
429,0.03
430,0.03
431,0.03
432,0.03
433,0.03
434,0.03
435,0.03
436,0.03
437,0.03
438,0.03
439,0.03
440,0.03
441,0.03
442,0.03
443,0.03
444,0.03
445,0.03
446,0.03
447,0.03
448,0.03
449,0.03
450,0.03
451,0.03
452,0.03
453,0.03
454,0.03
455,0.03
456,0.03
457,0.03
458,0.03
459,0.03
460,0.03
461,0.03
462,0.03
463,0.03
464,0.03
465,0.03
466,0.03
467,0.03
468,0.03
469,0.03
470,0.03
471,0.03
472,0.03
473,0.03
474,0.03
475,0.03
476,0.03
477,0.03
478,0.03
479,0.03
480,0.03
