"","bottom.trawlers","midwater.trawlers","netters","others"
"lesserSpottedDogfish",0.435084867621567,0,0.261438923724711,0.160798209047
"redMullet",0.293123240394858,0,0,0.124441237464335
"pouting",0.43437974739216,0,0,0.208138427033853
"whiting",0.797052449724779,0,0,0.577616389348076
"poorCod",0,0,0,0
"cod",0.1729054576145,0,0.277628303650108,0.143014745383927
"dragonet",0,0,0,0
"sole",0.158670828917075,0,1.12168789421318,0.226257078056998
"plaice",0.378866956214243,0,0.369952132480374,0.213548584044417
"horseMackerel",0.112352541410054,0.125571905622545,0,0.100857000463371
"mackerel",0.925713786588688,0.315343600268429,0,0.566859270604186
"herring",0,1.28137478971912,0,0.949496016274428
"sardine",0,0.327076989404809,0,0.457718087105104
"squids",0.546365346378387,0,0,0.216393543363764
"cuttlefish",0.381316257174764,0,0,0.108459740785734
"thornbackRay",0.27292735643591,0,0,0.194125011428893
