,x
1,115.0521891
2,115.0521891
3,115.0521891
4,115.0521891
5,115.0521891
6,115.0521891
7,115.0521891
8,115.0521891
9,115.0521891
10,115.0521891
11,115.0521891
12,115.0521891
13,115.0521891
14,115.0521891
15,115.0521891
16,115.0521891
17,115.0521891
18,115.0521891
19,115.0521891
20,115.0521891
21,115.0521891
22,115.0521891
23,115.0521891
24,115.0521891
25,115.0521891
26,115.0521891
27,115.0521891
28,115.0521891
29,115.0521891
30,115.0521891
31,115.0521891
32,115.0521891
33,115.0521891
34,115.0521891
35,115.0521891
36,115.0521891
37,115.0521891
38,115.0521891
39,115.0521891
40,115.0521891
41,115.0521891
42,115.0521891
43,115.0521891
44,115.0521891
45,115.0521891
46,115.0521891
47,115.0521891
48,115.0521891
49,115.0521891
50,115.0521891
51,115.0521891
52,115.0521891
53,115.0521891
54,115.0521891
55,115.0521891
56,115.0521891
57,115.0521891
58,115.0521891
59,115.0521891
60,115.0521891
61,115.0521891
62,115.0521891
63,115.0521891
64,115.0521891
65,115.0521891
66,115.0521891
67,115.0521891
68,115.0521891
69,115.0521891
70,115.0521891
71,115.0521891
72,115.0521891
73,115.0521891
74,115.0521891
75,115.0521891
76,115.0521891
77,115.0521891
78,115.0521891
79,115.0521891
80,115.0521891
81,115.0521891
82,115.0521891
83,115.0521891
84,115.0521891
85,115.0521891
86,115.0521891
87,115.0521891
88,115.0521891
89,115.0521891
90,115.0521891
91,115.0521891
92,137.7654374
93,163.4020809
94,191.712271
95,222.1878796
96,254.0224165
97,286.0946979
98,317.2571232
99,346.885683
100,374.5906783
101,400.1707374
102,423.6172499
103,445.1066348
104,464.9848438
105,483.7489103
106,502.0302086
107,520.5836519
108,540.2866042
109,562.151079
110,587.3530758
111,617.2839308
112,653.6306311
113,698.4956362
114,754.5726321
115,825.4041129
116,915.7619821
117,1032.217383
118,1184.007573
119,1384.378098
120,1652.700137
121,2017.851166
122,2519.906007
123,3209.361288
124,4155.093971
125,5450.796642
126,7221.790987
127,9632.179613
128,100
129,100
130,100
131,100
132,100
133,100
134,100
135,100
136,100
137,100
138,100
139,100
140,100
141,100
142,100
143,100
144,100
145,100
146,100
147,100
148,100
149,100
150,100
151,100
152,100
153,100
154,100
155,100
156,100
157,100
158,674.4556732
159,398.6990025
160,236.349428
161,141.061864
162,85.10171728
163,52.10371129
164,32.50338631
165,20.74178666
166,13.59406386
167,9.186837279
168,6.427236857
169,4.673408504
170,3.537709601
171,2.783311627
172,2.271470668
173,1.919165844
174,1.675453503
175,1.508416183
176,1.397762366
177,1.330525763
178,1.29851044
179,1.296743989
180,1.322525667
181,1.374831492
182,1.453934217
183,1.561149143
184,1.698645731
185,1.869280331
186,2.076412792
187,2.323673034
188,2.6146456
189,2.952443278
190,3.339147785
191,3.775108975
192,4.258116574
193,4.782596809
194,5.343218749
195,5.938156101
196,6.565358417
197,7.222243852
198,7.905720143
199,8.6122179
200,9.337735542
201,10.07789481
202,10.82800547
203,11.58313743
204,12.33819849
205,13.08801548
206,13.82741681
207,14.55131424
208,15.25478174
209,15.9331298
210,16.58197326
211,17.19729141
212,17.77547919
213,18.31338874
214,18.8083607
215,19.25824522
216,19.66141272
217,20.0167667
218,20.32407812
219,20.58404111
220,20.79787132
221,20.96723673
222,21.09420589
223,21.18119397
224,21.23090823
225,21.24629429
226,21.23048425
227,21.18674798
228,21.11844796
229,21.02899883
230,20.92183159
231,20.80036317
232,20.66797124
233,20.52797447
234,20.38361808
235,20.23806454
236,20.09438935
237,19.95558146
238,19.82454838
239,19.7041255
240,19.59708961
241,19.50582623
242,19.42468428
243,19.34013925
244,19.23856181
245,19.10664155
246,18.93155223
247,18.70120433
248,18.40457435
249,18.03209556
250,17.57608768
251,17.03119717
252,16.39481301
253,15.66741875
254,14.85283976
255,13.95834632
256,12.9945798
257,11.97528002
258,10.91680739
259,9.837472267
260,8.756703895
261,7.694110984
262,6.668501229
263,5.696936776
264,4.793903719
265,3.971190333
266,3.244434681
267,2.624662085
268,2.11098092
269,1.694853966
270,1.363885283
271,1.104540141
272,0.903865443
273,0.75042138
274,0.634667514
275,0.549019174
276,0.487741203
277,0.446799404
278,0.423757553
279,0.417796273
280,0.429946515
281,0.463689843
282,0.526216582
283,0.630936702
284,0.802512647
285,1.087234761
286,1.575290453
287,2.450892929
288,4.111259974
289,7.462276085
290,14.6067987
291,30.56645071
292,67.7798103
293,157.8629389
294,382.7750724
295,957.7449488
296,100
297,100
298,100
299,100
300,100
301,100
302,100
303,100
304,100
305,100
306,100
307,100
308,100
309,100
310,100
311,100
312,100
313,100
314,100
315,100
316,100
317,100
318,100
319,100
320,100
321,100
322,100
323,100
324,100
325,100
326,100
327,100
328,100
329,100
330,100
331,452.0356385
332,211.6207803
333,104.9193652
334,55.61922768
335,31.82925401
336,19.85273849
337,13.61364561
338,10.25657991
339,8.437766017
340,7.532531157
341,7.251614528
342,7.481704739
343,8.221106359
344,9.561269992
345,11.69629401
346,14.95616049
347,19.86656894
348,27.24258399
349,38.32553025
350,54.9710783
351,79.88740539
352,116.899356
353,171.1699129
354,249.2390088
355,358.6490146
356,506.8507289
357,699.0996455
358,935.2730657
359,100
360,100
361,100
362,100
363,100
364,100
365,100
366,100
367,100
368,100
369,100
370,100
371,100
372,817.5397468
373,653.3421834
374,515.408045
