"","x"
"1",0.0169645521978618
"2",0.0157051705828706
"3",0.0146524800474891
"4",0.0137738073191651
"5",0.0130429975492277
"6",0.0124390589856304
"7",0.0119451197447694
"8",0.0115476208188198
"9",0.0112356889897828
"10",0.0110006475740483
"11",0.0108356333797951
"12",0.010735295975835
"13",0.0106955610924804
"14",0.0107134442375423
"15",0.0107869037982318
"16",0.0109147252905757
"17",0.0110964302139293
"18",0.011332204316757
"19",0.011622841089236
"20",0.0119696970481855
"21",0.0123746559294912
"22",0.0128400992967875
"23",0.0133688813460487
"24",0.0139643058595732
"25",0.0146301032918148
"26",0.015369745019348
"27",0.0161845372538082
"28",0.0170748753951337
"29",0.0180404643183232
"30",0.019080074649713
"31",0.020191282144775
"32",0.0213701944514545
"33",0.0226111722168133
"34",0.0239065544765391
"35",0.0252464014524067
"36",0.0266182711003118
"37",0.0280070487550558
"38",0.0293948516865537
"39",0.030761031927321
"40",0.0320823009172342
"41",0.0333329978890762
"42",0.0344855200725249
"43",0.0355109264077554
"44",0.0363797173859155
"45",0.0370627819722035
"46",0.0375324887335392
"47",0.0377638830661406
"48",0.0377359369545713
"49",0.0374327904469122
"50",0.0368539748396396
"51",0.0360318337823285
"52",0.0350067651991855
"53",0.0338200987313977
"54",0.0325123769293895
"55",0.0311219800148348
"56",0.0296841114331498
"57",0.0282301320705687
"58",0.0267872096670845
"59",0.0253782365899028
"60",0.0240219628951377
"61",0.0227332911696207
"62",0.0215236834940164
"63",0.0204016375268161
"64",0.0193731968911306
"65",0.0184424697404586
"66",0.0176121378731284
"67",0.0168839466328978
"68",0.0162591729044692
"69",0.0157390748303286
"70",0.0153253326598073
"71",0.0150204957675722
"72",0.0148284568739149
"73",0.0147549718636453
"74",0.0148039423630759
"75",0.0149710014714002
"76",0.0152526291584385
"77",0.0156474972306541
"78",0.016156128267859
"79",0.0167806145505833
"80",0.0175243740499774
"81",0.0183919244181186
"82",0.0193886585413543
"83",0.0205206070303348
"84",0.0217941743615614
"85",0.023215836552909
"86",0.0247917895221629
"87",0.0265275389055203
"88",0.0284274243594391
"89",0.0304940744823616
"90",0.0327277926989783
"91",0.0351258799308306
"92",0.0376819067390217
"93",0.0403849558569464
"94",0.0432188654596187
"95",0.0461615137568133
"96",0.0491841959118982
"97",0.0522511790907344
"98",0.0553250758332826
"99",0.0583757628379063
"100",0.0613720092833573
"101",0.0642803054173333
"102",0.067065309235539
"103",0.0696903965476205
"104",0.072118309572283
"105",0.074311894570352
"106",0.0762349141468787
"107",0.0778529149580616
"108",0.0791341269108193
"109",0.0800503658343798
"110",0.0805779083373722
"111",0.0806983054353185
"112",0.0803991008061866
"113",0.0796744204158991
"114",0.0785254028848863
"115",0.0769604443778653
"116",0.0749952379173984
"117",0.0726525946532485
"118",0.0699620434509638
"119",0.0669592147728224
"120",0.0636850247024845
"121",0.0601848301596733
"122",0.0565236623120573
"123",0.0527940284417745
"124",0.0490791074160346
"125",0.0454477036110978
"126",0.0419543267719787
"127",0.0386400058010112
"128",0.0355336084990015
"129",0.0326534622712123
"130",0.0300091050138462
"131",0.0276030341562613
"132",0.0254323601432934
"133",0.0234903051938207
"134",0.0217675171710447
"135",0.0202531912552742
"136",0.0189360090930463
"137",0.0178049170311509
"138",0.0168497730583583
"139",0.016061897431466
"140",0.0154345659542297
"141",0.0149634888246494
"142",0.0146473232525892
"143",0.0144882762504705
"144",0.0144928670890241
"145",0.0146728240601429
"146",0.0150374090755613
"147",0.015586975139394
"148",0.01632549558064
"149",0.0172612715936477
"150",0.0184063322876174
"151",0.0197758868557267
"152",0.0213877498749178
"153",0.0232616662362263
"154",0.0254184648702215
"155",0.0278789728678014
"156",0.0306626264358938
"157",0.0337857251841419
"158",0.0372592944948638
"159",0.0410865501428366
"160",0.0452600024327951
"161",0.0497582953730232
"162",0.0545429493429116
"163",0.0595552599614052
"164",0.0647136941476596
"165",0.069912204828187
"166",0.0750199419084871
"167",0.0798828489137378
"168",0.0843275808770552
"169",0.0881689690018462
"170",0.0912696984718702
"171",0.0935833572492252
"172",0.0950949532318133
"173",0.0958139732648927
"174",0.0957719773948349
"175",0.0950193318710002
"176",0.0936213920860526
"177",0.0916544406225132
"178",0.0892016551559241
"179",0.0863493335326053
"180",0.0831835465600171
"181",0.0797873299274868
"182",0.0762384709206908
"183",0.0726078972855542
"184",0.0689586371453395
"185",0.0653452911799546
"186",0.0618139410275768
"187",0.0584024098941473
"188",0.0551407909748974
"189",0.0520521646190268
"190",0.0491534343550436
"191",0.0464562232923952
"192",0.0439677846741852
"193",0.041691642076749
"194",0.039619486173723
"195",0.0377315002683423
"196",0.0360093994208755
"197",0.0344370090049798
"198",0.0329999957962489
"199",0.0316856362168505
"200",0.0304826162198482
"201",0.0293808581660528
"202",0.0283713707709598
"203",0.0274461188047427
"204",0.0265979097349718
"205",0.025820294926629
"206",0.0251074833709585
"207",0.0244542662151454
"208",0.0238559506181693
"209",0.0233083016721976
"210",0.022807491310009
"211",0.0223500532724974
"212",0.0219328433407239
"213",0.0215530041479593
"214",0.0212079339817446
