v Prey / Predator >;lesserSpottedDogfish < 0.45 ;lesserSpottedDogfish;redMullet < 0.25 ;redMullet;pouting < 0.25 ;pouting ;whiting < 0.25 ;whiting;poorCod < 0.25 ;poorCod;cod < 0.4 ;cod;dragonet < 0.25 ;dragonet;sole < 0.15 ;sole;plaice < 0.25 ;plaice;horseMackerel;mackerel;herring;sardine;squids < 0.125 ;squids ;cuttlefish;thornbackRay
lesserSpottedDogfish < 0.45 ;0.05;0;0;0.05;0;0;0;0;0;0;0;0;0;0.05;0;0.05;0;0.05;0;0;0;0;0.05;0;0.05;0
lesserSpottedDogfish ;0;0.8;0.4;0;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0;0.4;0;0.4;0;0.4;0.4;0.4;0.4;0;0.4;0;0
redMullet < 0.25 ;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8;0;0.4
redMullet ;0.8;0.4;0;0.8;0;0.4;0;0.4;0;0.4;0;0.4;0;0.8;0;0.8;0;0.8;0;0;0;0;0.8;0;0.8;0.4
pouting < 0.25 ;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8;0;0.4
pouting ;0;0.8;0.4;0;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0;0.4;0;0.4;0;0.4;0.4;0.4;0.4;0;0.4;0;0.8
whiting < 0.25 ;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8;0;0.4
whiting ;0;0.8;0.4;0;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0;0.4;0;0.4;0;0.4;0.4;0.4;0.4;0;0.4;0;0.8
poorCod < 0.25 ;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8;0;0.4
poorCod ;0;0.8;0.4;0;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0;0.4;0;0.4;0;0.4;0.4;0.4;0.4;0;0.4;0;0.8
cod < 0.4 ;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8;0;0.4
cod ;0;0.8;0.4;0;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0;0.4;0;0.4;0;0.4;0.4;0.4;0.4;0;0.4;0;0.8
dragonet < 0.25 ;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8;0;0.4
dragonet ;0.8;0.4;0;0.8;0;0.4;0;0.4;0;0.4;0;0.4;0;0.8;0;0.8;0;0.8;0;0;0;0;0.8;0;0.8;0.4
sole < 0.15 ;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8;0;0.4
sole ;0.8;0.4;0;0.8;0;0.4;0;0.4;0;0.4;0;0.4;0;0.8;0;0.8;0;0.8;0;0;0;0;0.8;0;0.8;0.4
plaice < 0.25 ;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8;0;0.4
plaice ;0.8;0.4;0;0.8;0;0.4;0;0.4;0;0.4;0;0.4;0;0.8;0;0.8;0;0.8;0;0;0;0;0.8;0;0.8;0.4
horseMackerel;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8;0;0.4
mackerel;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8;0;0.4
herring;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8;0;0.4
sardine;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8;0;0.4
squids < 0.125;0.05;0;0;0.05;0;0;0;0;0;0;0;0;0;0.05;0;0.05;0;0.05;0;0;0;0;0.05;0;0.05;0
squids ;0;0.4;0.8;0;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0.4;0.8;0;0.8;0;0.8;0;0.8;0.8;0.8;0.8;0;0.8;0;0.4
cuttlefish;0.8;0.8;0;0.8;0;0.8;0;0.8;0;0.8;0;0.8;0;0.8;0;0.8;0;0.8;0;0;0;0;0.8;0;0.8;0.8
thornbackRay;0.05;0;0;0.8;0;0;0;0;0;0;0;0;0;0;0;0.8;0;0.8;0;0;0;0;0.05;0;0.8;0.8
P1c;0;0.5;1;0;1;0.5;1;0.5;1;0.5;1;0.5;1;0;1;0;1;0;1;1;1;1;0;1;0;0
P2c;0;0.5;1;0;1;0.5;1;0.5;1;0.5;1;0.5;1;0;1;0;1;0;1;1;1;1;0;1;0;0
Z4c;0;0.5;1;0;1;0.5;1;0.5;1;0.5;1;0.5;1;0;1;0;1;0;1;1;1;1;0;1;0;0
Z5c;0;0.5;1;0;1;0.5;1;0.5;1;0.5;1;0.5;1;0;1;0;1;0;1;1;1;1;0;1;0;0
Z6c;0;0.5;1;0;1;0.5;1;0.5;1;0.5;1;0.5;1;0;1;0;1;0;1;1;1;1;0;1;0;0
benthicDeposit;1;0.5;0;1;0;0.5;0;0.5;0;0.5;0;0.5;0;1;0;1;0;1;0;0;0;0;1;0;1;1
benthicFilter;1;0.5;0;1;0;0.5;0;0.5;0;0.5;0;0.5;0;1;0;1;0;1;0;0;0;0;1;0;1;1
